ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
03e15e23-8dd0-484d-b7d8-a5b51e3bc782,g2.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.61,Hourly
20b6a024-e881-4b2e-be56-ac5ffb99ac16,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.74,Hourly
25167ea5-4ed9-4ef1-837c-fd108f82a094,g2.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.671,Hourly
345cb74b-e1ed-420e-b9dd-2524a661c7ec,g2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.646,Hourly
52bfaed7-5019-4d16-a661-cdcc991762fa,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.776,Hourly
6a9cd75b-11d4-4f2e-af19-07006c4d3fa9,g2.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.711,Hourly
ca655fbd-fea7-4bf7-81b3-2dfe9a4d39f8,g2.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.542,Hourly
e96db51f-f9ce-462e-8c98-c6a2d758168c,g2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.717,Hourly
e9aded9b-9fc9-4030-a8be-b00bf012cc1a,g2.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.6,Hourly
f4c4d42b-4e3a-4dce-9545-9d9dfb5aa961,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.814,Hourly
b08b0df2-2102-4bf9-94f1-f94361d63d4a,g2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,7601.0,0.0,USD,0.289,Hourly
bcfc4de6-1e38-4e9c-a120-cee1b8b69f0d,g2.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,8184.0,0.0,USD,0.311,Hourly
06c45ddf-d4d2-442c-a707-21667c1a13de,g2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,8859.0,0.0,USD,0.337,Hourly
5409c01b-8fd6-4c7e-ac22-e46e58c15a9c,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9196.0,0.0,USD,0.319,Hourly
768cec3c-772a-4ccb-b07f-ed02f5a9f15c,g2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9196.0,0.0,USD,0.189,Hourly
162a5671-2c37-44c8-bfee-220d09a490ec,g2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9310.0,0.0,USD,0.089,Hourly
3699a091-0119-49a5-b425-707a88b3c58b,g2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9310.0,0.0,USD,0.219,Hourly
18d5abff-1d04-4a96-9a14-9fb955228b20,g2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9548.0,0.0,USD,0.2,Hourly
7f82d598-3d05-4d51-9362-fd6973a0d024,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9567.0,0.0,USD,0.364,Hourly
959b337c-aa85-4271-b26d-bd8946238136,g2.2xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,9662.0,0.0,USD,0.1,Hourly
3e6d01f1-c90b-4204-87ff-f393729e41ab,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10117.0,0.0,USD,0.351,Hourly
658b5f7e-5049-4819-9d1e-096f01793245,g2.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10117.0,0.0,USD,0.208,Hourly
356788b6-045c-4ded-b214-17714664d1f6,g2.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10241.0,0.0,USD,0.241,Hourly
f0ffb208-54c2-42b5-b168-ecdc5cdcda55,g2.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10241.0,0.0,USD,0.098,Hourly
ba242857-696c-40f0-9114-4a5b9c5e6fd9,g2.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10504.0,0.0,USD,0.22,Hourly
c9b8efca-fa34-443a-a596-b8fd9f63f581,g2.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,10628.0,0.0,USD,0.11,Hourly
830a73e5-55dc-4a52-b58c-21eee539306a,g2.2xlarge,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,10949.0,0.0,USD,0.0,Hourly
7a326d3e-be32-4ed4-9441-4ada14726c51,g2.2xlarge,SUSE Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,11552.0,0.0,USD,0.0,Hourly
722c1f69-c444-4d6e-bba4-c4f567bc3406,g2.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,12043.0,0.0,USD,0.0,Hourly
5780eeb4-5e00-4089-9b26-c6b58931cc82,g2.2xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,12707.0,0.0,USD,0.0,Hourly
0a5c6ef0-c3d4-4c2c-a437-1009acb22869,g2.2xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,13878.0,0.0,USD,0.0,Hourly
bea52695-d83a-49d6-be02-cdf9119e4ca8,g2.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,14161.0,0.0,USD,0.0,Hourly
0494f457-4144-4a6d-8f0a-c3bea2857ed9,g2.2xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,14481.0,0.0,USD,0.0,Hourly
0a714800-c0b4-4aae-8990-353ccf9d3e47,g2.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,14504.0,0.0,USD,0.0,Hourly
828bda52-2153-48e2-b034-d2d6bec072fe,g2.2xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,15266.0,0.0,USD,0.0,Hourly
25e28da2-7b98-4f4c-b270-40ffddd89b6a,g2.2xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,15577.0,0.0,USD,0.0,Hourly
627e8214-b227-4985-bec4-a4e72d42ad1e,g2.2xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,15599.0,0.0,USD,0.0,Hourly
12849617-b338-45a0-a58c-a00dc0400615,g2.2xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,15930.0,0.0,USD,0.0,Hourly
ebade21d-3efb-4d87-8e17-83c6ac13c19d,g2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,17226.0,0.0,USD,0.0,Hourly
84c4e57b-a302-4c99-a2f7-a7f69315a4e4,g2.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,17435.0,0.0,USD,0.0,Hourly
d664ab94-6ff8-44a6-ab3c-c8c269e455e6,g2.2xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,18439.0,0.0,USD,0.702,Hourly
322b1aeb-ddea-4464-8ccf-ab9dcecd3adb,g2.2xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,18823.0,0.0,USD,0.0,Hourly
b43b4f1c-4860-497d-aebb-ed5b74aa5f35,g2.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,18947.0,0.0,USD,0.0,Hourly
19cb20c4-8914-40fd-8dbd-98a5745f3618,g2.2xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,19022.0,0.0,USD,0.724,Hourly
