ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05c6a0c6-1608-4c1c-81db-d07413c2988a,i3.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.42,Hourly
0a81b877-73b3-4aee-9c77-5bbdf30fb792,i3.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,11.019,Hourly
258e2df2-29e6-4541-b54f-64eee07fb2f4,i3.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.339,Hourly
3050e6a1-3339-4420-bdf1-b161c625255f,i3.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.372,Hourly
5ab96102-2f28-4f41-a336-cf5d0639a16d,i3.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.469,Hourly
7377ad9e-4d75-4422-a824-b89dae5d33af,i3.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.372,Hourly
88c98935-b17b-42f5-9f99-8a3c6df69804,i3.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.42,Hourly
8d9e16ce-2e7a-4fe2-99f8-f877a92c1689,i3.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.339,Hourly
8e06229a-6dc5-49d4-853b-37215c715def,i3.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,11.019,Hourly
a1c37578-1619-427d-9183-32a48494efb8,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.339,Hourly
d3f8ed9d-a46b-4d4d-9e3c-0256002af3ed,i3.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.339,Hourly
d41080ea-7fbc-4c76-bb71-e50cfa49ba1c,i3.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.469,Hourly
1c2b2fa0-ab46-4052-8750-79274b5744cc,i3.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,26.903,Hourly
3fafdc79-ef58-4fb6-83e2-a65f4dbcdee8,i3.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
5610d664-6643-4c00-99a5-1a161e4845e6,i3.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,10.583,Hourly
57730afd-f5fb-4ba0-91fe-ff8a1cd53255,i3.16xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.936,Hourly
58646dec-98c9-4acc-b5d9-7aa2cd6d293b,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.033,Hourly
626dbcde-8729-4b05-bff2-d3132222bf7a,i3.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,10.583,Hourly
66031f09-e463-46fc-b2a6-624d81251494,i3.16xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.936,Hourly
69f13067-9b9f-4835-ac1e-05e6631d31e7,i3.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.033,Hourly
8eae467b-baa6-4776-9d4e-80f800eed1ff,i3.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,26.903,Hourly
8f6cf813-c20e-4007-96de-4359fac96c35,i3.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
e95ff179-a395-4536-91b0-50cf53826091,i3.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.985,Hourly
f34bf96b-4b8a-4c9e-9096-72e57de65270,i3.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.985,Hourly
279de48f-760a-40ff-bc3a-12d04e524b0c,i3.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35383.0,0.0,USD,1.346,Hourly
7e02fcad-6d43-4c89-8273-ef275012ddc1,i3.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35383.0,0.0,USD,1.346,Hourly
a850a663-dc9a-4b9c-b2d1-3893ea5e70e4,i3.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35383.0,0.0,USD,1.476,Hourly
d49cb0eb-5d86-4c88-8f52-7cdaf0ba37ef,i3.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35383.0,0.0,USD,1.476,Hourly
8a6204ea-e13d-45d5-beb1-42094edefdd4,i3.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35735.0,0.0,USD,1.359,Hourly
a8ac60ae-988f-4b94-b039-818c18519925,i3.16xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,35735.0,0.0,USD,1.359,Hourly
