ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
09413fdf-b47f-47d0-9e44-348448c6246c,i3.large,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
0aa0ff7d-42b3-4a30-aaa8-48e374ce925b,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
0e4d2d9c-51f1-4c4b-95ef-f921e17f0744,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.595,Hourly
17329a61-f670-4924-a102-addfb8921c1b,i3.large,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
18045f8c-8b45-4291-91f0-6128262d375a,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
3835db1c-988e-45c5-bae0-b935d0041b25,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
4074ea1c-661d-4fb9-8862-eb3bac9f2615,i3.large,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
76e8c534-123e-44ce-917d-a5f1bde09f78,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
7bf41592-1a98-4129-9edf-b2504448295a,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
9b0afe47-878e-4990-801d-5445c0e14096,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
15509ce0-34d6-4432-aa5d-8e8227a75f5f,i3.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.091,Hourly
1967c49d-4b9e-4daa-b42a-5bfd52c7c90c,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
1f695eae-7af6-406c-a250-4d90adf412f4,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.58,Hourly
61c5b160-46e0-4268-ad6b-19038844380f,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
694d72d9-a9f6-4323-a72c-bc5f0b340a7a,i3.large,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
6bb483ce-6242-4add-bc9e-81fc7732dc80,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.571,Hourly
b5580876-c685-454d-a5c3-8f0827d96c15,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
e81e874d-6dfe-4c58-a38b-e597af86527b,i3.large,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.158,Hourly
fba01e5f-a02b-4ea0-bc86-3a36d12e3df9,i3.large,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
fdd1902b-615e-40b9-98fe-bfbab7ea3868,i3.large,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
46d6ef61-7d49-41b0-86ff-842028cf2431,i3.large,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1106.0,0.0,USD,0.042,Hourly
e47df4e2-448e-44e6-8317-e3b61abf8112,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1106.0,0.0,USD,0.102,Hourly
4a72795e-4fd2-40ff-933c-22516ad533c4,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1216.0,0.0,USD,0.106,Hourly
ab5b8be2-528f-465a-be45-3f978040f82b,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1216.0,0.0,USD,0.046,Hourly
88e6c1bf-9b39-4040-b70f-3dc8f216de89,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1269.0,0.0,USD,0.108,Hourly
fd579de1-de7e-45ea-baba-547a4eb217ee,i3.large,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1269.0,0.0,USD,0.048,Hourly
34350684-8f96-419e-994c-16da52fda0ba,i3.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1396.0,0.0,USD,0.113,Hourly
e18bdeda-1778-4153-ac04-ee357d51fba4,i3.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1396.0,0.0,USD,0.053,Hourly
d010dc33-29ae-4fff-aff5-933a94ea54f7,i3.large,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1458.0,0.0,USD,0.055,Hourly
5353f7df-fccb-4693-82c4-a7de704b29f4,i3.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1568.0,0.0,USD,0.059,Hourly
bc34352c-8dd9-471f-8483-d9f7cb6817d7,i3.large,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1621.0,0.0,USD,0.061,Hourly
9019d041-8f08-44ff-bfeb-ece28ab44061,i3.large,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1748.0,0.0,USD,0.066,Hourly
b5e3a357-9f8a-45db-aeb4-31a309c11427,i3.large,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1992.0,0.0,USD,0.076,Hourly
361a659e-6323-43cd-9e43-5913452e1ef5,i3.large,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2079.0,0.0,USD,0.0,Hourly
7ea1cca2-600e-4408-9d22-4b1eac49b221,i3.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2102.0,0.0,USD,0.08,Hourly
61f5946c-2e5b-4475-93ef-f73117e97ee5,i3.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2158.0,0.0,USD,0.082,Hourly
0181919d-42a5-4e5d-8732-854aeffd6f14,i3.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2285.0,0.0,USD,0.087,Hourly
59743fbc-2899-4d8a-9aa8-e537a9b37ab4,i3.large,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2287.0,0.0,USD,0.0,Hourly
8f5b65ce-0c36-4258-8ef9-be5d020b808e,i3.large,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2488.0,0.0,USD,0.0,Hourly
35f65e23-2263-4b27-b604-dae2a5894a1c,i3.large,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2737.0,0.0,USD,0.0,Hourly
1eb46703-4b60-43c4-8d1b-b820f7a05e42,i3.large,SUSE Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2773.0,0.0,USD,0.0,Hourly
b169e167-e826-479e-93ee-d8a1d886fdb4,i3.large,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2981.0,0.0,USD,0.0,Hourly
