ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
00255bb8-1cec-4186-9c3f-69b2e6ba75c8,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.209,Hourly
0b94502a-fe7c-486b-866e-bb67b96a0e91,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.709,Hourly
0c4daa53-fb1d-4c66-b071-f7a0ecd6692a,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.29,Hourly
6d70f615-b61b-4c50-b7bd-7cc22dd24217,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.297,Hourly
6f82ece0-83e4-414e-b3ea-13157fcd6ec3,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.276,Hourly
8c940c23-05e0-493a-81b4-9c1f15c87717,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.23,Hourly
9f413b95-3398-40fe-9a40-d7c5a75d278a,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.269,Hourly
bc4746bb-6561-4eb8-b8a5-e2f4748a51f6,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.689,Hourly
c72ea513-71b0-4849-9710-428ead663d04,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.71,Hourly
c7346b8c-756a-4d4c-93eb-e8ef3c45473a,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.73,Hourly
dd29b1d0-5042-4a2a-9167-e7da5bead984,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.263,Hourly
e882bad0-ae0f-42aa-b02e-a759f69311a1,i3.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.242,Hourly
06edab4f-3ebc-4c0d-ae4b-dba39f834116,i3.xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.214,Hourly
0988b362-4e6a-48b2-8045-fe4ba265487e,i3.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.241,Hourly
52827018-a09d-4ed0-be3b-48513ef1fa63,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.26,Hourly
692892be-1d89-40cb-a1c3-239a364ca9ba,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.7,Hourly
6e8d8dd0-058d-49ed-88f6-d36f4d01d770,i3.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.249,Hourly
7d864ac4-9417-4fa9-93d8-df03b5725935,i3.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.661,Hourly
8b3d1e7c-e124-422a-978e-68677bd43424,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.68,Hourly
93254d66-d8c4-4256-b1df-86c4f8471ee1,i3.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2,Hourly
9c8829e7-5e02-45cd-a8d0-f6021a0dbf9c,i3.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.267,Hourly
b36dc8eb-256c-4120-b50e-6581416abb1e,i3.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.681,Hourly
cafd43c7-75dd-432d-a7c8-5f3cb585b64a,i3.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.233,Hourly
eb722657-02fd-450b-bc14-4fc97595629a,i3.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.181,Hourly
20972b8d-0cb0-4b0c-b082-fb9e74d02570,i3.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2211.0,0.0,USD,0.144,Hourly
25e65e36-5c3d-4cbc-88f6-8cedeb340ac8,i3.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2211.0,0.0,USD,0.084,Hourly
36faf584-81da-4b65-b39c-ff152395bd94,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2433.0,0.0,USD,0.153,Hourly
b0081b53-f675-4b1d-8c6c-017b2900f17b,i3.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2433.0,0.0,USD,0.093,Hourly
27f458bb-54fd-4fc8-a5ba-c2265eeeae2d,i3.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2539.0,0.0,USD,0.157,Hourly
88a902e3-0d62-43ae-b596-3b3ab5aebe5f,i3.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2539.0,0.0,USD,0.097,Hourly
39620b5b-2593-4868-b23b-e35cf7d0b96e,i3.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2563.0,0.0,USD,0.097,Hourly
94b8d4b8-85b4-4d29-b9d1-dd37b186475f,i3.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2785.0,0.0,USD,0.106,Hourly
dcf3a8ed-90b7-404e-b578-8bd543da5537,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2793.0,0.0,USD,0.166,Hourly
edd02fb0-bedf-4b98-a741-d90032e10c9c,i3.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2793.0,0.0,USD,0.106,Hourly
ee70cae4-ce17-4b1c-818f-8579cb534920,i3.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2891.0,0.0,USD,0.11,Hourly
c4a135d9-ae15-4622-917d-9032563246b6,i3.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3096.0,0.0,USD,0.118,Hourly
e0d77aa0-6a9c-4a34-968d-15915b8cf391,i3.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3145.0,0.0,USD,0.119,Hourly
937cfd52-b79c-420f-88b3-7f157bacc18d,i3.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3317.0,0.0,USD,0.126,Hourly
c083c954-4018-4cba-be43-005f8c766469,i3.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3427.0,0.0,USD,0.13,Hourly
513d3c32-4296-488d-abe1-c1809076c451,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3681.0,0.0,USD,0.14,Hourly
c312cbb9-f56f-416e-9323-06c385bb892b,i3.xlarge,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4158.0,0.0,USD,0.0,Hourly
372117f7-019c-4c94-86a1-de1d60bbd8df,i3.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4573.0,0.0,USD,0.0,Hourly
2d7b9bcc-9825-4e49-bb09-e65c49a2cb29,i3.xlarge,SUSE Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4852.0,0.0,USD,0.0,Hourly
137f9d0b-0c5d-4d11-be08-a2aed6ddb611,i3.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4976.0,0.0,USD,0.0,Hourly
b312e4e0-a414-4dc5-9ca1-ff67408f1bc3,i3.xlarge,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5267.0,0.0,USD,0.0,Hourly
197443e6-0ab2-4f42-b027-45750ff0ffbe,i3.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5473.0,0.0,USD,0.0,Hourly
bda3b631-db82-43bd-a695-bbba9375d40f,i3.xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5670.0,0.0,USD,0.0,Hourly
b78d3aae-22c9-4232-b437-ba5ad42b339e,i3.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5734.0,0.0,USD,0.0,Hourly
78bf75b1-f932-4465-9b2b-b358de6f59a4,i3.xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5927.0,0.0,USD,0.0,Hourly
f9b10c44-1861-403d-aee1-6f9eac1a2373,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,6150.0,0.0,USD,0.0,Hourly
886a8a79-efab-4fc6-a03f-f76a544c8ca1,i3.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,6167.0,0.0,USD,0.0,Hourly
7e7f41a6-8e40-4d05-9ff0-67cc281c23af,i3.xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,6342.0,0.0,USD,0.0,Hourly
098dc9c7-572f-4137-ad24-11e648f080d1,i3.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,6553.0,0.0,USD,0.0,Hourly
db272cb5-252d-4f97-b2c1-da0b03ccc142,i3.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,6752.0,0.0,USD,0.0,Hourly
