ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
828c2e98-b1a8-48a1-b3f5-767ed5de7d85,m1.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,847.0,0.0,USD,0.115,Hourly
b7e1600e-a50d-43c9-b4f1-b39f5031731f,m1.large,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,847.0,0.0,USD,0.055,Hourly
297eff5d-b045-4bc8-bed8-3002ce706e37,m1.large,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,932.0,0.0,USD,0.061,Hourly
a96aacf4-6d2c-4e3b-b8e1-41e5d1835705,m1.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,932.0,0.0,USD,0.127,Hourly
bd832a6d-96a3-478a-9ced-e9d89f056851,m1.large,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,1199.0,0.0,USD,0.066,Hourly
f677525d-64df-4ffb-85c9-451e236cf10e,m1.large,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,1319.0,0.0,USD,0.073,Hourly
c88474c2-36b9-489d-b8d0-1485fd2c4a53,m1.large,Linux/UNIX,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2154.0,0.0,USD,0.0,Hourly
c5d8e83f-4a1b-425c-86eb-75c921959d6f,m1.large,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2369.0,0.0,USD,0.0,Hourly
7c629737-1702-465a-aaf2-4f2821c2a4f1,m1.large,SUSE Linux,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,2757.0,0.0,USD,0.0,Hourly
6fca00d2-da53-4191-9563-96e000575201,m1.large,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,3032.0,0.0,USD,0.0,Hourly
d9a5b060-2e8f-47f7-9ec0-15f1a3a70201,m1.large,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,3637.0,0.0,USD,0.0,Hourly
9dc27d69-dce4-412c-adc3-50129fef1a68,m1.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,4000.0,0.0,USD,0.0,Hourly
2aa102da-9e95-4c51-9e0f-629ffaf8b112,m1.large,SUSE Linux,default,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
603144c7-44f8-4817-b419-e5dd646215ab,m1.large,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.211,Hourly
a888f4b4-1254-4109-9064-a3a36308c168,m1.large,Linux/UNIX,default,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
b93ecc6c-5fe8-4a3c-9c11-2db1d37669d7,m1.large,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.216,Hourly
c531af83-fd85-434f-bdcc-5bd0c036d383,m1.large,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2a,31536000,Availability Zone,0,0.0,0.0,USD,0.171,Hourly
