ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
50394d0e-3643-4185-9931-eae1330b933b,m1.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,212.0,0.0,USD,0.074,Hourly
63f5d1b8-bfce-4b38-bf53-668a4a52e254,m1.small,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,212.0,0.0,USD,0.014,Hourly
31a55b84-945b-4cd7-8108-44e53dbb2ac4,m1.small,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,233.0,0.0,USD,0.015,Hourly
6aaea903-f44e-4304-a1fb-6008171bfcd1,m1.small,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,233.0,0.0,USD,0.081,Hourly
8f6b2c80-47da-42b2-84c5-52188e172295,m1.small,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,388.0,0.0,USD,0.025,Hourly
c9542b3c-fd41-49b4-aa83-9871492b04ea,m1.small,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2a,94608000,Availability Zone,0,427.0,0.0,USD,0.028,Hourly
3a54ee6c-6b1e-4ad0-a937-bac02328d74f,m1.small,Linux/UNIX,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,545.0,0.0,USD,0.0,Hourly
9c7b53df-af5a-460f-b53b-b2e241001abe,m1.small,Linux/UNIX,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,599.0,0.0,USD,0.0,Hourly
5046c732-a5d9-4735-a7d1-c1db506b3afa,m1.small,SUSE Linux,default,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,982.0,0.0,USD,0.0,Hourly
4c5bcc6d-a850-4222-8203-5bc1d7051afc,m1.small,SUSE Linux,dedicated,standard,All Upfront,ap-southeast-2a,94608000,Availability Zone,0,1080.0,0.0,USD,0.0,Hourly
