ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2188c947-25a1-4122-9ccb-cc70fd24e688,m5.24xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.272,Hourly
28071399-8dbd-4f09-916f-283c7ee03ebd,m5.24xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.894,Hourly
385c6130-89f4-4da7-ad4b-83124309eb5f,m5.24xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,14.792,Hourly
3bd240de-202c-47a8-aefc-d8e999ac34a8,m5.24xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.894,Hourly
47634fb4-2e4f-4a1f-a7cc-948115a08cb4,m5.24xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.305,Hourly
4ae7a657-8c4d-4308-8df1-7f3772cd11f1,m5.24xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.402,Hourly
514474e2-29e2-4e33-a074-0d8065946020,m5.24xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.402,Hourly
63c1d4cf-d615-4a81-8d66-f301a3f2b456,m5.24xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,39.272,Hourly
90c92dce-4478-47ed-98e7-47dc230035b1,m5.24xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.272,Hourly
98a7feab-0923-4e41-80b7-414d397473ec,m5.24xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,39.272,Hourly
aaca7db3-65b4-48b3-b737-710d2757fb30,m5.24xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.305,Hourly
dc636bc4-c5ee-4acf-8e29-d60ec615f062,m5.24xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,14.792,Hourly
0fdd5035-bbe0-4ed8-bc4d-e5deff94c43d,m5.24xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.975,Hourly
19cceebe-ae11-4af8-aea1-7bc8569b0c0c,m5.24xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,2.975,Hourly
