ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1420b6eb-3ad1-4b78-b4ce-fdf082faa0a0,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1749,Hourly
21a4e32b-d3bc-4e1a-af1b-5564d941afa0,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.639,Hourly
30b47864-5dbd-49fb-9477-6f7819b0d79c,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.6549,Hourly
68b3376c-07d7-48b8-9de8-0c9953b429ce,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
87113cdb-30bc-415a-9575-90469a546ac9,r4.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
934d6482-448f-4824-bc8b-291989414f64,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
93d4f791-602b-4a26-9b76-070baa41697c,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2079,Hourly
c2ff049f-4c0f-4ab6-b1d5-2a3bca2d008d,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2425,Hourly
cc1c9572-ff31-4a78-831a-41de24b857ab,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2266,Hourly
e934ffe0-1bb5-471b-a6a0-8348ef9e7018,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.6749,Hourly
ea0beb3e-b08d-4ff6-bd9a-ae6025c2371f,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.659,Hourly
fda0ef28-27c7-4e99-b07e-f843d6eb59fd,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2349,Hourly
06d643b5-2977-4021-a6ea-ab014e8288b3,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1851,Hourly
49bfe8a6-49fc-4997-8a23-e5091e76a889,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2197,Hourly
56bc9100-8aca-4889-87d0-7658dade24da,r4.xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1712,Hourly
68069373-f886-41f5-a1a5-13f9b5cb41fe,r4.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1382,Hourly
68b8d073-f79d-4b79-8fe5-d0f2d8248266,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1521,Hourly
