ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1df720ba-917e-438b-8caf-06357172abe1,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.26,Hourly
474f51b9-3887-460d-9a80-17b910e6e2e1,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.293,Hourly
6d2bcdee-cf07-4b47-8c1f-bab8ad4d7946,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.39,Hourly
a4d1e007-0a54-474e-b2b8-bb4bc2ab113d,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.3952,Hourly
dbfb2e72-8f2d-43d1-b7ab-0e85c8e0b81e,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.26,Hourly
2a5fadb0-b829-48f4-bedd-a9f96ba537ac,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.3561,Hourly
864e8214-f089-4b3b-854c-b5e24e73a848,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.3613,Hourly
9e847e73-f8a7-4086-bb88-9b5684db7d23,t2.2xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2591,Hourly
aec8677f-5e22-4f1b-9b24-b2a8e747a0c2,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.2261,Hourly
b81af897-002f-4681-8592-1f0cad87b9bc,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.2261,Hourly
249a19d6-7ebb-49bf-a425-9c5b13ca89ed,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2750.0,0.0,USD,0.1047,Hourly
d5aa08e4-2998-4f8f-a741-0701f90ada8f,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2750.0,0.0,USD,0.2347,Hourly
40626c79-3e05-4d85-a16e-9dd37c96c427,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3102.0,0.0,USD,0.1177,Hourly
a3e0c37e-4ba3-42c0-bbfe-d03cd9bc7750,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3163.0,0.0,USD,0.1204,Hourly
f9b16907-407f-44b8-9add-97017f5d4e2b,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3163.0,0.0,USD,0.2504,Hourly
cee7ca2e-479b-40b4-a15a-25ad7690bf4c,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,3515.0,0.0,USD,0.1334,Hourly
cbfe5cf8-4f37-4136-8a4c-890288b5d0f4,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,4527.0,0.0,USD,0.1723,Hourly
25b85c0b-5aa9-48df-a408-901131523341,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,4939.0,0.0,USD,0.188,Hourly
a24738fd-01a6-45b0-abcc-6fc0512aa8f7,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,5171.0,0.0,USD,0.0,Hourly
