ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
11f4f2ab-02b9-4646-9bf0-8e3f5064ae1b,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.0131,Hourly
f1e7edab-f019-45d6-a6e1-8f4cab83cddf,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.0041,Hourly
ae56865d-29e7-48f7-ab60-457f6b24db9c,t2.nano,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.0035,Hourly
e7f5d449-9a81-48b7-9628-6b51607b0ef4,t2.nano,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.0125,Hourly
f240b3bb-b867-406d-ba09-f793cf792d1a,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,43.0,0.0,USD,0.0016,Hourly
6a4da682-3685-4bcc-9daf-516b3646c567,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,49.0,0.0,USD,0.0019,Hourly
4dbf7204-85c3-4ad6-9702-971193c224df,t2.nano,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,81.0,0.0,USD,0.0,Hourly
32c9b5ea-953b-4be2-a846-9f38627ec984,t2.nano,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,87.0,0.0,USD,0.0076,Hourly
f83f5ccc-19ba-4ccb-b6ab-c13c30e288b7,t2.nano,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,93.0,0.0,USD,0.0079,Hourly
655e6985-8271-42ac-aa73-e257325abbc5,t2.nano,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,97.0,0.0,USD,0.0,Hourly
92b14a62-bd0d-414b-afc5-6945385d7f1e,t2.nano,SUSE Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,283.0,0.0,USD,0.0,Hourly
7e917b5c-c7c6-426e-b2cd-727d6e6aa42f,t2.nano,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,299.0,0.0,USD,0.0,Hourly
dcbad498-c9ec-40bf-906e-67e1456472b6,t2.nano,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.0056,Hourly
dd1486c1-d633-43b9-9594-3d5ed605eaec,t2.nano,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.0146,Hourly
9f54a33a-5f14-4e70-8070-7c154ece86e2,t2.nano,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.0139,Hourly
ab9f9bd3-fff5-478a-ae31-263943887822,t2.nano,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.0049,Hourly
252b2c9d-5688-4fa9-8df7-3b77d9df8e0c,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,20.0,0.0,USD,0.0023,Hourly
