ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
25715fac-e626-4dde-8c24-490fc54101a5,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.63,Hourly
77f3c46b-57e6-4219-96cc-18ae6ee1a88c,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.19,Hourly
944caecf-fdb4-4a7a-92f0-9cd398877c29,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
d10d5e8f-9019-454e-9086-7959ef4d8b49,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1976,Hourly
eaa1f69e-ff7b-4d71-ba5c-ce0007e6a9da,t2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.163,Hourly
07ec1955-288f-4802-b1f7-4be403530eb5,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.173,Hourly
21999ad4-f989-4ca0-9618-e76325851485,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.1806,Hourly
7473c1b5-3e8a-4bb8-ab94-390f252a91ec,t2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.113,Hourly
a347fc6f-14d5-46e1-adad-8c227b2d73eb,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,1.613,Hourly
c9f94615-653e-4c99-b6be-52e72e21a7c3,t2.xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,0.146,Hourly
44966d89-fc8f-468e-8c5f-3cf700ab6146,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1375.0,0.0,USD,0.1123,Hourly
fccf257a-3ce0-492e-b7ca-470b38f9d8c1,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1375.0,0.0,USD,0.0523,Hourly
37784b0d-345e-446e-94e6-40f7e2a06b89,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1581.0,0.0,USD,0.1202,Hourly
bfe75617-887e-44bc-804c-c79cc06230fe,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1581.0,0.0,USD,0.0602,Hourly
a8b87a90-8726-43a5-a727-ca1edefcdb86,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1727.0,0.0,USD,0.0653,Hourly
3b5c4338-ddf1-480b-9922-855d2a12f1b9,t2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,1933.0,0.0,USD,0.0732,Hourly
73710868-38a3-417d-9558-10227a703736,t2.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2263.0,0.0,USD,0.0861,Hourly
47121a14-2351-4dc3-8605-2486044a22e6,t2.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,2470.0,0.0,USD,0.094,Hourly
e605c8a8-ba17-4e75-9a37-5637e7829b24,t2.xlarge,Linux/UNIX,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,2585.0,0.0,USD,0.0,Hourly
93d5a448-bdde-4943-abca-3e07ac8f4ccf,t2.xlarge,Linux/UNIX,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,3100.0,0.0,USD,0.0,Hourly
f07ae83a-d035-4d11-9b88-1cfaa568d26d,t2.xlarge,SUSE Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,3279.0,0.0,USD,0.0,Hourly
5bfb4e8f-7a21-47e8-a843-69452eddda63,t2.xlarge,SUSE Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,3794.0,0.0,USD,0.0,Hourly
670c026d-3163-4f23-8769-8ca6d488918e,t2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4162.0,0.0,USD,0.0,Hourly
8da0ad12-1a1e-4900-87ae-5984ee96b4cf,t2.xlarge,Linux with SQL Server Web,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4362.0,0.0,USD,0.0,Hourly
88d47f80-b029-4ba0-bd8d-fca10411fa98,t2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4676.0,0.0,USD,0.0,Hourly
f786d2c9-cb15-43d2-bf02-bf6caa32f804,t2.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,4876.0,0.0,USD,0.0,Hourly
4c4cdca5-d156-49a5-96fc-227255fb2192,t2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,21085.0,0.0,USD,0.8023,Hourly
36283c77-725e-47ac-8f5e-59ad47c80d3f,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,21291.0,0.0,USD,0.8102,Hourly
df29a59a-09d1-4fdc-ad4a-57bf91557b9c,t2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,42005.0,0.0,USD,0.0,Hourly
5b7db15f-6b57-4a89-b80d-526fefa92047,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ap-southeast-2c,94608000,Availability Zone,0,42520.0,0.0,USD,0.0,Hourly
1e0669de-7b44-4f33-b99e-371124cccb8b,t2.xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.2135,Hourly
4921ccf3-c77b-437f-8156-73f0da5a593c,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.2405,Hourly
9245f25f-fb7f-48be-926a-aa72eedb1cf9,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.2481,Hourly
f5e98507-269f-4d13-b9ca-850273a4eb98,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,1.6805,Hourly
f98002f8-631a-4a93-b4c0-608b66bf3e43,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.1805,Hourly
4ba4ba1b-b782-4605-9176-4058085707ef,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.217,Hourly
824c3a71-d84d-4756-a985-748270193b0b,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,1.657,Hourly
96579ec2-d475-4856-aa26-0d2cb0e922be,t2.xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.19,Hourly
d0684ed9-dd1d-48b2-ade0-7e57becdee6e,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.2246,Hourly
fde7bc77-d23a-469e-9b13-fc21d4522f33,t2.xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,31536000,Availability Zone,0,0.0,0.0,USD,0.157,Hourly
7a621daf-e9a8-4422-a397-85b24b5509e6,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,31536000,Availability Zone,0,655.0,0.0,USD,0.0748,Hourly
