ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0677314c-7f92-4757-b454-5f05c75d0d50,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.706,Hourly
0976a098-3d5d-4c57-8fee-80e535f4bce1,x1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.966,Hourly
0e366346-d31d-4924-a9fd-b60b4afaa5eb,x1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.933,Hourly
30faea2d-2977-4214-a020-08fea6ed5c8e,x1.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,11.613,Hourly
45431826-cf44-43de-998f-5fb59b9c4f1e,x1.16xlarge,Linux/UNIX,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.576,Hourly
662d07e1-2124-47c0-9072-7d7c8934c50a,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.063,Hourly
b3de152a-7433-45ad-954b-e89fc9d3dd76,x1.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,5.015,Hourly
bd0d0c95-fa17-4270-8422-4b426ee03d5c,x1.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,11.256,Hourly
cba54724-2e2b-4a06-9a23-2967e13edbf7,x1.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.576,Hourly
ccee1de1-6836-49c1-b930-7196b7bdc922,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.933,Hourly
dce737e4-cb2d-4aa9-90c9-839df244c030,x1.16xlarge,SUSE Linux,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.609,Hourly
f52826a7-6a3c-40c1-858e-b8f677ca2d1c,x1.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.657,Hourly
22127d8b-6531-49d4-aa82-f173eee748c8,x1.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.191,Hourly
516d0475-1aa5-46fa-a1c7-689e21df5993,x1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.453,Hourly
6156bde3-117a-4552-a28d-45a9b3d69f7c,x1.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,11.1,Hourly
75cada63-fb16-40de-b10c-6546cdd07814,x1.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.109,Hourly
897918c2-7ba5-473a-a624-1098ef7635e0,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.55,Hourly
9c7631ac-8504-41f6-9ef5-a4cb4446e9aa,x1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.42,Hourly
cfb24de1-aadb-42e6-9fe1-3f7eddd69589,x1.16xlarge,SUSE Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.142,Hourly
f0f78e96-829a-4a5c-bf51-0121dd11dfcf,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,27.42,Hourly
f9ae6f72-92a2-4bc3-bfe8-abf36ed0673d,x1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.239,Hourly
fa782419-39d8-4f4a-b403-314971b83255,x1.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,10.789,Hourly
fbf834bb-0d03-4f5a-b3d9-311f9fac8075,x1.16xlarge,Linux/UNIX,default,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,3.109,Hourly
ff83c8e8-7654-456a-9eed-9e6ca7bbe88d,x1.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ap-southeast-2c,94608000,Availability Zone,0,0.0,0.0,USD,4.502,Hourly
a07bde5f-5c3f-427e-8ccf-a56bc21d89de,x1.16xlarge,Linux/UNIX,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,37830.0,0.0,USD,1.439,Hourly
c7d15e7a-1340-44de-a28e-2ebecc30704f,x1.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,37830.0,0.0,USD,1.57,Hourly
81786228-c279-4be6-861f-909bc23b3acb,x1.16xlarge,SUSE Linux,default,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,38182.0,0.0,USD,1.452,Hourly
766de72d-2e97-4265-98b5-5576aa270ead,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41613.0,0.0,USD,1.713,Hourly
e99ee7c6-9aca-4a9a-9884-b5c21c324d1c,x1.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41613.0,0.0,USD,1.583,Hourly
d2d459de-ed38-403e-ad02-35ae38beb797,x1.16xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,41965.0,0.0,USD,1.596,Hourly
17b3b14d-0365-43ba-be4d-87efe22d12e8,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,43505.0,0.0,USD,1.785,Hourly
e301d1c1-d2fb-493f-b566-f909bdf2232b,x1.16xlarge,Linux/UNIX,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,43505.0,0.0,USD,1.655,Hourly
d9b7bd7e-fd80-4abe-aeaa-3945a7bd8ae4,x1.16xlarge,SUSE Linux,default,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,43857.0,0.0,USD,1.668,Hourly
62971196-3152-40fd-8504-d2600ed12c1b,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,47855.0,0.0,USD,1.951,Hourly
b3ed87c5-79dc-4c03-a83d-5b54655f361d,x1.16xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,47855.0,0.0,USD,1.821,Hourly
582cb4b1-b8d4-4d75-8231-d46c85548ab4,x1.16xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ap-southeast-2c,94608000,Availability Zone,0,48207.0,0.0,USD,1.834,Hourly
