ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
09f99602-dd48-4d21-92a6-a972b2ba3489,c4.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
0d45dac7-e5d5-4a63-ad81-27c1c641cddd,c4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
2682a2f7-7c5d-4113-94b6-b5912c896e73,c4.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.09,Hourly
a4212b77-90e1-49c2-a0e7-44cf8478133b,c4.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.057,Hourly
b1f15d12-f814-40db-bb95-0a19efedc538,c4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
b810d165-927d-4a94-b17a-11354cfb6e9a,c4.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
c2de458d-9afa-430d-b2a5-289f3eb58096,c4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
c41fe664-ad01-4f4a-b169-997275942713,c4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
eb34f61b-fa81-4e7b-9c34-a9bf8d1bf0fa,c4.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
fd75fa6b-f3b8-4bdf-b39e-e5c590ed3ede,c4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
255edd99-dfb2-443a-9ec3-6513187445e3,c4.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.055,Hourly
40d4c0c2-85a1-44b9-bb40-efb7b4e590d1,c4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
4a8b1f6c-1df4-4f12-9633-974fa08a6745,c4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.534,Hourly
4c99393d-2899-4aeb-b2bb-ef0adf9eb8d8,c4.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
729dd57b-219e-419f-945a-ace1f5791285,c4.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.05,Hourly
825d6bba-1227-421e-9163-68e142f5154f,c4.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.529,Hourly
84e624fe-d932-437d-bcbf-de37f2b429a4,c4.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.083,Hourly
a99758e4-0d14-459e-93ea-220387093b62,c4.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
c0ea1574-50f3-4a0e-96c5-8941abeefaff,c4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
ebc49057-533c-4610-af6e-9511f29e789e,c4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
4d918409-a6f2-4ef6-a665-3fddec893ffa,c4.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,598.0,0.0,USD,0.023,Hourly
4ee82e81-7552-4918-a826-7f7ae98dc16a,c4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,598.0,0.0,USD,0.083,Hourly
0b5fce02-6943-43a2-aebb-56987736aea0,c4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,658.0,0.0,USD,0.085,Hourly
b8b86e89-4fdd-433a-8c87-3a7b64fa3703,c4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,658.0,0.0,USD,0.025,Hourly
1482c565-12c1-4e97-9c94-8a997af5bf01,c4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,695.0,0.0,USD,0.086,Hourly
b3be4fae-e2a7-4654-a053-cc0866f9827a,c4.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,695.0,0.0,USD,0.026,Hourly
2fae2518-c00a-42ee-8d46-dd37f224b2c5,c4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,765.0,0.0,USD,0.029,Hourly
a7e1eb65-d68f-420f-a3cf-8eb28e10813a,c4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,765.0,0.0,USD,0.089,Hourly
9f1739be-76ff-4ced-82b8-466e0a4c9c29,c4.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,950.0,0.0,USD,0.036,Hourly
8f240173-02a1-43e0-8273-6b46f6c8988d,c4.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1010.0,0.0,USD,0.038,Hourly
6a777d57-64bf-45f5-8994-89853c7c9b7e,c4.large,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1047.0,0.0,USD,0.039,Hourly
cccd2a24-9e63-4cc3-8cf2-df20a62cac5d,c4.large,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1117.0,0.0,USD,0.042,Hourly
3a70da0b-6480-4507-9d12-6b94df7dd5e4,c4.large,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1124.0,0.0,USD,0.0,Hourly
9e767303-efc0-425d-8f5f-2693064c97f9,c4.large,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1236.0,0.0,USD,0.0,Hourly
82e5f924-6237-4197-8678-c9dedb8a96ba,c4.large,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1362.0,0.0,USD,0.0,Hourly
a9c106c3-7ce3-48c1-9f13-ac8e5597f61f,c4.large,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1485.0,0.0,USD,0.056,Hourly
4af8e471-2f44-4bac-9e93-12441d820d7a,c4.large,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1499.0,0.0,USD,0.0,Hourly
d3e4b50a-6c60-401d-afd0-8ac7d0463d9b,c4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1544.0,0.0,USD,0.059,Hourly
7506d2bb-0191-4066-a24d-5554141dfde7,c4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1583.0,0.0,USD,0.06,Hourly
4b8e620a-48ee-4c61-8e45-9338d781cb93,c4.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1653.0,0.0,USD,0.063,Hourly
c0d4919e-7dde-43e1-a4d1-a5f1934d605a,c4.large,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1818.0,0.0,USD,0.0,Hourly
0bc76af9-ade8-4b7c-b6fa-017dcbbf395c,c4.large,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1930.0,0.0,USD,0.0,Hourly
e2a600b9-a33d-4fbc-9fdc-a5acb7fb4cef,c4.large,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2056.0,0.0,USD,0.0,Hourly
23d4fcdd-876c-441b-887f-dc0c6e2dd682,c4.large,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2193.0,0.0,USD,0.0,Hourly
4dde25e9-6203-4059-a8ce-5b873d2b4600,c4.large,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2701.0,0.0,USD,0.0,Hourly
f86bf15f-4039-4308-b92d-5ab4460164ca,c4.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2813.0,0.0,USD,0.0,Hourly
641c150c-db21-4680-9dff-3b61b1bcb9dd,c4.large,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2898.0,0.0,USD,0.0,Hourly
8304e31d-4cc7-44ab-8b0e-3e2821fabdf1,c4.large,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2939.0,0.0,USD,0.0,Hourly
99e84eff-a872-46ef-b0d4-9ea6052996db,c4.large,Linux with SQL Server Web,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3010.0,0.0,USD,0.0,Hourly
a4f854e8-acfe-4a87-839f-8de09cd3f03b,c4.large,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3075.0,0.0,USD,0.0,Hourly
d11bcc6b-6eb0-4030-b811-ba72f09e452b,c4.large,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3139.0,0.0,USD,0.0,Hourly
2b571adf-2e8c-4b92-ba28-0a59606c0129,c4.large,Linux with SQL Server Web,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3275.0,0.0,USD,0.0,Hourly
80387d54-6bad-4ed7-a3bf-61897085a3e9,c4.large,Linux with SQL Server Standard,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,6904.0,0.0,USD,0.263,Hourly
5709a4b3-9cb9-4c94-9934-a242f3b18a1e,c4.large,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,6963.0,0.0,USD,0.265,Hourly
85b42e90-4fd2-4bfb-a68d-d1021691b610,c4.large,Linux with SQL Server Standard,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7002.0,0.0,USD,0.266,Hourly
b6983040-1a6f-49d1-860e-2062315a0abd,c4.large,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7072.0,0.0,USD,0.269,Hourly
cdf6f10c-321f-4bf8-8fc5-7a5a1d186d4d,c4.large,Linux with SQL Server Standard,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,13736.0,0.0,USD,0.0,Hourly
138fe94b-7250-44d7-9efa-04bd26fa2971,c4.large,Linux with SQL Server Standard,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,13848.0,0.0,USD,0.0,Hourly
4e5dcca1-ab38-4ecf-8d90-01023b84cb5d,c4.large,Linux with SQL Server Standard,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,13977.0,0.0,USD,0.0,Hourly
49baf964-3c00-421d-964e-3564cf78c878,c4.large,Linux with SQL Server Standard,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,14113.0,0.0,USD,0.0,Hourly
01aed494-a606-4ee4-a06c-42f3e203cdd7,c4.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.118,Hourly
0516dd2a-438a-49bd-be1a-ac4aa103f878,c4.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.152,Hourly
15e9ed3f-2c30-44d7-bcc7-41fb69f5d414,c4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.573,Hourly
27512a46-d9ca-406d-8b91-8a0939f33c4c,c4.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
524e92fc-49b8-480d-87f1-2bf9423a4472,c4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.145,Hourly
69fe836c-d9b8-4515-b0ba-e038c31aea20,c4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
b34d14c8-9a0d-43f3-b961-b391da8cefcb,c4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.565,Hourly
bcab7c9e-140d-401d-855a-c6fb775bbb57,c4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.161,Hourly
bf9c30ad-9352-4fdf-8f6f-2e7bfdd80717,c4.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.085,Hourly
d2b7ef44-1097-4c16-9696-554e68fb88ac,c4.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.093,Hourly
09ec4146-5e19-4381-87e4-5f4b23428522,c4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.134,Hourly
0b76d67e-1d76-4a3b-bc61-78f6f03820cb,c4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
22211869-aa7d-4523-ad70-ce1007568021,c4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
22593305-c761-428f-8a2f-582fbed85430,c4.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
65645bfd-7090-4d5e-b65a-337ae48ba99c,c4.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.081,Hourly
91607260-acd8-4b2d-8e56-b6ba3084d5d1,c4.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
b7f25243-cb85-48d8-a4f2-3ac03440777b,c4.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.554,Hourly
db4d5118-24e7-4473-a58f-4ca294c86e10,c4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.561,Hourly
ebb23698-21b7-4d47-9b2e-01e9c03ad51b,c4.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
f1f5d757-0abc-406f-a734-02546744a02d,c4.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.107,Hourly
3a204c51-973d-451d-91a4-2b7f023dade1,c4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,305.0,0.0,USD,0.095,Hourly
738ee45d-ce93-43d4-9cd9-34bdae2ee9cd,c4.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,305.0,0.0,USD,0.035,Hourly
aa30b94b-db82-426d-bf31-2601a2260800,c4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,336.0,0.0,USD,0.038,Hourly
bbe99f5c-afb2-42c2-b9e6-4298bbbd77ee,c4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,336.0,0.0,USD,0.098,Hourly
5c2e5f13-41da-45d1-96da-eac1716956b7,c4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,353.0,0.0,USD,0.1,Hourly
ec214867-ca3f-4b64-a615-5c8f3879fc4e,c4.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,353.0,0.0,USD,0.04,Hourly
8d3ac109-c0a7-42ae-94bc-bfb7710118c8,c4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,388.0,0.0,USD,0.104,Hourly
a3afcc4a-86b5-464e-b433-d47040a1cb6e,c4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,388.0,0.0,USD,0.044,Hourly
fc30eb6d-1ee0-4e9e-b20c-cbced2379264,c4.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,481.0,0.0,USD,0.048,Hourly
d660186a-10df-43a7-abbb-d5a6440f9293,c4.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,512.0,0.0,USD,0.051,Hourly
2ef15bdd-8cc6-4def-a047-ba527fc03441,c4.large,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,529.0,0.0,USD,0.053,Hourly
aca5e67a-a046-4848-b74c-4dc9cd6aae5c,c4.large,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,564.0,0.0,USD,0.057,Hourly
d8629190-2389-4621-ab14-5d854cd434bc,c4.large,Linux/UNIX,default,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,598.0,0.0,USD,0.0,Hourly
7a7ccf86-2b60-41ec-855a-a1cf7af91e0b,c4.large,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,603.0,0.0,USD,0.069,Hourly
fedcd371-30c9-4287-859a-cc17dbaf52f7,c4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,633.0,0.0,USD,0.072,Hourly
8803b006-e6ea-4b8b-8fbe-6582536afbd1,c4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,649.0,0.0,USD,0.074,Hourly
3852834c-8ce8-45c9-88cc-2cbe3fce1dd2,c4.large,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,658.0,0.0,USD,0.0,Hourly
