ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
06f18174-2d0d-454c-a496-234a2eb033e6,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
0d0080c3-bf20-45c1-8830-c1541eb22aca,c4.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
0d9ab6ae-6441-4c7f-8fde-51b3116c6590,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.114,Hourly
14c55030-f3c1-48f0-ada7-f04720e79be2,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.186,Hourly
14d7bca3-9844-4f8c-a698-2232e327fba9,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.626,Hourly
2bcf1f34-a0b1-47ad-aedb-c03968bcf640,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
394cb0a9-1aab-4ecd-9b52-cd8da9f94f53,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.606,Hourly
3a82b6c0-a6ea-4738-a1a9-c9e993439bf1,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.594,Hourly
890da9ec-af9f-4165-82d8-32945f106e54,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.193,Hourly
900472c3-9c69-4a1f-a77d-c2e405b5c922,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.614,Hourly
99429d33-6c8c-46cf-8bbf-3b701914add8,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
a1720e31-97b3-4b1d-aeb5-28c0102a7f2f,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
010ef1a0-0931-4b1a-a1e3-b11f012584e1,c4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.598,Hourly
037d5ded-9d7f-4032-b339-15c6f5026de9,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.608,Hourly
13e1634f-4b5e-4ee6-a3e9-c4631bfb0dcd,c4.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.132,Hourly
283eec13-7cc7-4186-b76c-ad7cdd991434,c4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.578,Hourly
3983812b-cf21-4317-83da-a8a85f1ad019,c4.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.142,Hourly
3c6111ca-8a09-44f5-983f-9a2744036f86,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.588,Hourly
69497ae9-876b-4168-bf21-1dad1aac7d64,c4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
71c6ad5c-c0e1-4a40-b5d2-e7f402e9ccf7,c4.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.099,Hourly
94f6040c-795d-4c1f-81e6-68842cf16cc9,c4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
a376a416-2ecc-4af7-95e6-b06d6e48607b,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
e46cc9f1-42e8-404e-bbf9-806a05a643e3,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.166,Hourly
fd4fdde1-1ce5-4b8c-966c-9f13b7a433df,c4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
30c922b7-861c-446d-84f7-d6083c419674,c4.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1192.0,0.0,USD,0.045,Hourly
e937cd30-4409-4328-afb6-fd6621a68426,c4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1192.0,0.0,USD,0.105,Hourly
3f4a9ca0-bc8a-41f1-870c-6897da3c575d,c4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1312.0,0.0,USD,0.05,Hourly
a2205c77-5060-4d08-8c29-08d4187e1547,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1312.0,0.0,USD,0.11,Hourly
254de2fb-1a91-45c1-acb6-2bc70f99d303,c4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1390.0,0.0,USD,0.053,Hourly
eb8e8f5a-bfaa-4317-b7a2-eb3066243416,c4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1390.0,0.0,USD,0.113,Hourly
6417bc92-6a7d-4c86-9098-eb1281177077,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1529.0,0.0,USD,0.118,Hourly
f9b5659f-72de-4b98-b7da-7505d567333f,c4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1529.0,0.0,USD,0.058,Hourly
253db269-693d-48d6-86d9-11b02df0c7b1,c4.xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1544.0,0.0,USD,0.058,Hourly
a940065b-fc7e-4bb4-b6fe-a3b9dc4f3611,c4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1664.0,0.0,USD,0.063,Hourly
b8a79026-0d6e-4368-9748-649bd49bae70,c4.xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1742.0,0.0,USD,0.066,Hourly
52697283-c546-4e83-9c72-f42da0cd1bc2,c4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1881.0,0.0,USD,0.071,Hourly
797f2659-c029-4f46-acf7-dcd7c8350e78,c4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2081.0,0.0,USD,0.079,Hourly
02333163-4cdb-4442-8f69-c781c6be083f,c4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2200.0,0.0,USD,0.084,Hourly
335f68ea-971a-46f0-ad3d-e4b0ec8d09b5,c4.xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2240.0,0.0,USD,0.0,Hourly
acd5b633-22ea-4f8e-8fdd-a2448371809b,c4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2278.0,0.0,USD,0.087,Hourly
f5ce1743-aa37-4de8-a7e9-da7b5d753444,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2417.0,0.0,USD,0.092,Hourly
774a7e75-762c-47d9-8d30-8fbca0b53a03,c4.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2466.0,0.0,USD,0.0,Hourly
40646a20-9050-49ea-8318-d2c859eefca0,c4.xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2725.0,0.0,USD,0.0,Hourly
a2a07f49-1882-4223-a071-f17b76055995,c4.xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2934.0,0.0,USD,0.0,Hourly
46356f48-3e25-4bd1-9555-9acdd2f1a47c,c4.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2997.0,0.0,USD,0.0,Hourly
1ad05e07-6b3f-4e0b-ac77-b5844be9200e,c4.xlarge,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3160.0,0.0,USD,0.0,Hourly
863b7241-350c-4d25-93c5-daf82be72b8b,c4.xlarge,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3419.0,0.0,USD,0.0,Hourly
e05cfe5d-70e1-457a-80c7-a41e438e188c,c4.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3691.0,0.0,USD,0.0,Hourly
8a6bae5f-9c09-42ce-bf06-ead55fcc297f,c4.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3817.0,0.0,USD,0.0,Hourly
3354c5ec-a5ea-4f8b-aa4c-238c5b6d9363,c4.xlarge,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,4019.0,0.0,USD,0.0,Hourly
b1ac8cbc-5e1e-4735-9a70-60f68749fdc7,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,4043.0,0.0,USD,0.0,Hourly
ff72cd10-b8df-41de-9cf0-2da5da725270,c4.xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,4243.0,0.0,USD,0.0,Hourly
9e19e34d-1545-4816-bdcd-cb239e938dbd,c4.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,4302.0,0.0,USD,0.0,Hourly
947de317-c094-43f8-b9f4-62efd6ddf571,c4.xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,4501.0,0.0,USD,0.0,Hourly
ba2b6859-8fee-4a60-88f0-bf533dc999d1,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,4574.0,0.0,USD,0.0,Hourly
21bca482-9f39-4359-b299-163c0bdbd64e,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,4774.0,0.0,USD,0.0,Hourly
ad12ea03-2dff-414b-8693-2becb78e6a82,c4.xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7500.0,0.0,USD,0.285,Hourly
d43753ff-84f7-42c2-adbc-2761dc5beaa7,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7619.0,0.0,USD,0.29,Hourly
a5de4bc8-ea3e-43d2-823d-7a53a6017d6d,c4.xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7697.0,0.0,USD,0.293,Hourly
4dd56516-e6d8-402b-a63a-ed178c52855a,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7836.0,0.0,USD,0.298,Hourly
725bf62d-0a02-4fff-bbc1-fe1e5c20e940,c4.xlarge,Linux with SQL Server Standard,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,14857.0,0.0,USD,0.0,Hourly
f2e8c15c-413b-42af-85c3-8b7490347bf9,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,15081.0,0.0,USD,0.0,Hourly
6cd953e9-52b8-4169-9078-bc0aa81a7aa6,c4.xlarge,Linux with SQL Server Standard,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,15339.0,0.0,USD,0.0,Hourly
da19a6f8-3dee-4566-88fe-1d919c4a3eef,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,15612.0,0.0,USD,0.0,Hourly
ef8a82b1-1a38-4e99-adb0-4d9bde24a4a7,c4.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,20903.0,0.0,USD,0.795,Hourly
23d4c70c-adfa-47a9-8a1f-9ae91ae58a37,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,21022.0,0.0,USD,0.8,Hourly
3ede99d5-5616-40e8-806f-5e3c4beb95c5,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,21100.0,0.0,USD,0.803,Hourly
1f8ee7ac-c9f2-4230-8330-7c9d1442070f,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,21239.0,0.0,USD,0.808,Hourly
3325da6b-2f9d-44c9-97e3-e356c6e66859,c4.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,41663.0,0.0,USD,0.0,Hourly
ed5f3a36-db02-4b5d-843c-7267ea2b9405,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,41887.0,0.0,USD,0.0,Hourly
86c1f6e6-5933-4b35-af6c-e4c8caba66d8,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,42145.0,0.0,USD,0.0,Hourly
6d73925a-0ce9-4e93-926e-09c82f44ec63,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,42417.0,0.0,USD,0.0,Hourly
0ca59c99-e6df-4b15-b582-21c82ab59a12,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
23fb5947-0db8-4510-9cf3-36abd70527e6,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.254,Hourly
2c5cf036-d658-480b-beee-bcce72eb9541,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.686,Hourly
50af1d27-c4cd-4aa8-85a0-2b6e8e6f21de,c4.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.202,Hourly
60479c4e-13cb-44e8-b19d-9613c54c9130,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.237,Hourly
6088a0f1-ab4f-4604-a3ab-094255aa2d23,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.186,Hourly
64a8c28e-1012-4e24-97ee-760989716e5b,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.666,Hourly
9872d938-cd7d-424b-beea-bb12c71f7497,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.246,Hourly
9d395d93-8682-4944-83a5-4aa1ffd1bf00,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.229,Hourly
d1792c1f-7155-4593-ab35-bf7caa68f9dd,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.669,Hourly
f150e9ee-8356-467f-a93f-70ffc365ba90,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.649,Hourly
ffb8d799-eda3-48b0-8622-72570917754f,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
285f4ead-922b-40f2-9fc7-4ed733189899,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.642,Hourly
2fec2bb9-40fd-41b1-a10d-b3f919c87f89,c4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.229,Hourly
3bcc2219-b079-4324-8a59-702be11cbf7b,c4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.627,Hourly
3c2cc60e-cee8-4c1e-9b27-564b5f78b61d,c4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.207,Hourly
6119306b-bc45-4b62-bf32-b5d63979569e,c4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
663d05eb-a6de-4fd3-b176-0ade859ca728,c4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.647,Hourly
7af2f2a3-53b6-489d-a1dc-a82e9916f3a0,c4.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.195,Hourly
7b64100d-392a-44d6-be11-d39377e53267,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.222,Hourly
8c2c7d5d-348f-444d-a63e-a87e78066fc7,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.215,Hourly
a106cabf-1c04-47fb-8379-b3887d1e826d,c4.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.147,Hourly
bfa1f2e8-78e7-41a0-ad89-8d42c0c361b0,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.662,Hourly
c43f598f-8df7-4c7b-8483-a8a49779cf03,c4.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.18,Hourly
29b28824-0d5f-42e0-a774-5c1aedaf039d,c4.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,613.0,0.0,USD,0.07,Hourly
9635be25-f549-4434-8d90-e04aa4270625,c4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,613.0,0.0,USD,0.13,Hourly
0fbacc75-59ea-43a3-82b1-7c4f76ef0894,c4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,674.0,0.0,USD,0.077,Hourly
b6ce1c6e-a64c-4f10-a901-643ccf311d7a,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,674.0,0.0,USD,0.137,Hourly
0f510e4d-e1c8-4b26-b8e2-b4191aac8e1b,c4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,705.0,0.0,USD,0.141,Hourly
ecba84e8-7145-4b62-b3fb-e3eef61eccfc,c4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,705.0,0.0,USD,0.081,Hourly
4373e651-0db8-4f91-9453-0f11b659cf96,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,776.0,0.0,USD,0.149,Hourly
6bb4ae13-345f-44c4-bff0-985e4f9680d8,c4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,776.0,0.0,USD,0.089,Hourly
0612d1b6-23c4-497c-9198-fd553194ede7,c4.xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,789.0,0.0,USD,0.083,Hourly
f75c724a-fd8c-4396-aae1-b7bd4047db88,c4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,850.0,0.0,USD,0.09,Hourly
3a8f3c28-b44f-41b7-ae3a-16d315ad7a8c,c4.xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,881.0,0.0,USD,0.094,Hourly
643efbe9-87e5-4810-8855-3c0f6766e101,c4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,909.0,0.0,USD,0.104,Hourly
ecfb5bfe-605c-481e-981b-c25e0670ebed,c4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,952.0,0.0,USD,0.102,Hourly
127263d5-ca16-4923-af8d-1e111ae6d2d7,c4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,971.0,0.0,USD,0.111,Hourly
3dd90808-2319-4edd-a25d-6f80a276d403,c4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1001.0,0.0,USD,0.114,Hourly
60193c5e-2dda-4446-8c15-9f4b361ba8cd,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1072.0,0.0,USD,0.122,Hourly
d95f30d8-0d4d-4d82-bd73-96d67dc1ff51,c4.xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,1201.0,0.0,USD,0.0,Hourly
bd777697-4558-465c-af8b-d7a1a461157e,c4.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,1322.0,0.0,USD,0.0,Hourly
0c6a6184-64b1-4bb9-8a61-3f075a50254d,c4.xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,31536000,Availability Zone,0,1382.0,0.0,USD,0.0,Hourly
9a6ec52a-9cc0-46d0-8e9e-0f848a08c89e,c4.xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,1491.0,0.0,USD,0.0,Hourly
3ee3ed7b-c5f9-464e-91b3-e1b0a7be32d7,c4.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,31536000,Availability Zone,0,1520.0,0.0,USD,0.0,Hourly
22e50f19-4342-4ff6-9184-50b34fc94923,c4.xlarge,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,1612.0,0.0,USD,0.0,Hourly
3ee84712-1900-4965-bce5-57cf66c6bfc3,c4.xlarge,SUSE Linux,default,convertible,All Upfront,ca-central-1b,31536000,Availability Zone,0,1672.0,0.0,USD,0.0,Hourly
9578f154-8e47-4c18-b6fd-743d6d4d6853,c4.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,31536000,Availability Zone,0,1726.0,0.0,USD,0.0,Hourly
