ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
1613f71f-e3fb-4174-b091-4938d9de7eb8,c5.9xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.911,Hourly
18c1f60d-3419-4ca0-bddf-b6f4ed70464f,c5.9xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.804,Hourly
4d6f4ae5-2cec-4343-8d93-d49a72ec2626,c5.9xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.837,Hourly
67e90a83-692f-486f-890c-1d0863476b3a,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.411,Hourly
783f47b5-cf6d-4638-8b11-023e948efc53,c5.9xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.124,Hourly
9d1aa0a2-edda-40c5-9adb-2b1798e40efa,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.041,Hourly
b54dbb28-f28f-401a-ae44-74ec3796524b,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.934,Hourly
bc6c3ed2-7922-4fb2-b075-5b6bd1ebb5bb,c5.9xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.304,Hourly
c33a5814-6170-4cb0-a72d-6be6e0487843,c5.9xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.231,Hourly
c7f75165-0216-4248-b45f-218005727c9c,c5.9xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.944,Hourly
ec0d750c-2fbf-4812-a700-3b39c045bc26,c5.9xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.412,Hourly
f839958f-bab6-4bfe-ab43-1697d26c2ff2,c5.9xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.519,Hourly
01c6f68a-4198-45cc-a311-855177d6890a,c5.9xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.126,Hourly
035b3dc9-f760-4939-94cc-8cebe3070921,c5.9xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.307,Hourly
105b2a81-2e12-4703-bcc0-4a50227a5e25,c5.9xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.806,Hourly
18ccae27-5f45-48d2-a0af-deecda1cc589,c5.9xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.199,Hourly
1c75c892-3f94-440b-ba62-3add5f900754,c5.9xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.829,Hourly
1f85e4a3-40ab-4431-a129-7bd0f5c49d3b,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.306,Hourly
6a29b4a0-f84b-4807-8683-e2e7d955e9a2,c5.9xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.019,Hourly
ae0e97bd-5b3d-4cd6-b7bb-40f9541ccd9d,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.936,Hourly
b51f555f-f6c2-45da-b850-0b496aa67463,c5.9xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.732,Hourly
c11effb6-cab2-40c2-a2c8-e524765f740e,c5.9xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.414,Hourly
e0f8803e-1f8f-4947-984a-3100407d47aa,c5.9xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.839,Hourly
efff044f-a2c6-43cb-8bb6-4967eeed9e9c,c5.9xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.699,Hourly
b3c95d20-3622-442b-bdfd-6f66204be9cc,c5.9xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8503.0,0.0,USD,0.324,Hourly
cf94c851-bc23-400c-b4a3-a44464a48bb7,c5.9xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8503.0,0.0,USD,0.454,Hourly
453834a1-4ed9-43a3-b60c-68f263c1ff6a,c5.9xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8855.0,0.0,USD,0.337,Hourly
29666f5f-6a5c-42d1-aa0a-419559dcf235,c5.9xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9779.0,0.0,USD,0.372,Hourly
c66575bd-84ea-498c-8cdf-26451f12ac81,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9779.0,0.0,USD,0.502,Hourly
9547b863-b69b-4440-95b7-1d33aa3a1314,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9909.0,0.0,USD,0.507,Hourly
a5a3c7a9-8d84-4ae9-b57c-7a543afa08d3,c5.9xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9909.0,0.0,USD,0.377,Hourly
42aa4427-48fb-4cee-92bc-a6bcfab78e15,c5.9xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,10131.0,0.0,USD,0.385,Hourly
dc7f2021-1dfe-411b-ba1a-74b97b0fdd49,c5.9xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,10261.0,0.0,USD,0.39,Hourly
1ae024a9-2464-4d5e-8702-bc96929e3e62,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,11184.0,0.0,USD,0.556,Hourly
b3b81db8-3e1d-4c51-a8bd-4a3d046d41ea,c5.9xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,11184.0,0.0,USD,0.426,Hourly
35880144-4d97-4896-8c29-d2ed9475b18c,c5.9xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,11536.0,0.0,USD,0.439,Hourly
3aa78ec7-bc6f-4f65-85d0-eb8198cf59fe,c5.9xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,15986.0,0.0,USD,0.0,Hourly
7e17455e-7e2f-4eb5-9b1f-513dc7a684ca,c5.9xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,16498.0,0.0,USD,0.628,Hourly
4257e97b-716a-4df7-9470-c31eac0aecca,c5.9xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,16680.0,0.0,USD,0.0,Hourly
87ec5a88-a0d4-495d-b853-6a964aaf5b6a,c5.9xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,17773.0,0.0,USD,0.676,Hourly
6a74adf2-bfc5-4da3-990c-545bac7e8308,c5.9xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,17903.0,0.0,USD,0.681,Hourly
af817b0d-b622-4470-b3ab-625323191efa,c5.9xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,18797.0,0.0,USD,0.0,Hourly
b17fe798-61ca-4156-83c6-4af5321277c4,c5.9xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,19166.0,0.0,USD,0.0,Hourly
373bc450-b706-4be7-84e2-656a6fed47cf,c5.9xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,19178.0,0.0,USD,0.73,Hourly
242f2c3d-8885-46b4-b2c5-4b2e96f8bf2e,c5.9xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,19403.0,0.0,USD,0.0,Hourly
6cacd5fe-a21d-48cc-9c35-3c2284b4a1ab,c5.9xlarge,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,19491.0,0.0,USD,0.0,Hourly
27ff4f54-6755-4f33-84fa-8adb6dd10073,c5.9xlarge,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,19860.0,0.0,USD,0.0,Hourly
d46bbeeb-b03e-44bd-8fd7-faa1f11669dc,c5.9xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,21977.0,0.0,USD,0.0,Hourly
468615c8-5457-4e37-9550-8f8d165f1862,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,22214.0,0.0,USD,0.0,Hourly
26af01ca-6513-4cea-96db-65456886838e,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,22583.0,0.0,USD,0.0,Hourly
a549fdc4-3b24-4af9-b920-48afd5fe4162,c5.9xlarge,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,22671.0,0.0,USD,0.0,Hourly
1943f063-e158-405d-b2ec-9969af8c3785,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,25393.0,0.0,USD,0.0,Hourly
4662b6fa-ef30-4906-9b71-0a40b97d2da0,c5.9xlarge,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,31975.0,0.0,USD,0.0,Hourly
aefa9536-507d-4226-8caf-ea00176b0d24,c5.9xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,34786.0,0.0,USD,0.0,Hourly
537dd6b3-1aaf-441e-98ac-443f0cc3d1a5,c5.9xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,35155.0,0.0,USD,0.0,Hourly
391ff0a7-d7be-4ffc-920e-8542237abfbb,c5.9xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,37966.0,0.0,USD,0.0,Hourly
33a25e98-45a9-41d0-b30c-5db984e0aeed,c5.9xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,65268.0,0.0,USD,2.484,Hourly
2f00460f-e22c-4bc9-8a98-e397f48e6a47,c5.9xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,66544.0,0.0,USD,2.532,Hourly
