ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
13d2eae1-a93b-4db6-8dbe-28e1b5a54330,c5d.9xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.539,Hourly
45a83997-f26e-4814-8188-ea798468d96d,c5d.9xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.648,Hourly
4765e3a9-bb1b-4b25-8a54-817576d52639,c5d.9xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.039,Hourly
499d56f6-e8a5-4e23-a466-28794f72bf2c,c5d.9xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.526,Hourly
6f05f315-f565-4224-a633-abca84198926,c5d.9xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.951,Hourly
9cb4d4a8-0ad4-47f7-acf5-921db3ad145f,c5d.9xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.072,Hourly
9d70520a-7552-4ecc-a697-b7d6241d35e8,c5d.9xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.418,Hourly
a359711e-2f0c-4356-aef8-b7e594b548f0,c5d.9xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.048,Hourly
a71f2c82-ab86-4939-9cbb-3ece44d20225,c5d.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.169,Hourly
a8b98e59-930f-49eb-920a-e83032de8567,c5d.9xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.238,Hourly
b2a2b5eb-cd22-463d-ab44-f9718ce8b210,c5d.9xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.918,Hourly
cf0c53cc-9f10-4dfb-ae41-96853ae4fe02,c5d.9xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.359,Hourly
0aa5925a-75d6-4935-954a-7f563f96df12,c5d.9xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.24,Hourly
1c612b53-dc56-40ca-8aca-eefe51d94987,c5d.9xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.298,Hourly
22237e21-141c-4cc2-9907-b4f6d0b1a86f,c5d.9xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.406,Hourly
2b542ffd-0397-41a8-9822-2b804f63e9ba,c5d.9xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.798,Hourly
421c50b8-f152-429e-bc96-05e29571fbb2,c5d.9xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.528,Hourly
48567702-b541-47b3-a386-1895fd4850ee,c5d.9xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.928,Hourly
69f15747-5e9e-4df8-843f-aa2b3b510b68,c5d.9xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.42,Hourly
