ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
665b8eb3-0d6a-4ecb-b4b2-e2318c62e54d,c5d.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
7522c3e0-9f29-4815-8688-c355d5f8d1d2,c5d.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.091,Hourly
956e8ce8-0953-48a6-b75f-8cfb73ff17d6,c5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.111,Hourly
9ed1772a-5d28-4303-add1-f56c26b1e68f,c5d.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.058,Hourly
ac1869c0-c035-410f-bf4d-63a3c11aaf85,c5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.118,Hourly
b2a7ed02-6066-49a3-9610-4ab870d8170d,c5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
b74ae757-7e53-46c5-84ad-f56e21295182,c5d.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.084,Hourly
b7f18dd2-e9aa-4381-984e-83155aa30865,c5d.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.051,Hourly
c392f01b-2680-47bf-bddf-173b3f160374,c5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.531,Hourly
c673f607-b828-4d60-bc43-d3f1b2739605,c5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.538,Hourly
0b9616fe-8d2e-44f6-8d81-5e7b65022a61,c5d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.111,Hourly
1c6276ef-6004-4390-9309-7114f6d28328,c5d.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.084,Hourly
436b2e1d-ebbb-4263-bc13-1cd76b0ae023,c5d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.531,Hourly
53a14787-00b1-4fe8-8e52-40bc7207e72f,c5d.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
5e8775e9-4a3d-4b83-a801-7088ca5923d1,c5d.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.051,Hourly
a99a7938-a4c7-4b29-b00d-4edb376190ad,c5d.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
b2923c10-b3bd-4f47-aa51-3750b5485578,c5d.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.077,Hourly
db101c8b-f50e-43bf-a0f6-76b05af8db77,c5d.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.044,Hourly
e5a1ac75-39ef-45f5-a8da-7795bbfd8675,c5d.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.524,Hourly
f3396a71-3c08-49f7-9f5d-fcc21376de29,c5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
140c185a-41b6-420c-9ee3-44a8baf2d07d,c5d.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,539.0,0.0,USD,0.021,Hourly
d536100f-cb3f-47fa-af5c-5a62a1858220,c5d.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,539.0,0.0,USD,0.081,Hourly
21244006-936a-4edd-8bfb-ea2b84eb2a6a,c5d.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,620.0,0.0,USD,0.084,Hourly
a07f996a-3b49-4d12-83cb-f7176edbe96d,c5d.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,620.0,0.0,USD,0.024,Hourly
79cfd536-b1ae-49f0-bfcb-bdf83b52cc4e,c5d.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,628.0,0.0,USD,0.084,Hourly
fd80912a-a66c-45e0-845b-29874a6471eb,c5d.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,628.0,0.0,USD,0.024,Hourly
c7a35af8-2906-4001-aeb0-c09b240da277,c5d.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,709.0,0.0,USD,0.087,Hourly
f1464b74-47f5-4463-af4c-9c01c86ce6fb,c5d.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,709.0,0.0,USD,0.027,Hourly
42bb19e8-2b97-44fa-b1c5-e1eeea1573c7,c5d.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,891.0,0.0,USD,0.034,Hourly
4b1ce755-18e8-41d5-8ce5-ffe8d37adbf2,c5d.large,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,972.0,0.0,USD,0.037,Hourly
d7fe9169-de18-48ea-8e15-c0d2267b3063,c5d.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,980.0,0.0,USD,0.037,Hourly
a0fb3e5e-5981-456c-afd9-11cfc167b5e2,c5d.large,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1014.0,0.0,USD,0.0,Hourly
fdd40f4e-0ff4-4646-a13e-207a4c3d89b0,c5d.large,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1061.0,0.0,USD,0.04,Hourly
39c164bf-52b6-442b-a80b-b6c345e1109e,c5d.large,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1192.0,0.0,USD,0.0,Hourly
0826fc88-2e18-4eac-8034-9c1be7d53422,c5d.large,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1216.0,0.0,USD,0.0,Hourly
1be855ad-85cb-4d0a-a5cf-5fb9b45d1505,c5d.large,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1394.0,0.0,USD,0.0,Hourly
e05f36b1-edcd-41e5-aff1-4a8601bcff2d,c5d.large,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1428.0,0.0,USD,0.054,Hourly
f3266790-8f1c-4e45-98a7-58c967c3df52,c5d.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1509.0,0.0,USD,0.057,Hourly
66b9e60f-f812-40c1-b20a-58974d2cb0ee,c5d.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1517.0,0.0,USD,0.058,Hourly
