ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0613f005-7cf7-4ee6-8605-ed78eeb020e0,c5d.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
31c9a05b-86cd-4257-9481-609bb65fb7a8,c5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.615,Hourly
3e9b91ba-e6a2-4568-859e-5349e0714904,c5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.17,Hourly
53055881-f0d2-4d6c-aeea-b7a7ca141a80,c5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
536d6721-069b-42f9-8d14-5b689eab725d,c5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
57df9b9e-45ff-4faf-857c-6732d3198b82,c5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
770c64d7-dc03-4230-b63e-15fb45175538,c5d.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.102,Hourly
92e6c817-7387-4fe9-9b40-a3188faa52ca,c5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
ad8c5247-1174-4571-a89a-c5917bdf65d3,c5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.595,Hourly
ed958e2d-400a-4023-8eb7-483b4bcf4a42,c5d.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
f3805dab-5e3b-469c-9087-f026cf00ae6f,c5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.602,Hourly
fea0fac2-9ec3-4584-9ccc-83d23ecce330,c5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.183,Hourly
21bb476b-c6f8-4890-8f1b-442168f41116,c5d.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.149,Hourly
30cec175-18f1-4482-bfea-754c89aeee19,c5d.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.569,Hourly
3561e34d-9ee3-474b-ad84-453c6fcc5c0f,c5d.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.17,Hourly
60c5cbc8-422c-4ed6-98d6-d49b0026702e,c5d.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.089,Hourly
7e4bd72a-a95c-4b67-bf5a-b6c3df22be68,c5d.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
a00b7941-b079-45c4-af8b-02a52055b332,c5d.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.135,Hourly
a03828c6-bc17-40a1-b5e6-ade7950e38a2,c5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.162,Hourly
c3dfa18c-3eba-4fba-8df5-64607078d134,c5d.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.582,Hourly
c9058e75-1e6c-44cf-921a-ef95f002d313,c5d.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
d860cd0b-7053-41f9-b5bf-53ee21b6298e,c5d.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.102,Hourly
d97a833d-355d-404d-aed2-8b646a6493d8,c5d.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.589,Hourly
