ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
37090450-1f56-45cc-8d8a-c06ec2f2b11f,d2.4xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.594,Hourly
58cbdecf-b2cc-4677-9df6-cad0a2bbdc0b,d2.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,7.616,Hourly
5a898686-e8d8-413f-8a1f-fb4ac78b354b,d2.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,7.469,Hourly
650a38e5-f58a-4a7c-a439-1e8614968d27,d2.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.786,Hourly
79d725d5-6b6a-485b-9c5f-5fe7e5b191e6,d2.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.753,Hourly
b7f8065c-23ea-422c-bc75-82db17951d27,d2.4xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.627,Hourly
f656114a-8e8f-4f61-8386-a3d736319d8a,d2.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.883,Hourly
f96a3b22-45d6-4710-a43e-06477ff52f99,d2.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.724,Hourly
239a2e45-61f7-4ba7-8b46-f540a7efe13c,d2.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,12158.0,0.0,USD,0.593,Hourly
abef3020-faa3-461c-b9b6-486b3ce53811,d2.4xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,12158.0,0.0,USD,0.463,Hourly
