ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3104a894-c01e-44d4-9442-9252c61c3929,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.471,Hourly
79cc48fd-235b-49ab-a4f3-be2be381e089,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.867,Hourly
7c098fd7-d99d-471f-b8b6-37ab77dc0ac3,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.398,Hourly
91c0335b-27db-4dd8-9f2c-9623a088b781,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.438,Hourly
d135ebab-a2c8-4c42-9f92-c2971c7ea56f,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.904,Hourly
ec2c07f9-ec1a-49fe-bd40-bcf2c5d00935,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.458,Hourly
f91b3941-effe-4efa-8193-d7c289195d7a,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.498,Hourly
fa4cf846-1b35-4b3a-b6ab-e0acaa0237e5,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.431,Hourly
7b131375-6b27-4614-b353-5ede521d0023,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3039.0,0.0,USD,0.116,Hourly
fc47cef3-f5bd-4e21-97f9-deba7601e7d4,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3039.0,0.0,USD,0.176,Hourly
0460695d-e6c1-48d1-820a-2ba6b12139a5,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3344.0,0.0,USD,0.187,Hourly
262639e5-cd45-4743-9ef2-5155f9204053,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3344.0,0.0,USD,0.127,Hourly
9189eec6-1a76-48ba-a58c-292a78445a65,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3391.0,0.0,USD,0.129,Hourly
391be24b-9822-4256-b278-450b1f2707b0,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3696.0,0.0,USD,0.14,Hourly
641b0704-f559-412c-932a-c86f536d484b,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4474.0,0.0,USD,0.17,Hourly
b34b1647-4e2a-457c-b370-4853d772e24c,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4474.0,0.0,USD,0.23,Hourly
680e10e0-8651-417e-bbca-2f8b011e52d1,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4826.0,0.0,USD,0.183,Hourly
a8d7cef3-2389-49b9-8b53-0ac497d8e20d,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4922.0,0.0,USD,0.187,Hourly
da79f17f-b5ee-4a0e-9b6e-2b52b0257c56,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4922.0,0.0,USD,0.247,Hourly
2c2c2782-2dc1-468e-9664-5d88ef5fe94e,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,5274.0,0.0,USD,0.2,Hourly
97deaa63-0099-42a5-8771-4354ad8bb90e,d2.xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,5714.0,0.0,USD,0.0,Hourly
5baf1ce8-32f0-471c-a4d5-b93687b70f89,d2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,6286.0,0.0,USD,0.0,Hourly
aeb0cd5f-c8d1-4653-8ed5-a5451166b901,d2.xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,6408.0,0.0,USD,0.0,Hourly
1c674889-94ac-4541-9fd7-942a7d1ceb27,d2.xlarge,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,6980.0,0.0,USD,0.0,Hourly
e72843f4-2070-481c-891e-49e1765b0b88,d2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,7291.0,0.0,USD,0.0,Hourly
afae9d5a-2c6b-45c0-9385-79d6ef2f4f2f,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,7863.0,0.0,USD,0.0,Hourly
4efcc657-8fdb-4b92-9fce-e5cff8270634,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,8769.0,0.0,USD,0.0,Hourly
ffbf3265-510f-42ac-b11b-f8540e229d9e,d2.xlarge,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,9463.0,0.0,USD,0.0,Hourly
50571302-6081-47ff-a15f-88038f69dff2,d2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,9647.0,0.0,USD,0.0,Hourly
faf70719-b84e-4db5-b5b8-375f42972850,d2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,10341.0,0.0,USD,0.0,Hourly
d5283b96-e2eb-44b3-80d0-ce56e2e89e5f,d2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,10345.0,0.0,USD,0.0,Hourly
be53b231-651c-4d6d-b49a-5d61dfab20f1,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,11223.0,0.0,USD,0.0,Hourly
cfcefc78-d5ba-429c-a43e-e22658debee5,d2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,22742.0,0.0,USD,0.865,Hourly
58fa2818-938f-4bc4-864b-b208ee247eca,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,23045.0,0.0,USD,0.877,Hourly
cbcef058-f63d-4be6-b143-a6a7779d99bc,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,24178.0,0.0,USD,0.92,Hourly
a7cd4553-1613-47c7-93fb-05191088750f,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,24625.0,0.0,USD,0.937,Hourly
2c874d8a-fd79-4045-a6d2-629561d66509,d2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,45120.0,0.0,USD,0.0,Hourly
5581c04b-2ee1-404d-9790-bd9d5c57576b,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,45690.0,0.0,USD,0.0,Hourly
73e297e9-86e3-40bb-804c-d5cd2c42f601,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,48177.0,0.0,USD,0.0,Hourly
47e71211-ae62-48fd-b9b1-3d61c9228834,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,49053.0,0.0,USD,0.0,Hourly
02bfc92a-de2c-4f79-9779-d592f4ec2184,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,2.004,Hourly
09264ca6-7d5b-4dac-ada4-baf9f0718033,d2.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.491,Hourly
18ef4698-7494-4827-9a05-4553a2b80054,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.564,Hourly
1f43e1d4-0edf-4de5-b77d-aad32c805e24,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.537,Hourly
6bce2323-6a2c-423f-9ef9-b8ce96e9006c,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.518,Hourly
7cfd3ae6-a3aa-418d-8ab7-0b222248c723,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.504,Hourly
d5aa5df8-5cdd-4bb0-b39e-f15772cb47bb,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.958,Hourly
f303793d-9fa1-4a76-afde-b1871f2eb7f3,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.458,Hourly
03007ede-db03-400f-9046-80454640e14a,d2.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.443,Hourly
0dfa1848-83c3-4e2a-9461-8cb3c7a72992,d2.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.487,Hourly
21ef120c-e4c3-4b54-a70a-f1175bf8235f,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.547,Hourly
2ed968eb-8c87-4403-8471-8c263db5e8ae,d2.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.52,Hourly
4c9b17b3-5488-427b-9560-0dce0acb6d9e,d2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.898,Hourly
62875635-0512-4358-b56b-95921ee607ab,d2.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.476,Hourly
6311f6b2-1911-4688-981f-23bfe499b6d9,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,1.938,Hourly
b87d9980-2b67-40d2-a35b-8305130be87a,d2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.503,Hourly
622d3d8e-9b65-4081-a4b9-a68196aec971,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1657.0,0.0,USD,0.189,Hourly
bb6535e0-c879-4ef7-88e0-b9014e3fc7fb,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1657.0,0.0,USD,0.249,Hourly
289de4ff-10bc-4421-9ed3-a64bb0f1afc3,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1823.0,0.0,USD,0.268,Hourly
7db7ecf9-d09e-4fcf-a7b2-47a12dcd8b9b,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1823.0,0.0,USD,0.208,Hourly
cee20806-6c2c-4b36-b9d3-4832d246ccc7,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1833.0,0.0,USD,0.202,Hourly
0d70feee-fc1e-4442-9705-165e9ce819a6,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,1912.0,0.0,USD,0.218,Hourly
