ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
11a74be4-3326-4bb8-b6e9-30ace41319c3,i3.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.695,Hourly
321ae990-0134-4331-a589-f201b4170710,i3.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.773,Hourly
44d59a14-8ec4-43a2-958e-697387c7cd5e,i3.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.886,Hourly
4578ab2c-f3b5-4d4e-8e58-12d238810d1f,i3.4xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.775,Hourly
4f16b1d8-12dc-44ab-b0c7-d59a3559f956,i3.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.983,Hourly
69910c26-6403-441b-a759-7034e50125fd,i3.4xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.808,Hourly
87705008-297c-43ea-be14-be78f3337c65,i3.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.775,Hourly
883786f8-f329-4755-ade7-ebe97cc23e31,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.853,Hourly
88af69c5-907b-488e-831e-272da1ba685f,i3.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.045,Hourly
8a1a51d4-a3e0-439a-a7dd-5f1f9bac7c01,i3.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.905,Hourly
c534c1fc-d410-4e7d-b4dc-0081caf65fbe,i3.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.123,Hourly
cfbdbec4-2363-4d37-93d7-fca3f78e688e,i3.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.853,Hourly
07bfec34-959d-4f91-9abd-c400f9e5abd1,i3.4xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.774,Hourly
5357a393-d1e8-447c-9774-fc007c7b13be,i3.4xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.871,Hourly
77518ccc-f492-4384-9fac-7f6a3c86c7ac,i3.4xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.674,Hourly
adbbb5fb-4443-4b6c-bdb8-8fd0f5825040,i3.4xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.707,Hourly
b8344ac2-4469-4056-a0a7-ee2d07229bd4,i3.4xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.804,Hourly
c53f6712-1e4a-448a-8914-01c30ef928ad,i3.4xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.741,Hourly
c646e052-cbd2-4dca-a37c-248b325b2d12,i3.4xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.944,Hourly
d35ffd04-a54d-4ebe-95f0-b0d6a686e605,i3.4xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.594,Hourly
d92f4df3-0157-4621-9f8f-568c6639d710,i3.4xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.674,Hourly
da3b9310-78eb-4aff-afb7-143c2a321697,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.741,Hourly
db791f4f-224a-4cec-ab2f-fab3a02d9efe,i3.4xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.661,Hourly
f3708660-6ebf-44fd-b599-201ec3b4dfd8,i3.4xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.012,Hourly
6db10f50-ddba-4a2a-8fb4-4d3d923742e8,i3.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8136.0,0.0,USD,0.44,Hourly
9f64ce83-97ec-44ed-b056-6e4622e0c168,i3.4xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8136.0,0.0,USD,0.31,Hourly
eb204c2e-16a7-469e-bafe-5b37c75da32e,i3.4xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8488.0,0.0,USD,0.323,Hourly
a1823b86-ae5f-4863-8195-464349780f67,i3.4xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8950.0,0.0,USD,0.471,Hourly
e1641d98-75fe-4ead-8350-d6e431caf07a,i3.4xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,8950.0,0.0,USD,0.341,Hourly
6c9452fa-f5f7-4a77-b0c9-c12156fdf28d,i3.4xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9302.0,0.0,USD,0.354,Hourly
53eb5ae7-be46-4a94-8ccb-1372f7579d1c,i3.4xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9429.0,0.0,USD,0.489,Hourly
c774b359-9cb7-455b-86dd-dac24499338f,i3.4xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9429.0,0.0,USD,0.359,Hourly
80fafcdd-0f4c-4c69-8853-0ca2cc7662d2,i3.4xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,9781.0,0.0,USD,0.372,Hourly
210e294f-efbc-4455-a493-55df7f36717c,i3.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,10372.0,0.0,USD,0.525,Hourly
70d34aee-9cdb-4c46-804b-f624a64dad8f,i3.4xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,10372.0,0.0,USD,0.395,Hourly
d0ba8068-7893-40e4-ad90-824e9c2fe177,i3.4xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,10724.0,0.0,USD,0.408,Hourly
1047da71-26ff-456d-a3f0-d7854d8c514c,i3.4xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,11752.0,0.0,USD,0.447,Hourly
d263c61b-4821-4c59-814b-d32985c60a9f,i3.4xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,12572.0,0.0,USD,0.478,Hourly
b209b9ec-bbb3-4b46-b1cb-94dc768eacc7,i3.4xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,12982.0,0.0,USD,0.494,Hourly
4abd6102-e95c-4865-8ca8-cef57312e4b9,i3.4xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,13925.0,0.0,USD,0.53,Hourly
be0b1f7d-7d82-4215-b607-798cdce8c109,i3.4xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,15296.0,0.0,USD,0.0,Hourly
8b36f9db-8f75-4c21-8af0-2b5440636350,i3.4xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,15990.0,0.0,USD,0.0,Hourly
97e5f7c8-5c0c-453d-9bca-82f0fbb9dfb9,i3.4xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,16826.0,0.0,USD,0.0,Hourly
693806ee-f432-4e6b-9f3a-f0e2e0d5fa68,i3.4xlarge,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,17520.0,0.0,USD,0.0,Hourly
5e74cd55-6794-4555-bab0-f643e1ed8377,i3.4xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,18481.0,0.0,USD,0.0,Hourly
483a72c3-5d37-4151-8751-903c58f7b7c4,i3.4xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,18713.0,0.0,USD,0.0,Hourly
e494aa01-903b-4184-94da-94777d8981dc,i3.4xlarge,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,19175.0,0.0,USD,0.0,Hourly
b985ab11-2f2c-4c5d-a443-7c63dc1579c3,i3.4xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,20242.0,0.0,USD,0.0,Hourly
31949aba-f4da-4896-9bfe-494529134129,i3.4xlarge,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,20329.0,0.0,USD,0.0,Hourly
133cd0d0-d7b4-4a2c-9d38-7743e44bcc14,i3.4xlarge,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,21023.0,0.0,USD,0.0,Hourly
e4c9afa2-360c-47a7-868b-e4544a1876fa,i3.4xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,21898.0,0.0,USD,0.0,Hourly
ec668c44-cc4e-44aa-8652-20e4b2615538,i3.4xlarge,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,22521.0,0.0,USD,0.0,Hourly
1162a246-ac2f-427f-9640-ac839f61b5f3,i3.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,23746.0,0.0,USD,0.0,Hourly
7e285af1-4de1-40cd-8c94-3b7c8314ba58,i3.4xlarge,Linux with SQL Server Web,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,24062.0,0.0,USD,0.0,Hourly
405720a2-f8a3-4399-abc4-2b086bc37d31,i3.4xlarge,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,25587.0,0.0,USD,0.0,Hourly
6118cd84-89e2-499e-bf9e-cae16e1a9b8d,i3.4xlarge,Linux with SQL Server Web,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,27436.0,0.0,USD,0.0,Hourly
dc042dc1-a8c5-43db-a3d0-ef0b6571c936,i3.4xlarge,Linux with SQL Server Standard,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,33428.0,0.0,USD,1.272,Hourly
e8309e9f-7d0d-4cdb-b76d-a4b4e4a50777,i3.4xlarge,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,34248.0,0.0,USD,1.303,Hourly
b502e2aa-1731-44b4-bae4-f07926ec9693,i3.4xlarge,Linux with SQL Server Standard,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,34658.0,0.0,USD,1.319,Hourly
547ffd66-231b-46fe-b949-2ef4b140cd72,i3.4xlarge,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,35601.0,0.0,USD,1.355,Hourly
3a63c249-4ad0-4b38-b79f-b7a858133873,i3.4xlarge,Linux with SQL Server Standard,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,65872.0,0.0,USD,0.0,Hourly
4b5f7017-ac81-42df-9ab1-0860d81f8600,i3.4xlarge,Linux with SQL Server Standard,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,67414.0,0.0,USD,0.0,Hourly
f9d4580c-8b9d-439a-9858-d4dcadbb0dec,i3.4xlarge,Linux with SQL Server Standard,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,68939.0,0.0,USD,0.0,Hourly
3a1be0a3-511a-4dd1-ac74-852fdd6e9c54,i3.4xlarge,Linux with SQL Server Standard,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,70787.0,0.0,USD,0.0,Hourly
2ebd58cc-e786-48dc-be72-d7828ea0977e,i3.4xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,87039.0,0.0,USD,3.312,Hourly
4468805a-c261-4a68-8f34-8a579a30a0ba,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,87859.0,0.0,USD,3.343,Hourly
f5c8e328-a205-4d8f-a0da-e6ae20653fa2,i3.4xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,88269.0,0.0,USD,3.359,Hourly
faa46cba-f3e3-4520-af08-bcdd02194c13,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,89212.0,0.0,USD,3.395,Hourly
d276afd6-3f74-49ab-8167-125d58d3d701,i3.4xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,173095.0,0.0,USD,0.0,Hourly
10c45b49-7d1a-4df2-811e-05dc20edb945,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,174636.0,0.0,USD,0.0,Hourly
