ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
42e9a495-c69f-48fe-b488-9d98ff4e2567,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
46eb80de-8988-4ebb-a257-dc4b74e9875a,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
4eec088b-bef7-47e0-89e9-32dceec30808,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.587,Hourly
6294d06b-2b7f-479c-aa3a-ea0bcae8021d,i3.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.097,Hourly
6c7f5226-90d7-4d04-956e-58e1fc879b5f,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.107,Hourly
6f329c11-3c74-4764-9e52-447fdb1d3a29,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.577,Hourly
7f0a2c77-ee28-4cc1-83b9-cda22f5d01c3,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.157,Hourly
82ae25dc-9778-405f-9aa4-d2331d514e7e,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
9fae6040-3f95-424f-9940-09dfcde66d96,i3.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
cdcdfb7a-9b3f-4d52-8342-b8f96f6f798d,i3.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.14,Hourly
0115b0ee-e67b-4487-8540-da806f7c9f24,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
015fa458-f44c-48fa-864f-5d5137fce4b4,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.153,Hourly
08b41c33-0f3e-4eed-b2a5-e9e2a633299d,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
148c5b12-d9b4-4d68-96f5-70a008d127cb,i3.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.093,Hourly
4d390d71-7373-4c31-938d-41e20cd7aff2,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.564,Hourly
526353be-9a1b-45b6-a425-4cd721b337dc,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.573,Hourly
7556dde8-7019-48f9-8996-c19ec543d73b,i3.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.117,Hourly
7f22f2e0-09e1-4923-809e-6a4dea5f9ee3,i3.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.152,Hourly
8cc68637-9085-49a1-9554-ed7e66a04ad0,i3.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
ce265713-1d44-456b-ac93-41dc72bc438d,i3.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.084,Hourly
437f3d18-1ccc-4461-98c4-ed2fe3d37d4d,i3.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1017.0,0.0,USD,0.039,Hourly
7284797a-7b58-4c2f-9c0b-7c3a649e89e8,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1017.0,0.0,USD,0.099,Hourly
8090e088-ee44-42c5-9b3e-d27d608a3718,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1119.0,0.0,USD,0.043,Hourly
d0be954e-24ab-4119-b203-568daca6eb3d,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1119.0,0.0,USD,0.103,Hourly
3f6a2eb0-b8e1-45d3-9314-c5794db27670,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1179.0,0.0,USD,0.105,Hourly
e04e5598-f05a-46a1-8304-e71b515ddadd,i3.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1179.0,0.0,USD,0.045,Hourly
0475c244-1ace-4000-821a-1b4485baa3e1,i3.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1297.0,0.0,USD,0.109,Hourly
49e023d0-f336-4952-b46b-84fabcf4904f,i3.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1297.0,0.0,USD,0.049,Hourly
0db6dbba-c209-4d94-af3e-1b7b0e52b959,i3.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1369.0,0.0,USD,0.052,Hourly
b32f4e0b-f617-4757-9dea-4b8eabb3018e,i3.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1471.0,0.0,USD,0.056,Hourly
cced17d8-e300-4dcd-b394-56396cff9b45,i3.large,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1531.0,0.0,USD,0.058,Hourly
84cb5ae7-2185-46bf-bf57-275830103791,i3.large,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1649.0,0.0,USD,0.062,Hourly
f3845b0a-e8f1-483a-bbcf-a063a097b510,i3.large,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1912.0,0.0,USD,0.0,Hourly
0d87acb6-b7cc-43ce-9794-873f0fdb6437,i3.large,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1913.0,0.0,USD,0.073,Hourly
fb104022-8622-4f38-b6f0-102a22d7666d,i3.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2016.0,0.0,USD,0.077,Hourly
320b27ea-7ba9-4b6e-bf08-dcbfeeef93cd,i3.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2067.0,0.0,USD,0.079,Hourly
39a72635-c4d7-4694-8dc5-a7d1c5555421,i3.large,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2103.0,0.0,USD,0.0,Hourly
11fdcf87-ba46-4f8b-a296-9dfa6a4350dd,i3.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2185.0,0.0,USD,0.083,Hourly
54f69c0e-404d-4045-a196-c547b35b6b93,i3.large,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2310.0,0.0,USD,0.0,Hourly
