ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05d78e67-afe1-4222-a628-abf35431f22a,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.213,Hourly
10c1be1a-f0a3-411e-ac47-de02a1c86448,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.261,Hourly
11361ede-08d8-4e2c-aa35-f60a50d7d1d9,i3.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.194,Hourly
19a73ddf-9ac1-470d-a6cb-d7a9e71fd2f1,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.713,Hourly
22256eea-1906-4ed6-8b81-5b35718758b6,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.674,Hourly
3044d4f2-dbda-4388-b1d4-e28fea1051ac,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.246,Hourly
304d027f-d209-4518-b8a4-8a81bdcebd50,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.281,Hourly
53f5e11d-d66f-4295-9b8a-0092ed955914,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.254,Hourly
6da583a7-b78b-46e3-98c3-75c56e734340,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.273,Hourly
8a1df081-2f59-463f-b21e-9c6ab8cb176e,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.693,Hourly
d68401b1-bf55-4d92-b956-3f36ae9a021f,i3.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.227,Hourly
db2491d1-c961-43cf-99b8-8249b1711239,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.694,Hourly
0174bc3f-dafe-424d-bbae-aae96c3f4545,i3.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.201,Hourly
0e9ca00e-9c6f-4464-86aa-14756e47071e,i3.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.668,Hourly
47a50986-e997-40a2-8df2-0e5c8ff07e3c,i3.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.245,Hourly
52024c82-9f4c-4fa5-aeea-6e2f00bf0906,i3.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.218,Hourly
6e177c9a-28bf-4ee6-ba58-15cac00f2f3c,i3.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.648,Hourly
70ba4514-39ae-4a43-8e88-b89d6f809476,i3.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.665,Hourly
719ad0dd-0036-49a5-ae30-f7d0b389c9be,i3.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.236,Hourly
966a784e-39c3-44a1-8849-a4bd4818f85f,i3.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.168,Hourly
978e6b29-57a6-446a-9d91-5c1cbceaf4c6,i3.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.253,Hourly
98bddb0e-a0e1-4231-8f6b-fb2e33a90ce8,i3.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.685,Hourly
e74d5a2b-dd96-40b4-baf6-e77330c68dfc,i3.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.185,Hourly
f2c94302-bf49-4879-82d6-31f39931263c,i3.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.228,Hourly
0db1099c-967e-4f3e-ad84-46e42de7f057,i3.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2034.0,0.0,USD,0.137,Hourly
73704717-b2d4-4163-84f8-783f17868a75,i3.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2034.0,0.0,USD,0.077,Hourly
