ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0637ff5c-630b-419f-b0da-2304d2f1ad20,m4.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3486,Hourly
1969ee64-f320-4f12-b21d-8bcd8823bea7,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.2405,Hourly
1a987433-f3fa-44e1-9ed0-ceebe4be9d19,m4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3757,Hourly
2a3372ef-ff29-416e-96f7-45f686403ec4,m4.2xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2186,Hourly
43c00f1c-0ab5-4592-8e02-5ceffdcfdb0c,m4.2xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2516,Hourly
5086d319-3af0-4037-ac0b-61df5521ff79,m4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3538,Hourly
64b6a529-4ca6-41ef-86d1-c8b91a57fc95,m4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.2186,Hourly
8bc71966-d972-48bc-a246-110368413efb,m4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.2005,Hourly
98b51cc7-0a26-4562-94f9-4f4b2d9a22f1,m4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.1786,Hourly
dc71c020-c351-489f-a4de-2b7ebdff5ea6,m4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3705,Hourly
f759e625-44fb-4c63-bf32-ed101ebc387a,m4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2735,Hourly
fd960f21-2281-4c8d-8d3e-14d45d2242ee,m4.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2405,Hourly
5e3db850-8d21-436f-936b-07db4b740f62,m4.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.1501,Hourly
67c103f8-afac-4df6-8f1a-91b6402a2f70,m4.2xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2091,Hourly
7d3757c7-706d-41e4-808d-d7dabf16a4fa,m4.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.2091,Hourly
87322002-5aff-468a-bb37-52a7dae69559,m4.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3443,Hourly
b406a2ab-3e86-42c6-b637-54e0e3466720,m4.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.1901,Hourly
bf143513-ed96-4d69-8769-f563ed856291,m4.2xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2231,Hourly
dbf3d886-d21a-4c07-949b-0f3f4eed8378,m4.2xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2421,Hourly
e18c1aed-f3d4-4f37-bbba-671545841fab,m4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3391,Hourly
e5dbbc6b-aec4-40a6-b59c-c2d68cbb8c80,m4.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3253,Hourly
eafeaabc-07bc-4698-8aeb-ec8b2e1d9227,m4.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3201,Hourly
f3952f3f-ae73-42ea-b8b0-18efef597a4b,m4.2xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1901,Hourly
fa878004-28db-44de-8b33-329ea4c925e8,m4.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.1691,Hourly
1fc56cb1-234d-42ad-84fc-41d47b3f1994,m4.2xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2313.0,0.0,USD,0.088,Hourly
5977fdff-f9be-47ec-a672-c0492dc17727,m4.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2313.0,0.0,USD,0.218,Hourly
6ef118a2-5eb2-471d-96ac-52e190ab3bf5,m4.2xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2544.0,0.0,USD,0.2268,Hourly
7c01d4c5-54bd-4bf2-b607-29e1b6e76bd8,m4.2xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2544.0,0.0,USD,0.0968,Hourly
b8faef78-e59c-400e-b4c9-296f8d47c403,m4.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2660.0,0.0,USD,0.1012,Hourly
e738e0e6-e9d4-4cb6-acec-c517db8d8d68,m4.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2660.0,0.0,USD,0.2312,Hourly
4c2b7ef9-99e9-4bd8-9377-7fe72c39f5d7,m4.2xlarge,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2665.0,0.0,USD,0.101,Hourly
c9eed743-3629-4c41-b200-4899f9662fa5,m4.2xlarge,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2896.0,0.0,USD,0.1098,Hourly
21285616-a86a-4a84-9df0-c2fe803278ac,m4.2xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2926.0,0.0,USD,0.1113,Hourly
6f7d24fe-87d2-4b6a-a34c-cf5a075207ff,m4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,2926.0,0.0,USD,0.2413,Hourly
1bd12f5a-2542-4cf8-8f07-03df9526fed8,m4.2xlarge,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3012.0,0.0,USD,0.1142,Hourly
3f967905-9678-48db-b90a-f0b9af99adc7,m4.2xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,3278.0,0.0,USD,0.1243,Hourly
2d6d6328-21b5-4710-bbc7-2c94c88d9d93,m4.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4089.0,0.0,USD,0.1556,Hourly
6944ed92-fc69-449c-9fb7-1190f31bdaba,m4.2xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4320.0,0.0,USD,0.1644,Hourly
a18c5798-96e7-4b2c-9b52-e7b565203e4e,m4.2xlarge,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,4348.0,0.0,USD,0.0,Hourly
49345f51-42ec-4c34-b257-87b176723c1c,m4.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4436.0,0.0,USD,0.1688,Hourly
bbfbd58f-14db-4b4f-b30b-36191ab8b60f,m4.2xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,4702.0,0.0,USD,0.1789,Hourly
fbca62c0-03fa-4d3e-b60f-b91ac3a58b89,m4.2xlarge,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,4783.0,0.0,USD,0.0,Hourly
9abaecf5-fb99-40b0-a044-e7e67c31b088,m4.2xlarge,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,5042.0,0.0,USD,0.0,Hourly
8311acbb-7159-4a70-b275-e67dcdc2096d,m4.2xlarge,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,5213.0,0.0,USD,0.0,Hourly
