ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2368ab13-0ae9-4f28-ab79-b30b267f5369,m5d.24xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.534,Hourly
29190bd6-3a78-4544-8ba4-055b43b87fd3,m5d.24xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.637,Hourly
301e402f-d648-46fe-9ba8-201b4b7a0708,m5d.24xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,39.014,Hourly
367d5f9e-6a7c-4f31-a1b6-c0ab178ecdef,m5d.24xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.144,Hourly
6d3f20f1-0d6e-4850-9f9f-1e5722202f3b,m5d.24xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,39.014,Hourly
81ea7e30-789c-4248-9c02-ed2c1c35f5c0,m5d.24xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.637,Hourly
94582e75-90cc-46e1-b2df-ce6e7a94fb5b,m5d.24xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.144,Hourly
a1e22c34-3cc6-4b15-9f2d-c785803e812b,m5d.24xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.014,Hourly
bebe70ad-cb57-48da-a96e-055ef82a1c16,m5d.24xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.014,Hourly
c6353df2-1bd5-4e61-bffd-2aa8759c80aa,m5d.24xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.047,Hourly
d2e8fcc8-edf2-4d61-a639-0e5cb27aa57b,m5d.24xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.534,Hourly
fa5df24b-5fe3-4dfb-ac51-437311b8cb34,m5d.24xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.047,Hourly
2f91ed88-5214-4638-a53e-801d3b0f5bfe,m5d.24xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.751,Hourly
2fd9a22f-4e1b-4d2b-96c3-8c276bba1ca4,m5d.24xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.621,Hourly
33d1c5d7-2789-46fa-8f11-5b6ce74cec1c,m5d.24xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,38.621,Hourly
3e84e15b-a7f9-4110-a59c-b7199e18eec4,m5d.24xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.141,Hourly
5ae02666-c2f6-4857-8d95-8f47173b12ef,m5d.24xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,14.141,Hourly
5d2134a9-dbc1-4053-b3f9-29a22d12273f,m5d.24xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.751,Hourly
86bfede6-2bce-4482-b4cf-b213b951d777,m5d.24xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.654,Hourly
8eacae3e-f274-4c31-aae2-e7ab98aaa318,m5d.24xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,38.621,Hourly
ae60ad8b-1cfd-4f09-ac72-d7dcf5b27a5f,m5d.24xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.244,Hourly
d9f1a601-84b7-47bd-9113-63987efaa75d,m5d.24xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.244,Hourly
edb403c2-4fa7-4b25-894c-0bddb1798b2c,m5d.24xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.621,Hourly
f709ac6d-e6d6-4fdd-b6ab-1268b3cac571,m5d.24xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.654,Hourly
5c198b12-a5a6-4cbf-971f-cc2b8c1018a0,m5d.24xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,31890.0,0.0,USD,1.213,Hourly
84121add-6505-4c23-965e-fe0268f20d6f,m5d.24xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,31890.0,0.0,USD,1.213,Hourly
