ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0ce85318-113b-4e5e-9c93-8972609d227d,m5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.55,Hourly
33c79d79-8ac5-4b6d-b5d3-8bf144ff00f9,m5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
3b167f5a-df33-4497-82be-6e2a1de64a94,m5d.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
94965013-e328-46fe-8ca5-81c2f0773f1b,m5d.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
95d04aef-fcf4-4e8c-ae4d-efe994f11013,m5d.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
a6cc5fbe-ef0b-4f2e-8eda-41ea209bd190,m5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.138,Hourly
a82a5fe8-b46f-4167-bf57-40aad29d600a,m5d.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
ce4b5ba4-f8ac-47d8-aae8-982ff384b02b,m5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
d1d53e33-108e-4a1f-beca-f3d5d0262af5,m5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
edfc622f-0a8b-476a-b0f3-1c059fd7e2d4,m5d.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
194b908d-cc3e-490c-9c95-11689c964a17,m5d.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
32bf6d88-e30a-4c66-8b4e-7c9c4d63641c,m5d.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.095,Hourly
42c155e0-fb3f-4a82-93de-73831696ed84,m5d.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.542,Hourly
4b79d7eb-0991-4d7c-aa0c-76d2a40e76ec,m5d.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
727d9fb5-3325-4c35-9a6f-7c0a489142bb,m5d.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.088,Hourly
99705b40-09f3-4bd1-af71-c28725e55a7a,m5d.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.122,Hourly
b341ecc6-ae82-4109-9414-d9270a53f226,m5d.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.055,Hourly
e79bd3ca-2cb7-4942-902c-e3bb00c8a322,m5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
e8839094-9d35-4545-a5f6-e7cca9f7d337,m5d.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.062,Hourly
f49afca8-11a8-4a8c-9807-1ce8653fb3c6,m5d.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.535,Hourly
07a2e077-843b-4bac-873b-5faabd570454,m5d.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,664.0,0.0,USD,0.025,Hourly
0d41b486-e9cc-46d2-a7ba-249013b76abc,m5d.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,664.0,0.0,USD,0.085,Hourly
