ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05c7c841-10f2-4c30-9c79-3c12f2e461d6,m5d.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.126,Hourly
1424de19-fd3c-4a38-a5bc-8c665d556ff1,m5d.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.641,Hourly
3a80881c-9cff-402f-8965-c2ce9c5473c6,m5d.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.193,Hourly
3b9feaa1-353b-4a54-98c6-c5d1cc645651,m5d.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.186,Hourly
89a1f4b4-65db-4545-be9f-c9e5cabd99f4,m5d.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.621,Hourly
9e63b75e-f7fe-4110-95fe-afc3f8b54143,m5d.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.626,Hourly
a0bb4859-38c4-423a-9201-4cc89547998f,m5d.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
ae1f0222-a0ad-44ba-8f4b-b90100612227,m5d.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.174,Hourly
be74868a-a199-4c39-9219-7cc946b6a290,m5d.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.141,Hourly
cb3d6573-9813-497b-ab48-3b5f2f6737fc,m5d.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.209,Hourly
e21f26ee-aebe-45bb-92ce-8e7081c64e07,m5d.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.606,Hourly
e263212d-2f27-4c24-97ae-f5055e5e05b0,m5d.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.201,Hourly
39298fed-6f92-4bd3-be65-1f87d17871aa,m5d.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
451c921c-14a2-4d6e-b66c-318096757f34,m5d.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
55dc1053-3ff7-42be-bf04-d52823bdbfc0,m5d.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.142,Hourly
561b3e2c-3671-47ab-b5b6-31a993ffade7,m5d.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.625,Hourly
6390c226-8810-4fc4-a880-d0e59471b75a,m5d.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.609,Hourly
bb1d99fa-b70d-4aed-90a8-b6ef18d772d9,m5d.xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.125,Hourly
bf8acfc6-87a4-4335-bbd3-0dd5be80d889,m5d.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.169,Hourly
d0d28cfe-811f-4991-ba32-a6e99f4baaa1,m5d.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.185,Hourly
d14d0f8f-9c5d-48dc-a4c8-36c21a1fe22d,m5d.xlarge,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.158,Hourly
d27aa535-1396-4884-8960-bec7fabe0815,m5d.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.589,Hourly
d49ac210-3355-4ea3-83f9-e84f8cfeaa9b,m5d.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.605,Hourly
de3a6404-8ab5-4906-99bb-33d3e44989b3,m5d.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
1b11d1f9-bd53-4645-8908-f1ade5fe8c18,m5d.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1329.0,0.0,USD,0.111,Hourly
