ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
034235de-1328-44c7-8164-286922df565f,r4.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.35,Hourly
3be1b78e-1a8a-43b2-8401-1229f003f704,r4.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.4233,Hourly
40ac2d87-ee82-45f9-8fab-0864932f08a4,r4.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.447,Hourly
46bb931e-c838-42ac-8b2b-05e810b036a1,r4.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.4522,Hourly
4a5233f7-10bb-4605-9651-d28344b24836,r4.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.2481,Hourly
8a22744d-d090-4542-a60c-9c18c80075a4,r4.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.277,Hourly
8d2ba6bd-2334-430a-8685-b67c2d7824ed,r4.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.2881,Hourly
a546ee26-c179-44d4-90f8-a7276cc846d3,r4.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,3.317,Hourly
c2977538-ae71-4939-8684-ceacf565ea53,r4.2xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2881,Hourly
dc18cd7b-d453-4638-861f-decb3c1df044,r4.2xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.3211,Hourly
