ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
062b0fa1-abc5-4c0a-a845-6a6f4eb8c3e2,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0792,Hourly
1c09c13e-8d50-4ef8-af7b-9773ea862393,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.132,Hourly
23d7dc79-c876-4971-87f2-2f2a052e5035,r4.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.072,Hourly
2e481d00-6484-4dd2-9d2b-ebf0dab734a5,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.5592,Hourly
3b3d4880-ec34-43f6-a5d4-9a14fd3dfd69,r4.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1122,Hourly
5810aef0-a81c-4fd9-8e95-bb6bd5c6a5d7,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.552,Hourly
73828426-af5b-41f7-8583-6e74618f35da,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1396,Hourly
b2cd5c03-1a35-4942-8f74-9cea027fac0a,r4.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.105,Hourly
c05a2232-83f1-46ec-948f-e98d3f1d109d,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1392,Hourly
e5a3f60f-6f33-40d7-af89-2946059294db,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1468,Hourly
00f5cf01-7a5f-4fcd-9e79-18f874bff524,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1289,Hourly
41bcaa61-b152-4eb0-8bf6-20f38b75ae24,r4.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1302,Hourly
538d9634-1a57-4f87-ae8f-702dfbf2908c,r4.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0956,Hourly
81587d58-8520-416d-a728-7dcba505c6e2,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1365,Hourly
92ac1722-1cf9-4d46-843d-0c2a823d41b6,r4.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0689,Hourly
a852e96f-cd9d-493a-9919-84b004d27807,r4.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1019,Hourly
b2015e74-170f-4259-9dc4-c7160a5b5d47,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.5426,Hourly
b364ae7d-1c1f-4474-ba11-051c4709b18f,r4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1226,Hourly
bab8d4a0-b29f-46c9-bffd-65f26ce09193,r4.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0626,Hourly
cda4f3ef-2e69-47b4-9de2-07e1dd80284b,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.5489,Hourly
baa9dcd5-46b4-415d-8155-015148ecd7b8,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,767.0,0.0,USD,0.089,Hourly
bccfa1ca-bceb-4f0b-ba5b-98941a925f8a,r4.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,767.0,0.0,USD,0.029,Hourly
b5e96f62-b84f-4d52-9661-f96e383017e1,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,844.0,0.0,USD,0.032,Hourly
fe0fbf5c-b246-402b-9adf-74f4e810e540,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,844.0,0.0,USD,0.092,Hourly
08b78998-5cdf-42bc-a5eb-25946a418908,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,876.0,0.0,USD,0.0934,Hourly
4b49a125-247f-482c-99cd-060d5b8ebaaf,r4.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,876.0,0.0,USD,0.0334,Hourly
9d01b04f-aced-4d04-97ed-956b6ce10be1,r4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,964.0,0.0,USD,0.0967,Hourly
a8fb7356-9f72-4ba3-b8a3-938d0b5f15f2,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,964.0,0.0,USD,0.0367,Hourly
91d755d5-c1a1-445f-8cd9-dd6aa475d0a8,r4.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1119.0,0.0,USD,0.042,Hourly
07c269ea-3b1f-4137-b8ac-a0e4dc01caa6,r4.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1196.0,0.0,USD,0.045,Hourly
f16fa0fc-f738-4c46-ac5b-10115888c82f,r4.large,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1228.0,0.0,USD,0.0464,Hourly
c8c5369b-65a9-4189-aa66-5d30e8ca2f99,r4.large,SUSE Linux,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1316.0,0.0,USD,0.0497,Hourly
dfc62b73-f54d-4183-a64c-72441d325eb3,r4.large,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1443.0,0.0,USD,0.0,Hourly
71f22b03-be4e-406f-a432-8a196d012395,r4.large,Linux/UNIX,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1587.0,0.0,USD,0.0,Hourly
2dbf5c12-cc41-41a9-8689-a7c5b10f51f1,r4.large,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1650.0,0.0,USD,0.0628,Hourly
c2885ba2-1331-49e2-9d35-225fa01911e6,r4.large,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1718.0,0.0,USD,0.0,Hourly
ce7333cd-555d-477a-a8a6-c0017df4d97f,r4.large,Linux with SQL Server Web,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1727.0,0.0,USD,0.0657,Hourly
0dd623c3-57a4-4df9-ae3a-55a7bcaf3723,r4.large,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1765.0,0.0,USD,0.0672,Hourly
cbe3c3de-f7af-4e6a-bf2c-ae006164e13c,r4.large,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1852.0,0.0,USD,0.0705,Hourly
00ae13bc-038e-4b6b-b8ac-082040516bee,r4.large,Linux/UNIX,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1890.0,0.0,USD,0.0,Hourly
ced806ec-45d7-47a4-a951-6f09aafcc1d5,r4.large,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2137.0,0.0,USD,0.0,Hourly
68eac3f8-ccb6-4a9c-9f37-7037e6c3ec74,r4.large,SUSE Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2281.0,0.0,USD,0.0,Hourly
6110b6a3-99d7-41c9-9b1e-8571b85690e8,r4.large,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2412.0,0.0,USD,0.0,Hourly
39a46604-09f5-4e33-a916-22fb0a84b2d2,r4.large,SUSE Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2584.0,0.0,USD,0.0,Hourly
baff5a3a-df67-45df-84df-1d63a01f6263,r4.large,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3019.0,0.0,USD,0.0,Hourly
d153db8b-fb96-4de6-9f29-927cf8300f52,r4.large,Red Hat Enterprise Linux,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3164.0,0.0,USD,0.0,Hourly
7d5d319c-cbc0-44af-aa54-af20d16033b7,r4.large,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3209.0,0.0,USD,0.0,Hourly
5442e909-3df3-49ab-82a7-1d379b093303,r4.large,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3295.0,0.0,USD,0.0,Hourly
9f96f17b-dfbb-4b4e-8256-443fa2edb387,r4.large,Linux with SQL Server Web,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,3353.0,0.0,USD,0.0,Hourly
fe011c6b-b3ad-4ea0-b101-8f16f7743db9,r4.large,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3466.0,0.0,USD,0.0,Hourly
51c3fd55-9bb3-4baa-ad02-d43352bb4908,r4.large,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3494.0,0.0,USD,0.0,Hourly
e8fcca99-b9bb-4ea6-b857-09fc5fef2396,r4.large,Linux with SQL Server Web,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,3666.0,0.0,USD,0.0,Hourly
703ca747-b224-4052-a3c3-be5a80a25b2f,r4.large,Linux with SQL Server Standard,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7069.0,0.0,USD,0.269,Hourly
d0b59114-a0f3-4b9d-bc29-705e603d8d45,r4.large,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7146.0,0.0,USD,0.2719,Hourly
fae64b25-b0a7-435d-ad5b-a7c5cdf94b87,r4.large,Linux with SQL Server Standard,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7184.0,0.0,USD,0.2734,Hourly
da98b3af-119a-44e2-9281-477d0eafd8d0,r4.large,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,7271.0,0.0,USD,0.2767,Hourly
c51f6cbe-2bcb-41b0-a080-eb0730351de4,r4.large,Linux with SQL Server Standard,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,14047.0,0.0,USD,0.0,Hourly
e9f75d50-cd0b-469b-8ce6-9e5ee121f071,r4.large,Linux with SQL Server Standard,dedicated,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,14190.0,0.0,USD,0.0,Hourly
f34af464-709c-4bfe-8d7f-29e1e206f8b4,r4.large,Linux with SQL Server Standard,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,14332.0,0.0,USD,0.0,Hourly
d14af9cf-dcc9-4210-98b0-bbf777aaf5da,r4.large,Linux with SQL Server Standard,dedicated,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,14504.0,0.0,USD,0.0,Hourly
1b25c08d-a1c5-42d7-aa53-6b1d95fa04af,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1169,Hourly
3f667eaf-1356-4543-8f85-68a5311792d7,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.5863,Hourly
8988dc91-5f9e-46de-b057-9d6e5ce49bff,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1769,Hourly
9a809567-2141-4633-a28d-c2e3d88af794,r4.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1063,Hourly
9b1a69c6-4a4a-4b37-a4fd-3fc35102d267,r4.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1393,Hourly
bee1d144-616d-4970-a17e-1c77e5a81d39,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1845,Hourly
c467eb5a-39f0-4921-a472-a6eafc1df1e3,r4.large,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1499,Hourly
dda6d5e2-984c-4b5e-a074-20f7026e1b2d,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.5969,Hourly
eb4aa816-f57c-4deb-9a4d-303f541cc04e,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1663,Hourly
f08960ca-f55d-47fa-af15-417348151bba,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1739,Hourly
652f8929-9c01-4bc9-8f01-8f7117708f01,r4.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1524,Hourly
67d250b7-a3c3-4535-817e-3edd46f302f0,r4.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
81bb6a79-f4d5-4418-923e-7234a52ecfd5,r4.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1254,Hourly
83499ce5-c57a-4a49-a31a-fe3b01349673,r4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1692,Hourly
90193d63-2df0-49a5-8962-536e0c3f0ca1,r4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1616,Hourly
baa0fb60-db61-4b1a-be22-02b222f892e9,r4.large,SUSE Linux,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1346,Hourly
dc201048-6020-483e-ae32-11a487c283fb,r4.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0924,Hourly
dd8d4d5b-e7e5-4a1f-8041-6cb2c02fc244,r4.large,Linux with SQL Server Standard,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.5724,Hourly
e5573ec6-96cd-4f20-bc27-792392c77328,r4.large,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.1016,Hourly
ee93acad-8042-46f2-ba1b-bdf916c9cd57,r4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.5816,Hourly
67be8341-3d79-41f2-82cf-5ca6b0cab3d5,r4.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,384.0,0.0,USD,0.044,Hourly
a77692b2-2743-4bc3-8238-7a6ef4e066d0,r4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,384.0,0.0,USD,0.104,Hourly
a6781b50-4921-458d-8bb2-bbd9a8f946b3,r4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,422.0,0.0,USD,0.108,Hourly
adae0b8c-9423-4585-9e38-e21159e226b8,r4.large,Linux/UNIX,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,422.0,0.0,USD,0.048,Hourly
9e281f80-3b31-473b-943c-dee5f321c093,r4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,443.0,0.0,USD,0.1106,Hourly
cacefbdf-08ea-4a29-95f8-47a02b5420df,r4.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,443.0,0.0,USD,0.0506,Hourly
05b501ba-9f03-4add-a89f-58ffb515f92b,r4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,488.0,0.0,USD,0.1157,Hourly
211d3d3f-9308-409d-b5c6-6d4a486679da,r4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,488.0,0.0,USD,0.0557,Hourly
bd5641f7-3b3f-4681-a119-0c3ff9decc0e,r4.large,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,560.0,0.0,USD,0.057,Hourly
cb4b58e6-9cfd-428b-a494-432d226fbb16,r4.large,SUSE Linux,dedicated,standard,Partial Upfront,ca-central-1b,31536000,Availability Zone,0,598.0,0.0,USD,0.061,Hourly
