ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a48bd04-8561-46e4-81f5-99198cecaf7c,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1585,Hourly
52896e5c-f9df-45f7-9f8a-52dc04961663,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1915,Hourly
5e86abe7-175f-4afc-a196-90d5477cac70,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2041,Hourly
6f18c1dd-68ff-468f-a214-0b88b576bf4a,r4.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1771,Hourly
760e125e-33a0-408c-aa82-8aee3fa59b59,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.6441,Hourly
7aad631c-f18e-447e-a552-089680176e7a,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2185,Hourly
8b566fa4-5b07-4d6b-bb81-51ebf945afc7,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.2117,Hourly
9ae1a26b-ffda-4738-a0e7-1348b3d72424,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1441,Hourly
a17f813b-9963-4e3c-a1e7-a76764583387,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.6385,Hourly
ad37574d-1a98-4b16-b8be-f520b46ff4aa,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.6241,Hourly
