ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
175f3aa3-2123-479c-a79f-ecbd141beac0,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1187,Hourly
466d26e1-92f3-40dd-b369-b4dd9a93bde9,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1111,Hourly
651e0e5e-84fc-43a4-8a13-c664b4ca4a67,t2.large,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0841,Hourly
9f0ae915-1a37-4494-876e-9c9dfacd576b,t2.large,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0511,Hourly
0d45d858-60da-40cc-88b8-5d4d9fb0ac24,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1044,Hourly
28edc93f-d479-457e-a6d9-95cf1debc84e,t2.large,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.112,Hourly
50bc18f1-26e5-4c0f-bc57-8b9beb0934a7,t2.large,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0444,Hourly
66fa3f13-880f-406d-a2e9-f71644313be9,t2.large,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0774,Hourly
1d412f0b-151e-4139-9fe3-d9a9260a0395,t2.large,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,540.0,0.0,USD,0.0206,Hourly
a214b24f-02c2-4920-9bfd-349943499379,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,540.0,0.0,USD,0.0806,Hourly
1ae92064-1352-4234-a5f2-79a913f191de,t2.large,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,621.0,0.0,USD,0.0236,Hourly
