ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2284e559-1843-4e31-9dac-1dae31fc5a30,t2.micro,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0154,Hourly
8c60f489-ca7c-4171-ae10-21b3feb6c301,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0664,Hourly
aa3f047e-f94d-46e7-9f56-734de7d4cec6,t2.micro,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0064,Hourly
e23e054d-272a-4e95-bdb6-cba7eb60649e,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.074,Hourly
6d434e37-3f2a-4ab2-87f4-e3bb802ac878,t2.micro,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0146,Hourly
9f71465a-9ef4-40fe-ba1b-b937c06ca623,t2.micro,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0056,Hourly
a8b38507-e7c5-4a75-a912-ccf1d646e603,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0656,Hourly
cb8362e9-7116-41d2-8965-8f8510cb5ce2,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0732,Hourly
c92054cf-446a-42c5-a966-bacbf3645933,t2.micro,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,68.0,0.0,USD,0.0026,Hourly
dfcafb91-bbbf-4dff-bf18-04e523d3494b,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,68.0,0.0,USD,0.0626,Hourly
50510821-87c3-4581-88da-189100c5379a,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,78.0,0.0,USD,0.003,Hourly
f53b9d11-47a6-4220-a7c2-d7b2d933f4cb,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,78.0,0.0,USD,0.063,Hourly
9b895bda-3742-4638-8fe6-f9e580150e46,t2.micro,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,112.0,0.0,USD,0.0086,Hourly
783aa179-5bb8-4f96-aa55-a2e2f396c09b,t2.micro,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,122.0,0.0,USD,0.009,Hourly
1088c1f1-6a94-4210-b6e6-29e7437caa58,t2.micro,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,127.0,0.0,USD,0.0,Hourly
b74610da-5822-46cd-9318-3bff75628b4a,t2.micro,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,152.0,0.0,USD,0.0,Hourly
868abae5-5cdd-4664-8d43-8aae29d78bab,t2.micro,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,329.0,0.0,USD,0.0,Hourly
681d281d-5807-40b5-8071-cb2ab30ff38a,t2.micro,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,354.0,0.0,USD,0.0,Hourly
7ea08333-b54c-4e51-8c89-11bbe0f37262,t2.micro,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,956.0,0.0,USD,0.0364,Hourly
25de3db8-0d32-465e-8eae-feb019ace15a,t2.micro,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,966.0,0.0,USD,0.0368,Hourly
1742658a-f238-4165-963a-d09ad923a0f2,t2.micro,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1704.0,0.0,USD,0.0,Hourly
e35e3de5-cdfa-4b44-9ad0-e0574c6b3a07,t2.micro,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1729.0,0.0,USD,0.0,Hourly
cd488037-5c41-4bba-bd5a-0cf970ebe07b,t2.micro,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1903.0,0.0,USD,0.0,Hourly
