ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0f2f084d-7580-49d3-b667-792a0dfdb901,t2.nano,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0032,Hourly
390c99c9-7a3e-422e-b08c-b5c3b52767d2,t2.nano,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0122,Hourly
11f934fe-2fc2-404e-9d5c-f1ee2f8f4c73,t2.nano,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0028,Hourly
d2c4aca4-59f5-43dc-b391-282514865996,t2.nano,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0118,Hourly
bcd571fb-b68f-4b4c-8c1c-684c488b1c3e,t2.nano,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,34.0,0.0,USD,0.0013,Hourly
e1b98f6d-61dd-47cf-9a98-1c7e6d2f9c56,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,39.0,0.0,USD,0.0015,Hourly
ab813eb0-9163-45b4-8251-ea7185c7aee8,t2.nano,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,63.0,0.0,USD,0.0,Hourly
3a2f4dfc-3757-4dfc-a32b-8609118936c1,t2.nano,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,76.0,0.0,USD,0.0,Hourly
fdb0ca99-8d09-487c-8cd0-55c745f8d371,t2.nano,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,78.0,0.0,USD,0.0073,Hourly
cc722418-6393-48da-b641-db52236cde3b,t2.nano,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,83.0,0.0,USD,0.0075,Hourly
