ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
6e01f6fe-55ec-41af-81fb-827d1b69f00e,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0728,Hourly
d2b09d7d-0c57-4f4a-9d2e-cfbef40df438,t2.small,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0128,Hourly
d9eb06fd-98f8-4768-b51e-285f9de5fa0d,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0804,Hourly
dd232250-eb49-4cf9-95c7-27411296c1c4,t2.small,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0358,Hourly
3bc92d9d-8284-4f46-be63-ab35e3a214d1,t2.small,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0787,Hourly
a8c6428f-5cb1-43dc-8b88-78bf2b18c33c,t2.small,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0341,Hourly
ce4c4046-ac60-4d2b-9f71-940745052523,t2.small,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0111,Hourly
d352d0ea-92c2-4172-83e0-0f351a403802,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0711,Hourly
f0ea20fd-61e3-47af-915d-0f232d84634e,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,135.0,0.0,USD,0.0651,Hourly
fd2ccdbf-7856-41d3-89df-a7590dbde4b8,t2.small,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,135.0,0.0,USD,0.0051,Hourly
ab3c4a2a-6dd2-4e19-b3f7-91a838cfe6a7,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,155.0,0.0,USD,0.0659,Hourly
c721ce4f-647a-46f5-9421-1c7c3a51e431,t2.small,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,155.0,0.0,USD,0.0059,Hourly
9f1fe4c4-0595-4e24-bdbd-11cbd74e4609,t2.small,Linux/UNIX,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,254.0,0.0,USD,0.0,Hourly
18a475eb-bd63-4df6-847a-660c7ac42bfe,t2.small,SUSE Linux,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,275.0,0.0,USD,0.0201,Hourly
c78b0ebf-66fc-42c2-b7d4-9893841aa4ae,t2.small,Linux/UNIX,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,304.0,0.0,USD,0.0,Hourly
90c1e04e-53dd-45f6-9a2f-c12641d7ef46,t2.small,SUSE Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,311.0,0.0,USD,0.0181,Hourly
155de5e1-647f-494c-a3de-208c25b8f15f,t2.small,SUSE Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,772.0,0.0,USD,0.0,Hourly
9e34867f-7545-45c1-b762-546c9b8dfa93,t2.small,SUSE Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,822.0,0.0,USD,0.0,Hourly
110cd943-ca4c-46b4-9ef6-442b9bedb59c,t2.small,Linux with SQL Server Web,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1023.0,0.0,USD,0.0389,Hourly
ef614743-09e4-4027-8b60-92e4a0ef9de1,t2.small,Linux with SQL Server Web,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1044.0,0.0,USD,0.0397,Hourly
3d2e9da8-2fc8-49d5-8d50-d713bfdf22b6,t2.small,Red Hat Enterprise Linux,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,1831.0,0.0,USD,0.0,Hourly
a9ba7053-3925-4a83-a046-257608ca8865,t2.small,Red Hat Enterprise Linux,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,1881.0,0.0,USD,0.0,Hourly
564e7828-b32e-47d4-80e6-a67249cbb837,t2.small,Linux with SQL Server Web,default,standard,All Upfront,ca-central-1b,94608000,Availability Zone,0,2030.0,0.0,USD,0.0,Hourly
010aa950-d71f-473b-8094-de59d9d70629,t2.small,Linux with SQL Server Web,default,convertible,All Upfront,ca-central-1b,94608000,Availability Zone,0,2081.0,0.0,USD,0.0,Hourly
50cbd6cd-9f23-4bae-8352-11248fea3373,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0783,Hourly
a9b9f3aa-4c23-46f7-92d6-2a57ee29beb0,t2.small,SUSE Linux,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0413,Hourly
aeeebfc8-d728-4f83-9536-eb0b50de7a8b,t2.small,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0183,Hourly
b2e4f5df-2436-4e19-a184-2c54728ce8bd,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0859,Hourly
3cd9e3f9-36bb-4b07-9947-cfd1b28c7ce0,t2.small,SUSE Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0389,Hourly
3fffd611-8863-4d1f-84e3-5ea4cae47eee,t2.small,Linux/UNIX,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0159,Hourly
9c1ac8ec-8ede-40ec-a4ce-cc3b2f763904,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0759,Hourly
d622692d-775a-4415-b346-634479710fd0,t2.small,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,31536000,Availability Zone,0,0.0,0.0,USD,0.0835,Hourly
