ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
02270ba2-ff2d-4fb1-a888-ac97781d6143,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1697,Hourly
4a8d9ae9-7157-4548-8449-510e23de6d74,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1021,Hourly
4c2dc66e-fc6b-46e0-a9db-9b8ce9977663,t2.xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1351,Hourly
55075b88-be10-43f4-95aa-a4e97dc22d32,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1621,Hourly
baeeb083-87e3-4959-a0b7-521c610d9747,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.6021,Hourly
07bbc3f5-b562-4bf8-a506-8006f7e87987,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1488,Hourly
27bc3363-15ac-4283-ba1b-1ce6a4d9b7f3,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,1.5888,Hourly
58aca4c3-9d80-4524-bc22-9b0641dfd69b,t2.xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.0888,Hourly
b4bfb474-c23d-463c-b124-8b86cba1d215,t2.xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1218,Hourly
cf5488bb-f54a-4459-aeff-6140651c9ea5,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,0.1564,Hourly
53691334-c7f2-4145-baaa-f1a2deb99da9,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1081.0,0.0,USD,0.1011,Hourly
a16ea372-d628-4417-b6f0-f094e2d4a743,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1081.0,0.0,USD,0.0411,Hourly
2602c3ee-be73-4358-838a-2ce4b6180edb,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,ca-central-1b,94608000,Availability Zone,0,1243.0,0.0,USD,0.0473,Hourly
