ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
046109b2-8ca4-47a3-b4a8-7a58f69135e3,x1.32xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,20.785,Hourly
21bcdedf-0589-4159-b85c-02df4586cb08,x1.32xlarge,SUSE Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.458,Hourly
2a355f01-5070-4556-a362-ded0787f2e4d,x1.32xlarge,SUSE Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.458,Hourly
2e3def09-7c49-4a32-860c-9bc881d98715,x1.32xlarge,Linux with SQL Server Web,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,7.588,Hourly
3094494a-be5f-4aad-90b5-3fc4106cbb87,x1.32xlarge,Linux/UNIX,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.425,Hourly
3675333e-c8c0-461e-a86a-5b04fd8f842f,x1.32xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,53.425,Hourly
583c6d4f-32f6-4bd7-a2d0-9ed00bce4564,x1.32xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.555,Hourly
5ce32cdf-454a-477b-8c17-0d6f904ab65d,x1.32xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,53.425,Hourly
6cd4f68b-1a4a-4b31-8126-8471d2e3ff7c,x1.32xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,20.785,Hourly
700955f3-324b-4224-ab63-d2b8ca107a92,x1.32xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.555,Hourly
72e45487-8a46-4011-a261-b8757e3da43d,x1.32xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,7.588,Hourly
87ff37f5-8408-40c8-ac28-510013dd799a,x1.32xlarge,Linux/UNIX,dedicated,convertible,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,5.425,Hourly
05002a32-33bd-4048-b8ed-76466ff0fd3e,x1.32xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,52.717,Hourly
0d077b90-3f78-4907-972e-f0ea7dec5951,x1.32xlarge,Linux with SQL Server Web,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.881,Hourly
249a73a0-1f19-4f0c-b8a0-df8f7f18b4ea,x1.32xlarge,Linux/UNIX,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.717,Hourly
2dcbe457-553b-4d3c-ba13-3af3c17cf37b,x1.32xlarge,SUSE Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.75,Hourly
42014cc0-9b5c-4125-a77e-3deeafb26f08,x1.32xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,6.881,Hourly
4dd84550-2b01-4fe0-a7b1-e8fcb030e451,x1.32xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.847,Hourly
66d3ffd7-0be0-493f-8f0f-2959a174effd,x1.32xlarge,Linux/UNIX,dedicated,standard,No Upfront,ca-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,4.717,Hourly
