ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05b9f85f-a1a9-4505-827b-74848d5a010b,c4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
06300979-69d7-4128-8329-a534808c3652,c4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.557,Hourly
4706fff7-c636-42cf-a793-cf7ba51ded60,c4.large,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.103,Hourly
73263d5e-414d-4530-95c7-b2dd61a2ab5a,c4.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.077,Hourly
82dd6ead-6ef1-4d7d-8c41-f18edb259036,c4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.13,Hourly
a6d43e6b-50c3-44cf-9091-f8ce7aab668b,c4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
a70107eb-1018-4130-9e16-2101e29a17e8,c4.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.55,Hourly
cbfec8fc-900c-498b-aefd-ec6365b90006,c4.large,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.11,Hourly
e85e74ac-744d-4f8b-adec-d42b1c8545dc,c4.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.07,Hourly
ecd3926e-7ca4-4295-b2a2-1b74039352a0,c4.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
03f6a480-0c5c-4403-a453-0e8658f9a9e4,c4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.547,Hourly
0cfa8c63-1b76-41b6-b970-c8a250d1fd5d,c4.large,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.067,Hourly
2a264ae9-3b20-4ffe-b601-7c647bdf5692,c4.large,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
32a88310-b2f3-446e-add3-d9c6aea658d3,c4.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.12,Hourly
531931f2-a531-4475-98b5-f6dd6d5d8503,c4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.127,Hourly
7635de22-7f8a-4a6f-8209-8cf0accdb1e9,c4.large,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
7811ab37-47d3-45fe-8abc-148e0c154cd1,c4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.134,Hourly
7e20aa4e-ee5c-4673-af00-e0bc000f21f8,c4.large,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.093,Hourly
bb94f001-f98c-42c5-98bf-fee9047b1fcb,c4.large,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.54,Hourly
fb67e21d-5821-410f-b0be-e1430e63ab62,c4.large,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.06,Hourly
0cd61b25-166a-4fcc-a1e3-6fee7fe33717,c4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,736.0,0.0,USD,0.088,Hourly
c1bc65e9-1bae-4572-b23c-9378cc0bd3f5,c4.large,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,736.0,0.0,USD,0.028,Hourly
0cbf79cd-af97-4b42-a2ee-b956f50594bb,c4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,807.0,0.0,USD,0.091,Hourly
86b25d56-3207-47d6-a469-3920cffd7715,c4.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,807.0,0.0,USD,0.031,Hourly
a74e3658-6939-4add-933c-1e4883d4e4ff,c4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,846.0,0.0,USD,0.092,Hourly
