ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
01263303-25a3-4b5a-8626-5b8f75076642,c5.9xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.144,Hourly
1f7eafdf-2b50-44ce-a7cc-1ab5d0c8dbc1,c5.9xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.604,Hourly
24bd94eb-c21f-49e9-bceb-c4a9d6288876,c5.9xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.996,Hourly
2a8f2780-20b8-4dd3-813a-c6065a4e8aa0,c5.9xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.719,Hourly
347000fb-f184-458e-a5c2-5980a8615e25,c5.9xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.029,Hourly
41080b80-45e9-4392-b6ea-b9dbaab96209,c5.9xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.241,Hourly
68a4746b-38e8-4ab6-b2bd-c2e0e8aa9f0b,c5.9xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,14.496,Hourly
70f3bfda-c992-4ee8-8277-f6575d5867a4,c5.9xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,5.316,Hourly
a808d66e-ef83-498f-85ea-a653ae291085,c5.9xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,5.431,Hourly
eeefa394-c1be-4ca8-b791-d45a0356c8fb,c5.9xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.111,Hourly
f15e18bf-a9d8-49b7-8a51-53c69b67332b,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.126,Hourly
f2da4b30-bc5e-4610-86d2-1cb2bfb865dc,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,14.611,Hourly
135f9e12-1601-496b-b13d-3ba3d2b4a1ef,c5.9xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.996,Hourly
190580c3-1697-496e-bcc8-c1ff2c7908cf,c5.9xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.474,Hourly
2ba251af-fa00-47a0-ba20-413190af6ebf,c5.9xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.981,Hourly
3003c9b2-5991-4cfd-a5a9-947f6c4e6f2c,c5.9xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.899,Hourly
376e6a76-011e-460b-b13a-2fc1a85c4020,c5.9xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,5.186,Hourly
43eb16f6-f898-48c9-9fa5-9592f7749ede,c5.9xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.014,Hourly
58f445b4-b0fe-4d95-8702-244f7cc4e6b9,c5.9xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,5.301,Hourly
614c9ffd-35c1-41ad-94b0-37deadbaeb6f,c5.9xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,14.481,Hourly
70b3462d-db10-490f-b909-298dae091a75,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.111,Hourly
bb1ec779-1164-428f-8c6f-9dd3abecbcce,c5.9xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.589,Hourly
d001a2c5-025c-4a10-a59c-f07e66686e85,c5.9xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.866,Hourly
f29fcfc8-22e2-437e-a3d1-c6751dd141ac,c5.9xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,14.366,Hourly
54e73e36-e091-43c5-9211-331b97678591,c5.9xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,10536.0,0.0,USD,0.531,Hourly
e5f05965-2a75-4b41-a0c0-c61048ddf1e1,c5.9xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,10536.0,0.0,USD,0.401,Hourly
94fb8ad5-dfd7-404c-af9c-91d713eccd8a,c5.9xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,10888.0,0.0,USD,0.414,Hourly
3bf2aaa8-e02d-4887-a520-12c10793c9e4,c5.9xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12044.0,0.0,USD,0.588,Hourly
6a2a13d0-378a-497e-874d-27b29355f10d,c5.9xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12044.0,0.0,USD,0.458,Hourly
25f7ee2d-fe74-4528-a64a-c62e3b6f245d,c5.9xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12117.0,0.0,USD,0.591,Hourly
77403d80-1657-462b-aad6-88eb2784dee5,c5.9xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12117.0,0.0,USD,0.461,Hourly
5ac3d0f7-b972-442c-983a-306512e12ca4,c5.9xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12396.0,0.0,USD,0.471,Hourly
d95e51bf-8aa8-4bbb-afa8-3a9f19e21ec5,c5.9xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,12469.0,0.0,USD,0.474,Hourly
036c4cc8-5128-4d91-9b13-3036db99bc59,c5.9xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,13624.0,0.0,USD,0.518,Hourly
