ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2f877666-fcb5-429d-b10a-2bdafc20b418,c5.xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.144,Hourly
42bae432-48d8-4894-a141-637c5b3d9de4,c5.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.623,Hourly
6125f75d-a8f7-468b-82b7-181dc08b33fd,c5.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.611,Hourly
84013647-d4ef-4eca-b880-4de946e1326b,c5.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
8520114c-6ef3-4951-9e68-5e6053fa5108,c5.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.591,Hourly
85ca4256-1121-465f-8a65-caaf4a815b5a,c5.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.171,Hourly
9efca70c-9021-4a12-b371-91d4aa5abff5,c5.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.183,Hourly
ad978d34-ef38-4ef3-9478-e49f55be52f0,c5.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.603,Hourly
b21b8fc7-67b0-4f7a-bf05-760db7f47c8f,c5.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.111,Hourly
dfa3ab55-2187-4286-9f8b-162b993d926c,c5.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
e3a62f5f-3c1e-4116-881b-076a8188c6a0,c5.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
ff721961-6be4-4269-95a3-0298b4794090,c5.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.178,Hourly
078db99a-2705-44c2-bc59-67590bbf036f,c5.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.177,Hourly
0d664080-c759-4147-bca6-431d848cba5e,c5.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.589,Hourly
3226cdd7-78be-4154-84cf-e80d31b208cd,c5.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.109,Hourly
581e9354-040e-4718-9a95-c70d2e1f11d9,c5.xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.129,Hourly
75598857-f3cf-401c-b24d-b9248d90264a,c5.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.142,Hourly
9af2d163-aae0-4106-aab3-516535a6c91d,c5.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.156,Hourly
9cc58272-d966-4890-ad53-9c29dd79b1a4,c5.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
