ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
18a346b7-0383-4ce0-bffb-158a4d67de11,d2.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.95,Hourly
2a6f1ad6-ddbe-4642-91d3-9773804bcca3,d2.4xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.735,Hourly
5a05d219-a7cb-4ded-9b1b-2a90107e1aaf,d2.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.052,Hourly
5d569e65-b621-41e7-8523-3babe4d59a29,d2.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,7.603,Hourly
8ed247e5-b8c1-494f-ab23-442b8b1f05ed,d2.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,7.763,Hourly
ee0eecbd-d2ca-4403-81e0-0d1ac71e5fe8,d2.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.909,Hourly
f412872e-2f8c-495b-8dae-3158c5d08d79,d2.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.865,Hourly
f6f141c7-4c59-406c-9adf-d3e670d19679,d2.4xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.772,Hourly
aa22e51b-89a7-4885-9ea3-b08148238a24,d2.4xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,15412.0,0.0,USD,0.718,Hourly
c849e824-cbf7-45c6-ab1e-4d15d428166b,d2.4xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,15412.0,0.0,USD,0.588,Hourly
edd64361-b57c-41e5-bb4c-eb89b4756f70,d2.4xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,15764.0,0.0,USD,0.601,Hourly
