ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
13e00142-9887-4215-82dc-41e1d87ffa5d,d2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.434,Hourly
6dc52664-f812-45eb-9676-6a08d750a179,d2.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.518,Hourly
89b0cec8-4ac5-4ca6-baca-265cdb1a3f84,d2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.494,Hourly
95b5faa3-57c7-46c8-9a14-0577a5d10592,d2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.471,Hourly
9a9fe47b-aadb-4eca-9544-ca1ea0f7e75a,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.543,Hourly
b9e72968-4a96-46b7-aef1-599e69a51dc2,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.941,Hourly
ee9eb3c5-69e3-4751-b43a-d795dcd3e12e,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.901,Hourly
ff4a13ad-7f6c-4f35-b07d-4ac7878f8db8,d2.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.477,Hourly
8a8d7bd1-0ace-43e8-9b09-281bbf89712a,d2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3853.0,0.0,USD,0.207,Hourly
9222434a-4805-406c-9fc9-5976b1fa0890,d2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3853.0,0.0,USD,0.147,Hourly
9cd8acfd-d787-4819-a234-958df2f73f10,d2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4205.0,0.0,USD,0.16,Hourly
b05e827c-eb0c-4979-a117-f46707489302,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4238.0,0.0,USD,0.228,Hourly
ccbb319d-57b1-49ec-b016-fbfe3045620d,d2.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4238.0,0.0,USD,0.162,Hourly
ce1c5424-50b6-4f6a-bf13-c9b370a8e8c0,d2.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4626.0,0.0,USD,0.176,Hourly
b587def3-2bf3-4510-a134-19ac702a39fe,d2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4876.0,0.0,USD,0.245,Hourly
dab73f31-e190-455a-870b-7b69a078ab6e,d2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4876.0,0.0,USD,0.185,Hourly
a288fab3-4cce-4949-b662-51577e6394bb,d2.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,5228.0,0.0,USD,0.198,Hourly
70b7ad75-4557-4d9f-9120-301a00a220d4,d2.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,5365.0,0.0,USD,0.204,Hourly
ac6d457c-b8e0-4cf1-b258-5c74c4add6dc,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,5365.0,0.0,USD,0.27,Hourly
ba107c9c-e98a-402b-ad13-05c377b3d2b5,d2.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,5753.0,0.0,USD,0.218,Hourly
5611b77a-2446-414e-9cd8-9747b98c3771,d2.xlarge,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,7253.0,0.0,USD,0.0,Hourly
0eec36f2-f42a-4de6-b4bf-c949ed5b73d2,d2.xlarge,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,7905.0,0.0,USD,0.0,Hourly
8793da7c-28c1-4bf6-b9a2-a4ac8840c01c,d2.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,7978.0,0.0,USD,0.0,Hourly
45d8dfbd-bda5-4a05-9d48-52fd11afc7ec,d2.xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,8696.0,0.0,USD,0.0,Hourly
fbc9fcdd-2fd2-4ea7-86ba-6a5aa50caa0b,d2.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,8735.0,0.0,USD,0.0,Hourly
58d8deab-cb6c-498c-8274-37156aadf9d9,d2.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,9555.0,0.0,USD,0.0,Hourly
2b8d1dcc-8977-42e3-98fb-1759e820d001,d2.xlarge,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,9609.0,0.0,USD,0.0,Hourly
165d5c18-9e76-44b5-92db-35979e3d8a63,d2.xlarge,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,10207.0,0.0,USD,0.0,Hourly
6d29a4ac-54db-44bf-8638-bcfbf06f48e2,d2.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,10511.0,0.0,USD,0.0,Hourly
88af3008-3144-41ca-aa11-96decf87b5ff,d2.xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,11097.0,0.0,USD,0.0,Hourly
73d3f5d8-1aa8-4dba-a5e8-48034a4194f4,d2.xlarge,SUSE Linux,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,11229.0,0.0,USD,0.0,Hourly
5e2ce984-a01f-44e7-84d7-2ed2c7364ead,d2.xlarge,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,12206.0,0.0,USD,0.0,Hourly
bb2d1109-6a9c-4f8e-95b3-a7270b32752c,d2.xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,23570.0,0.0,USD,0.897,Hourly
beae4cb1-6ae7-4de3-a1d7-1a6705f434ce,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,23956.0,0.0,USD,0.912,Hourly
421d6cf2-ef1d-4a4d-9f47-c371674fafb5,d2.xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,24585.0,0.0,USD,0.935,Hourly
7e83dfec-7adc-4c34-a012-f4d0f2d8ee7f,d2.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,25072.0,0.0,USD,0.954,Hourly
ff0bc569-eab0-485d-86aa-b5eaf6ddc1e7,d2.xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,46677.0,0.0,USD,0.0,Hourly
4965471a-57f9-4eeb-bb38-606fdb3b090b,d2.xlarge,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,47403.0,0.0,USD,0.0,Hourly
