ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0bf31a86-6740-4dc3-8115-f27e819ee555,g2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.164,Hourly
252282d5-9c7f-4277-84e3-b7ddd5348a4e,g2.8xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.034,Hourly
363d34d4-5261-4a86-913d-b22cebf9537f,g2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.164,Hourly
3f4d1f64-b1c0-479c-8cbb-37344025667c,g2.8xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.071,Hourly
a541e721-7fed-40b9-8c3c-9e05eb6e894e,g2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.071,Hourly
aa3a8da1-5fd5-4f63-b7ee-7bbf3d780604,g2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,13.88,Hourly
c1e86fde-d412-4946-bb0b-75b58c2ca010,g2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,13.88,Hourly
ff682cd9-63a7-48f8-8fdd-e2d8ad908061,g2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.034,Hourly
3579bb6b-67a9-4760-955e-4599c642653c,g2.8xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,18764.0,0.0,USD,0.842,Hourly
991ab604-06a6-4f84-85df-9bdeed24425f,g2.8xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,18764.0,0.0,USD,0.712,Hourly
dc9d018f-2499-4670-ad5f-72aa32af2a57,g2.8xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,18764.0,0.0,USD,0.712,Hourly
f528acd9-146d-4b56-a3c0-74de6e50efb5,g2.8xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,18764.0,0.0,USD,0.842,Hourly
b521025f-9585-471d-aea6-3f4f71ac06dd,g2.8xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,19116.0,0.0,USD,0.725,Hourly
ddd5c3dd-0513-4420-84e8-eb9f62f4943f,g2.8xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,19116.0,0.0,USD,0.725,Hourly
2eb68aca-e856-49ee-8c5c-c988040038e8,g2.8xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,22864.0,0.0,USD,0.871,Hourly
4002d282-0d44-4a84-bf90-2f4b71e684e1,g2.8xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,22864.0,0.0,USD,1.001,Hourly
64fa2962-ba3a-4627-a999-27c24e8d32db,g2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,22864.0,0.0,USD,1.001,Hourly
eae6a295-a9e5-4f9a-b787-8fbb085b9594,g2.8xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,22864.0,0.0,USD,0.871,Hourly
136d82e5-25e5-4a0f-85fe-43bcf36b609c,g2.8xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,23216.0,0.0,USD,0.884,Hourly
aae7e2f1-42c0-4da5-960d-b3450089eeb6,g2.8xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,23216.0,0.0,USD,0.884,Hourly
