ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
03d65aa7-143f-494c-b4ef-5ec38cd26cc2,i3.4xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.868,Hourly
22dfea77-094e-41f7-a035-26162246bcd3,i3.4xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.105,Hourly
30e9d29b-b260-4d4c-b2f2-a901dfd28683,i3.4xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.965,Hourly
34c9be6b-d0d1-4bed-b625-b4d482d6bece,i3.4xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.835,Hourly
39257200-ff61-459e-aaca-15c45a620d4a,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.918,Hourly
7a0df4ea-b999-4c3c-868d-a56f2b32e036,i3.4xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.951,Hourly
9569cecc-21fa-4a15-977a-8b6b70220093,i3.4xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.188,Hourly
973212ca-e6e7-4eb1-b781-83d62cc0694e,i3.4xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.835,Hourly
cb5f299e-5390-4ac7-b06b-e9b71275e8bf,i3.4xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.838,Hourly
cf69e997-36c0-4a07-b3af-14b0ec6dab6a,i3.4xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.918,Hourly
f5799304-7fde-48a4-b8dc-d90b693e8c2f,i3.4xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.755,Hourly
f605120b-564f-4fef-8355-a33fca54512f,i3.4xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.048,Hourly
14a58ea7-2688-4c96-9e32-198f5fd1d8cf,i3.4xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.798,Hourly
1d6f5229-9b7f-4a5f-a817-643e7e761de2,i3.4xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.856,Hourly
522f85ab-b9f9-4fa0-84b3-c9bb1df2f5f6,i3.4xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.726,Hourly
58d72165-9b6c-49e0-a498-fc0ac0d1a810,i3.4xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.759,Hourly
