ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
105626fe-e9bd-4760-b0a0-25e6536dda5a,i3.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.175,Hourly
4a3e3c8b-6558-479b-b10e-8c0db4678729,i3.large,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.148,Hourly
5dfbc2a0-17b0-464e-9bd4-56c64c71124e,i3.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.584,Hourly
79640bba-9a0c-432f-8cff-6792ee1d777d,i3.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.182,Hourly
79f91245-d21f-412a-b1d1-76cdf62a5b5d,i3.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.595,Hourly
a8b25b5b-ea03-49a2-a929-0d2dfa134ea8,i3.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.172,Hourly
d0489f47-2ce8-46bb-b370-b06a92d5fea0,i3.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.115,Hourly
d1a2660a-a74e-41a1-ac16-b3bb799bc0c6,i3.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.104,Hourly
ed164e18-ce47-49fe-b9c2-6741259913f3,i3.large,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
f9cc9aa4-ee8e-4ae1-9964-c5fd570250c6,i3.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
0cd822e0-84c6-4bc9-82a2-705e9ccdb140,i3.large,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1,Hourly
17dcd3c5-d7ae-4639-a47b-6f7aa881b524,i3.large,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.091,Hourly
4139d194-99c2-4f3d-84ee-ae71fc1aa234,i3.large,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.158,Hourly
5ef6338f-35b5-4213-bc57-ce855355e8b7,i3.large,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.133,Hourly
70bfc5c2-7469-4a30-b157-2eeb1b46b678,i3.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.16,Hourly
750ab9a1-b945-4ed5-8e13-75d195497e34,i3.large,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.124,Hourly
76d41e58-88bc-4c43-a0cf-45cf8d864cba,i3.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.58,Hourly
b53d6384-96df-42a7-9cbf-0235e90d1f81,i3.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.167,Hourly
c03d9536-bca4-4b87-863e-f36f623cc8ad,i3.large,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.571,Hourly
ddd1c1d6-13b8-42f0-95eb-9bb6a1fe95a1,i3.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.151,Hourly
aea85264-2c27-4c08-b841-5171ee7d9764,i3.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1100.0,0.0,USD,0.102,Hourly
cf9603cb-a23d-4ed0-ad60-3843bcc222dd,i3.large,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1100.0,0.0,USD,0.042,Hourly
a90be28f-6d70-467d-81ee-811eb26f5e07,i3.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1210.0,0.0,USD,0.106,Hourly
c4ce9bd2-a16a-4358-9a83-2db1844f7968,i3.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1210.0,0.0,USD,0.046,Hourly
53f76ea0-5c0b-482c-8eb8-57337e6e08a6,i3.large,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1269.0,0.0,USD,0.048,Hourly
7bea6b8b-90c2-4df7-9627-19dfec138dc1,i3.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1269.0,0.0,USD,0.108,Hourly
