ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0e0d0069-c59a-4eca-acb2-36b371321a1c,i3.metal,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.371,Hourly
1ee38220-cdc4-4fe2-8e14-95bdb2a5ee93,i3.metal,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,11.018,Hourly
25a4038c-4f48-4e76-a7d9-38b97649b474,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.338,Hourly
3da43172-06e6-4c29-a8f4-9c512b2db26a,i3.metal,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.42,Hourly
46bb7dec-32ed-4abc-9814-4be0da1dfb6b,i3.metal,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.338,Hourly
764a7210-317f-457f-8aa4-1b456f7648a0,i3.metal,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.338,Hourly
7ba42116-f381-44bf-989d-be4bdff789ce,i3.metal,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.42,Hourly
8a99ebb2-21a2-4fc3-a7da-6e99dc8d762d,i3.metal,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.338,Hourly
95754d70-8433-43f5-bf74-0874f0d09a9d,i3.metal,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.371,Hourly
99f15dc2-023f-44b2-a49a-e37f0bce5311,i3.metal,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,11.018,Hourly
a0a505ed-ea84-410d-9731-a007bd583e53,i3.metal,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.468,Hourly
e895d4f0-8635-404f-b8d8-a5b2a1233845,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.468,Hourly
0d8009c9-69a0-4e5b-a1ae-a3242592ecb5,i3.metal,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,26.903,Hourly
1d690296-a82c-43da-9534-785395da5466,i3.metal,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.936,Hourly
26e0e714-1c39-4f66-a41e-9a5639961142,i3.metal,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.033,Hourly
3ba21520-32c6-4db8-9413-b4506aabd809,i3.metal,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
59259ca1-97f2-4be6-bb21-1b3e16e1b256,i3.metal,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,26.903,Hourly
760a0adb-fbd5-4aa1-a7dc-a7594db651bf,i3.metal,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.936,Hourly
8c42ef41-f27f-4d03-adc6-3a8ff6e7c44e,i3.metal,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.033,Hourly
a716cfeb-0ae2-4fec-a196-5ab12f594d90,i3.metal,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.985,Hourly
ad261c78-2936-4f46-a3a6-f1ec5284b31f,i3.metal,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.985,Hourly
c179a139-61a8-498b-b3b0-ce8828a5cf0a,i3.metal,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
c99f96f7-5a94-439b-a106-9b65efcfd923,i3.metal,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.583,Hourly
d5b9aaea-d57d-4974-85d9-d5b539412307,i3.metal,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.583,Hourly
1986bd44-c891-4ec0-8368-d1b6c6c2e6ad,i3.metal,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.474,Hourly
3f87f1fb-be36-4ecf-9511-7110e9757558,i3.metal,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.344,Hourly
4a04480e-6505-49c9-9194-58f05fce585a,i3.metal,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.344,Hourly
c4ebb692-d006-45b1-aff0-d1b754890276,i3.metal,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.474,Hourly
3ebd1c95-d8b8-4606-a26a-45e90a452cc2,i3.metal,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35672.0,0.0,USD,1.357,Hourly
517d8247-4e2e-4d6c-bc61-6dffda2f35cd,i3.metal,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35672.0,0.0,USD,1.357,Hourly
0d7ac08e-3ae0-461f-b488-210193e5e474,i3.metal,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40618.0,0.0,USD,1.546,Hourly
62d90775-15b4-428d-b02f-bfa3d31eba14,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40618.0,0.0,USD,1.676,Hourly
9695444c-d769-4142-8e2b-095a802446f2,i3.metal,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40618.0,0.0,USD,1.546,Hourly
d53240cc-e09e-40c2-8650-2bbda48332a1,i3.metal,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40618.0,0.0,USD,1.676,Hourly
0dee2b85-cefc-4925-b4f2-0c33fc11e2cf,i3.metal,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40970.0,0.0,USD,1.559,Hourly
b021cb72-1ceb-4996-b00a-e90907fd6beb,i3.metal,SUSE Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40970.0,0.0,USD,1.559,Hourly
bff15488-5031-4ded-8cbb-0430bf6e2d1b,i3.metal,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,49532.0,0.0,USD,1.885,Hourly
e375152a-a1e6-41b8-b53c-a646b01353a8,i3.metal,Linux with SQL Server Web,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,49532.0,0.0,USD,1.885,Hourly
30ac357d-7a52-4e7f-b0db-fbb28f8b85ee,i3.metal,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,54830.0,0.0,USD,2.086,Hourly
c86270f8-0c13-45ac-8b40-9983eb762b0b,i3.metal,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,54830.0,0.0,USD,2.086,Hourly
0b8a5459-cd2d-412c-8544-2363a99d7d18,i3.metal,Linux/UNIX,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,66402.0,0.0,USD,0.0,Hourly
f3887f2e-c919-4f77-95e0-bcc69caeb2e3,i3.metal,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,66402.0,0.0,USD,0.0,Hourly
9e4cd8cd-1255-4924-82c1-3f4f657e3163,i3.metal,SUSE Linux,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,67096.0,0.0,USD,0.0,Hourly
9f237661-b241-46df-9637-5a33eaf4ddef,i3.metal,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,67096.0,0.0,USD,0.0,Hourly
267116a8-9812-486b-9e61-2d02dc56a8af,i3.metal,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,69818.0,0.0,USD,0.0,Hourly
38592efc-7fea-452a-bbde-69abd51cc1dd,i3.metal,Red Hat Enterprise Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,69818.0,0.0,USD,0.0,Hourly
198cdc58-e2e8-455a-9fd2-c53b64d3c9a1,i3.metal,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,79611.0,0.0,USD,0.0,Hourly
5133071e-7576-4f06-b437-4564cc23d1f1,i3.metal,Linux/UNIX,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,79611.0,0.0,USD,0.0,Hourly
109f57d4-b3ef-4781-be6b-331e7cd6e205,i3.metal,SUSE Linux,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,80305.0,0.0,USD,0.0,Hourly
aa32f7fa-6fd6-4fd2-a48e-494064cf8e92,i3.metal,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,80305.0,0.0,USD,0.0,Hourly
a54b9542-2dd3-4e96-b102-c8262f9acf8d,i3.metal,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,83028.0,0.0,USD,0.0,Hourly
bcab905d-7aa8-4107-8985-14a33064a8ca,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,83028.0,0.0,USD,0.0,Hourly
0a7d77c3-b886-4d2a-9727-558f0d87e5d9,i3.metal,Linux with SQL Server Web,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,94826.0,0.0,USD,0.0,Hourly
5bd8684b-08eb-4575-b33e-f62c53d991e5,i3.metal,Linux with SQL Server Web,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,94826.0,0.0,USD,0.0,Hourly
06274115-9ad7-4789-a648-000a301fa1eb,i3.metal,Linux with SQL Server Web,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,108036.0,0.0,USD,0.0,Hourly
d312142b-e79f-4d41-9c10-63c4f3aa159b,i3.metal,Linux with SQL Server Web,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,108036.0,0.0,USD,0.0,Hourly
1602adf6-d12e-4749-b9ad-82b72481095f,i3.metal,Linux with SQL Server Standard,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,136235.0,0.0,USD,5.184,Hourly
ac223c96-c3ca-4abb-a6ac-e7099f93101c,i3.metal,Linux with SQL Server Standard,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,136235.0,0.0,USD,5.184,Hourly
c83d7722-cd9a-4571-b0fd-8b52049244aa,i3.metal,Linux with SQL Server Standard,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,141533.0,0.0,USD,5.386,Hourly
c8f5422b-150a-4a78-8683-3825a59e4648,i3.metal,Linux with SQL Server Standard,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,141533.0,0.0,USD,5.386,Hourly
4be61433-1e9e-48cd-849d-646666c527aa,i3.metal,Linux with SQL Server Standard,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,268232.0,0.0,USD,0.0,Hourly
e8244824-c1ad-4ce2-9c79-0a3efcfd049a,i3.metal,Linux with SQL Server Standard,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,268232.0,0.0,USD,0.0,Hourly
9fd8c435-9bce-4547-9450-132926acdb44,i3.metal,Linux with SQL Server Standard,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,281442.0,0.0,USD,0.0,Hourly
c8d49f7f-f585-42d7-9eb8-07b06e5dde97,i3.metal,Linux with SQL Server Standard,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,281442.0,0.0,USD,0.0,Hourly
029677cb-bdd4-4ad7-aec3-a464279d34e4,i3.metal,Linux with SQL Server Enterprise,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,350680.0,0.0,USD,13.344,Hourly
f7155198-c2d8-4c29-9e19-9f9407a56241,i3.metal,Linux with SQL Server Enterprise,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,350680.0,0.0,USD,13.344,Hourly
3fe819bc-e90f-4b17-ad39-a57cc2db1d82,i3.metal,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,355978.0,0.0,USD,13.546,Hourly
73c1229c-8e83-4fdd-ba39-9683220baf50,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,355978.0,0.0,USD,13.546,Hourly
248b3554-3b72-4828-9a8f-2f7f890850a8,i3.metal,Linux with SQL Server Enterprise,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,697122.0,0.0,USD,0.0,Hourly
939515a3-c685-4cba-ae0a-2dae45bf75fd,i3.metal,Linux with SQL Server Enterprise,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,697122.0,0.0,USD,0.0,Hourly
3de3e1d6-4329-447c-bf4a-25c43ee249f8,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,710331.0,0.0,USD,0.0,Hourly
80f7fa48-1e5a-47fc-bf42-ee9de3abc734,i3.metal,Linux with SQL Server Enterprise,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,710331.0,0.0,USD,0.0,Hourly
02f22402-706f-4b0a-844b-8f07fd33ef47,i3.metal,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,5.718,Hourly
06624a9f-3195-46d6-8139-6852eedfe1e4,i3.metal,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.637,Hourly
2e232233-f230-4771-a4fc-fecbb962362d,i3.metal,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,5.718,Hourly
340c4907-c920-4d20-8c3a-72eda22426b8,i3.metal,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,28.637,Hourly
46ac4c23-88a0-456e-ad79-6f62e64b0500,i3.metal,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.67,Hourly
53e56f1a-9394-4da6-a255-4a16e490a93a,i3.metal,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.637,Hourly
63a47e48-595c-426a-b626-d360e1d34446,i3.metal,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,12.317,Hourly
cd5d374a-7abf-4d1b-93cd-07543bd09846,i3.metal,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.767,Hourly
df7fe5c6-f1a5-45da-b8e0-680ab69a76c4,i3.metal,SUSE Linux,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.67,Hourly
e75df7a8-2198-4d81-8bb7-d5550844d940,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.767,Hourly
f75b1620-fbc4-4907-bc6f-7689c121e298,i3.metal,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,12.317,Hourly
f7de5d30-198a-4716-bba2-d718b695374d,i3.metal,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,28.637,Hourly
036fb2fb-a2c5-41f4-9198-b08fd2617418,i3.metal,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,28.032,Hourly
0cbaf98b-3ee5-4593-9784-ee774f3f9d12,i3.metal,Linux/UNIX,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.032,Hourly
36af11b2-2f3c-4e53-861e-8ec8c35b519e,i3.metal,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,11.712,Hourly
4ea863c4-cdee-4fae-9805-51370875a226,i3.metal,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.032,Hourly
5925deb6-08fe-47a8-85ad-50cdb916677a,i3.metal,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,5.114,Hourly
6f5c9938-baff-4aba-992c-6488096f26de,i3.metal,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.162,Hourly
7318d9ba-ad3f-4d05-b191-7b9610f259ec,i3.metal,SUSE Linux,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.065,Hourly
7e43ac17-4f9a-4133-8062-077f504e1f6a,i3.metal,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,5.114,Hourly
99583173-4ef3-46bb-ab8f-c355b0cc1077,i3.metal,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.162,Hourly
ada45be5-284d-4d7c-abb0-28e2e01e5152,i3.metal,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,28.032,Hourly
d74ce0be-354f-40d3-bd15-a328344a9bbb,i3.metal,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,11.712,Hourly
eeec5862-1237-4ea6-a1e7-1fd2e17fafd3,i3.metal,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.065,Hourly
156eb6d4-805e-4ad6-84de-ad9e1a904b3f,i3.metal,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,1.92,Hourly
7c209126-9456-4e51-bf30-4b5ecc00b0b1,i3.metal,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,2.05,Hourly
9c76bf26-019a-47a4-ac30-099695519ff4,i3.metal,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,1.92,Hourly
a99ec252-03ae-4811-a26d-7054487ef24a,i3.metal,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,2.05,Hourly
797e8257-8fba-486b-b608-a141c39c9fae,i3.metal,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16995.0,0.0,USD,1.933,Hourly
e0b3f17e-3c27-4d7e-a1db-e056895bb7a3,i3.metal,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16995.0,0.0,USD,1.933,Hourly
679227f7-f781-4516-b171-85018ae80a88,i3.metal,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,19342.0,0.0,USD,2.208,Hourly
856e23d9-994b-40dd-8925-7c4c1a4b4d8e,i3.metal,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,19342.0,0.0,USD,2.338,Hourly
9769391b-c7fa-43e1-982b-313fa48d1fa6,i3.metal,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,19342.0,0.0,USD,2.208,Hourly
b7785e0a-fba4-4338-92f3-d397a3841d0b,i3.metal,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,19342.0,0.0,USD,2.338,Hourly
