ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
060bb027-e6e0-440b-bc99-5fb9b483623a,i3.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.29,Hourly
26f1503a-8699-4126-a848-a5681e1b0957,i3.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.269,Hourly
349012f5-28f5-4a61-87cf-104c9a2bcb97,i3.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.71,Hourly
4652e261-4942-4864-b2db-a1797cb6ee8e,i3.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.689,Hourly
4e27207f-037b-4905-8121-fa05e2482dcf,i3.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.709,Hourly
642df876-5931-4897-ae94-a951a590e30a,i3.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.23,Hourly
65eff794-0e81-4e8a-be76-a2ed12a23fb3,i3.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.73,Hourly
79cedb07-ca31-424c-80df-8d14b9149773,i3.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.263,Hourly
95d713d6-503b-4d64-ae2c-72e095a58143,i3.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.276,Hourly
b178592e-1548-49b0-81f0-15b2840342ca,i3.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.297,Hourly
f5e603e9-ff1e-465d-b828-49640a24ae8f,i3.xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.242,Hourly
