ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2aac8e2f-7371-4329-8888-9640c78be1d8,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
be071225-6748-4174-be86-6d5f12307ab0,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
9b560e26-9085-44e8-9d5b-ec059740f508,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.344,Hourly
a6ddf7b8-d36d-461d-9071-4880063c6caa,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,35320.0,0.0,USD,1.344,Hourly
35e2bb95-fd0e-4a32-b05a-8ec1c179c472,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,66402.0,0.0,USD,0.0,Hourly
af338aef-9644-45dd-8812-98868edc5e1b,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,66402.0,0.0,USD,0.0,Hourly
07b701f1-30d7-4b16-92f7-d27ce9501d7f,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.032,Hourly
6a70c1c3-2a74-46ad-8eda-0ca28d23d6b6,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,4.032,Hourly
17e32aec-0ce2-4028-8a3b-6c9290d68112,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,1.92,Hourly
40b35771-c168-4a10-b099-a35493dadfb0,i3p.16xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,16819.0,0.0,USD,1.92,Hourly
431f164e-500d-4ce8-bc1b-24586a33e5df,i3p.16xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-central-1c,31536000,Availability Zone,0,32966.0,0.0,USD,0.0,Hourly
d9d8d8b2-2d2a-493f-915b-0f770b40a729,i3p.16xlarge,Linux/UNIX,default,standard,All Upfront,eu-central-1c,31536000,Availability Zone,0,32966.0,0.0,USD,0.0,Hourly
26aa9ff7-df8b-427d-a8e5-b54ddaa888af,i3p.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
34acd35e-08fd-47e5-b1c6-e449cc81434e,i3p.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1b,94608000,Availability Zone,0,0.0,0.0,USD,2.903,Hourly
46afdf87-1d00-4086-9ec8-31a08a419352,i3p.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1b,94608000,Availability Zone,0,35320.0,0.0,USD,1.344,Hourly
