ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
018d4c44-4a19-4cec-ac7d-b8be2a7473dc,m4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5565,Hourly
10c575bd-1a55-4d64-bff4-a13a5ac682d6,m4.large,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1026,Hourly
22a2442f-392e-4bb9-9eac-fe08cb760b79,m4.large,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1095,Hourly
59ee14a6-c929-482d-8b3d-8863405ad831,m4.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1372,Hourly
901fae1b-f3a8-4a04-ae59-f60f8e75d5e4,m4.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5496,Hourly
ae4ab829-1868-43d5-8473-b0a47b184505,m4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1441,Hourly
b84dde52-a8eb-4f7e-a8f7-61ddf83ba218,m4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1296,Hourly
d25e91ff-d43c-4440-a63d-ee499837ce5d,m4.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0696,Hourly
e031b7cb-80d1-4250-acb6-a0bc90bb70d2,m4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1365,Hourly
e978a1ad-deca-4adc-b75d-6d74fcce0a99,m4.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0765,Hourly
0681849f-00b7-495a-b021-6280ee3b8ed5,m4.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1341,Hourly
17803b5e-402e-4659-8bce-ac715d00cf71,m4.large,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1265,Hourly
594948d8-c0a6-4819-9f2b-8134cead06ef,m4.large,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1281,Hourly
5de1b488-17a8-4355-b99e-6544c6608a56,m4.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1205,Hourly
7f4c2d5e-f870-44d5-9058-d3c5a45dca79,m4.large,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0665,Hourly
95968aea-1c3b-40e9-b314-04cb316ff152,m4.large,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5465,Hourly
bc3e2270-1990-4416-8cdf-d58af672f19f,m4.large,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.086,Hourly
f4b3b446-d226-412e-bfff-5a5bd8d7b6e5,m4.large,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0605,Hourly
f62cd051-c094-43c7-ae1e-62be024132b7,m4.large,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.092,Hourly
f95c5360-2368-4ad1-9fec-93eb240ea090,m4.large,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5405,Hourly
037f0273-7bde-49bb-ad42-970dbbc8a080,m4.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,736.0,0.0,USD,0.088,Hourly
f00adbd2-b83f-44a2-a624-aceb9f6f1948,m4.large,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,736.0,0.0,USD,0.028,Hourly
705435cb-ef25-42ae-baf7-a702eab669e8,m4.large,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,809.0,0.0,USD,0.0908,Hourly
f795d081-ba00-4508-a2b2-245170630833,m4.large,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,809.0,0.0,USD,0.0308,Hourly
33755fb7-41e6-4359-9744-a764bc56f3ec,m4.large,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,846.0,0.0,USD,0.0322,Hourly
d7f8b582-12aa-4355-97b9-72ab067ed688,m4.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,846.0,0.0,USD,0.0922,Hourly
5f4cba17-8e3c-46f2-aa53-8c5edf10f40f,m4.large,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,931.0,0.0,USD,0.0354,Hourly
7ea4aee3-be33-4093-96d6-3a4a0cd66a60,m4.large,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,931.0,0.0,USD,0.0954,Hourly
