ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
211cfc52-6b6c-4fe2-8ac8-31aae8a07314,p2.8xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,18.701,Hourly
37ee9376-c8e5-4845-804d-d25acd501267,p2.8xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.734,Hourly
3f7fe1db-a4b5-4766-98e1-ad68f81397e6,p2.8xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,18.092,Hourly
42f7dc97-0642-4b57-8a12-771f09d379ca,p2.8xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.831,Hourly
a111a5f9-f422-4c8f-9ec5-dde7846d6cb6,p2.8xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.701,Hourly
c2708c67-302c-4db5-b37a-43bbadcc39ea,p2.8xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.092,Hourly
e5bee7cd-ca79-4795-91c9-68a072985522,p2.8xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.125,Hourly
f4d4c22c-6187-44f1-9ff4-ce5a7a26fecb,p2.8xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,6.222,Hourly
13c9dde4-b72f-4e13-8506-8402162282a7,p2.8xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,5.86,Hourly
7000096f-d587-4d7c-9069-15b77660f4b1,p2.8xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,17.297,Hourly
