ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0e31739d-e93c-4630-8041-dd47447fd100,r4.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,26.5436,Hourly
22c6634c-7087-46eb-b43a-249e3ac864fe,r4.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.6252,Hourly
2c2dd3b7-1f5f-4624-b7ed-bb889988401a,r4.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,26.5436,Hourly
500497dc-85e7-4660-8cf1-63efffd81c88,r4.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.2236,Hourly
77bfd4f2-987e-4c3e-9216-075bc8dbea53,r4.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.5766,Hourly
86323d9a-b7bd-43b4-aae7-18da5e3d87e6,r4.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.6736,Hourly
a288543b-2a22-4963-bbc1-202e9781327c,r4.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.6252,Hourly
a388a0f3-9a6a-41c2-b577-9112007f4afe,r4.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.6736,Hourly
a3f91ad3-9de7-4fc1-9201-7dcbfb7377ce,r4.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.5436,Hourly
e286713f-ae60-49c4-aea1-bb40f4d8f18d,r4.16xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.5766,Hourly
f1f61ef8-f713-4db2-9e2b-c8639af258e6,r4.16xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,2.5436,Hourly
faa969d4-1700-4c48-94bb-826d1425fd8a,r4.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.2236,Hourly
