ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
11d64de8-5f92-4ac3-81d7-8d91f919b23a,r4.large,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1125,Hourly
54530b19-f857-4009-ad22-0d152759179b,r4.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0795,Hourly
68809185-cb57-4b9a-a637-617deb34f98c,r4.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1474,Hourly
99fd6bc1-3634-4646-bf04-d0edb0852988,r4.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0874,Hourly
a2295f1a-587a-4dc8-b0cf-b23d927065d2,r4.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5674,Hourly
c7a5fcab-5357-4d92-8131-815244f1ad98,r4.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1395,Hourly
e18fd115-4db3-4be3-88c3-6bce71415030,r4.large,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1204,Hourly
e1b0a6cc-3218-4c8d-85e8-01297397144a,r4.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.155,Hourly
e67b9fbd-6b37-474f-8491-7b36e5afe7c5,r4.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.5595,Hourly
f0acab86-1b75-4b38-ae2e-fc8476177d02,r4.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1471,Hourly
