ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
06aa00c4-2d18-40eb-b604-92f027037060,r4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.639,Hourly
2391c7ac-82fb-4101-b7e6-15f24633e6c4,r4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.6549,Hourly
373f7039-cfd3-4d03-92fb-d2cae8cad2ca,r4.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.159,Hourly
3897ce0c-3741-4140-8bcf-bd0d8e5f1db1,r4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2079,Hourly
3f7f05ea-72e0-44fb-8d54-02008b98eea3,r4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.659,Hourly
50480abf-da46-4411-a7a5-be340bbca9ca,r4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.219,Hourly
759c2410-e3aa-4d7a-b56c-88bf65304c39,r4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2266,Hourly
7c1201a4-d22c-420a-887c-da9617cc1c27,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2349,Hourly
a6a5c988-3e39-489b-909a-e3f40e94025a,r4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1749,Hourly
a807530e-3122-4b40-99d8-1d5625c330c9,r4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.6749,Hourly
b03e77e6-c690-46f3-b317-b7a13ed1e01e,r4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2425,Hourly
cbbee00c-568f-4344-9b25-e694565fd700,r4.xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.192,Hourly
100e6f1f-ab39-42c8-80e1-206d9d326371,r4.xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1382,Hourly
1a2acd59-2df1-435b-afae-7eba2b70f2aa,r4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.6321,Hourly
1aa663be-b3fb-4661-97b1-563dbce5a506,r4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1982,Hourly
2d29f199-bb84-4a03-ad3c-61dbbc281aa1,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2121,Hourly
30440cbf-2ce5-4484-b4be-37b4a44676e4,r4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2058,Hourly
4eb7603b-12b3-4686-b89e-273d80e75f98,r4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2197,Hourly
76dd2486-3a4d-4ecd-89fa-9bea4eacd450,r4.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1851,Hourly
7af931d4-c161-4500-b791-dc27fba50a1a,r4.xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1712,Hourly
88757026-fe75-4bd4-9953-d942b145866b,r4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.6182,Hourly
ceca929d-a75a-4d71-95ad-3fed89ee06aa,r4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.6382,Hourly
dca168a7-7b44-46f8-a216-2caa9348da71,r4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1521,Hourly
fee78ad1-2e8c-43b7-9f3e-84d2eb29ddda,r4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.6521,Hourly
547c1c67-653b-4d64-affc-3fe554756967,r4.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1682.0,0.0,USD,0.064,Hourly
ca0165c4-bc58-4f14-9b26-0fdd7c1b2437,r4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1682.0,0.0,USD,0.124,Hourly
04447f6f-76af-4d9f-ba17-028169e57039,r4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1850.0,0.0,USD,0.07,Hourly
c1726e90-4ec3-408c-a21f-7d8a3a6f1659,r4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1850.0,0.0,USD,0.13,Hourly
81e5b5b4-1665-412e-8c94-1fb70a377207,r4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1934.0,0.0,USD,0.0736,Hourly
bb408ee3-0982-4e9b-8f3f-cef1a6e9470d,r4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1934.0,0.0,USD,0.1336,Hourly
3d005136-1c7d-46a5-8fd4-a50b383ab556,r4.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2034.0,0.0,USD,0.077,Hourly
0928ecf0-76a7-4e8d-9838-b2b0f3a665d8,r4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2128.0,0.0,USD,0.081,Hourly
96593749-6970-4346-b54f-bc22419201a7,r4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2128.0,0.0,USD,0.141,Hourly
5f7cd2e1-251b-4347-ba65-e252d2e8a4cf,r4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2202.0,0.0,USD,0.083,Hourly
e6a92cd2-41b7-4ba2-b52d-6239f4858737,r4.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2286.0,0.0,USD,0.0866,Hourly
c096fdba-92ef-40d2-98f5-f98b5ae1f3c1,r4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2480.0,0.0,USD,0.094,Hourly
