ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
106a63a4-d7f6-44ea-9144-d668dc0ecd0f,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.3873,Hourly
9f48eb1b-524d-4782-a4aa-764c584a72b0,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.2521,Hourly
b229b4da-a91a-4de2-90fd-03d6a27db41b,t2.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2851,Hourly
d3622716-b13c-4eb8-9fd7-278d8f307842,t2.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2521,Hourly
d787e6d9-4963-4e56-b1cb-65f2d98f78ed,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.3821,Hourly
84cbeacb-9f35-4402-945b-96b2ce0e68a6,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.223,Hourly
8810660c-c533-42ea-8cb9-d9ee0dfa99ce,t2.2xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2542,Hourly
8aef4c89-a5e3-495c-b4e3-2bf8b5adaf19,t2.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.2212,Hourly
93fe2ede-5a55-4b96-af25-76fcc9568f17,t2.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.3582,Hourly
958735b9-0333-4d45-acde-97526cc4f0b7,t2.2xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.3512,Hourly
45db282d-945f-4f3f-b472-f8b9f74b9b63,t2.2xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2713.0,0.0,USD,0.2332,Hourly
6d61d3d6-cb1f-4e63-bf91-d2cf98e5cfbd,t2.2xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,2713.0,0.0,USD,0.1032,Hourly
c95623f3-be65-4318-a7fc-61d8113a49d3,t2.2xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3065.0,0.0,USD,0.1162,Hourly
9c9d65cd-1c48-4be2-927d-4c54a809f963,t2.2xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3068.0,0.0,USD,0.1167,Hourly
bff3793c-8f93-4c74-911f-402bf5ecf2b3,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3068.0,0.0,USD,0.2467,Hourly
a2da6c53-0a77-4f5d-9686-cb9c3c73dba5,t2.2xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,3420.0,0.0,USD,0.1297,Hourly
7434577d-5b65-431c-8fbb-3978e9b3a1aa,t2.2xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4489.0,0.0,USD,0.1708,Hourly
62de1ebf-643a-4807-8a92-260e75a02204,t2.2xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,4844.0,0.0,USD,0.1843,Hourly
6ab697cf-ebb7-4085-b6ac-e4d96d9a3511,t2.2xlarge,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,5100.0,0.0,USD,0.0,Hourly
f445736d-61af-4ea9-a37d-4ad221269402,t2.2xlarge,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,5794.0,0.0,USD,0.0,Hourly
67952f6d-8892-4027-a057-99dcf5a9b60b,t2.2xlarge,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,6013.0,0.0,USD,0.0,Hourly
ee641172-1dd7-45c4-8125-cc8ef81b529c,t2.2xlarge,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,6707.0,0.0,USD,0.0,Hourly
3c4511e6-9b9c-4f49-a1a4-c1681cb38a44,t2.2xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,8517.0,0.0,USD,0.0,Hourly
3a5e4854-b0ab-4846-849e-d2f62895e8a4,t2.2xlarge,Linux with SQL Server Web,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,8653.0,0.0,USD,0.0,Hourly
a7b6f740-71ad-4541-8e5f-210a3a579c43,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,9429.0,0.0,USD,0.0,Hourly
9ba04588-c44a-445c-8a8c-e48afbf3ac31,t2.2xlarge,Linux with SQL Server Web,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,9566.0,0.0,USD,0.0,Hourly
5cf2f338-3cd3-423d-bf59-b386b56dfb96,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,42133.0,0.0,USD,1.6032,Hourly
6cf7460e-e317-4a2d-8d02-e05b396a06c4,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,42488.0,0.0,USD,1.6167,Hourly
d3836fc9-79f5-4d6d-a275-430f8ee761fb,t2.2xlarge,Linux with SQL Server Enterprise,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,83940.0,0.0,USD,0.0,Hourly
50cec113-ebfd-49e4-8a53-6bdbefa94a1b,t2.2xlarge,Linux with SQL Server Enterprise,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,84853.0,0.0,USD,0.0,Hourly
14270ead-c4ef-41ea-a35c-ab786956b59a,t2.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.4815,Hourly
435fe322-786f-4fcf-b040-584422f6a378,t2.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.4867,Hourly
