ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
27a8754e-f9b6-477a-995c-38628ca89de6,t2.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1306,Hourly
542a84c1-f972-4094-8d5a-341566dbed36,t2.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.063,Hourly
738ee6ec-239b-4e2b-bf72-9ac78f7d93f0,t2.large,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.096,Hourly
a26bc08b-72ee-48c9-8ee3-e408a023e2a8,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.123,Hourly
21fbb408-894f-4ff6-9dc2-e2ef6df94bab,t2.large,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1153,Hourly
5022f6b4-f15a-4124-97b0-453fad228758,t2.large,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1233,Hourly
6158ab8c-045c-421e-9b5a-6081f16267d7,t2.large,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0883,Hourly
87e21f3b-ee35-4c2f-92aa-69c72b921a45,t2.large,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0553,Hourly
3b0775a1-4349-4480-a4db-d47488690954,t2.large,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,678.0,0.0,USD,0.0858,Hourly
a9a7849c-e3b5-43e9-9d47-49f394b5be15,t2.large,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,678.0,0.0,USD,0.0258,Hourly
1eee69c4-6a0c-4811-bc45-3aa4ce3fff8b,t2.large,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,767.0,0.0,USD,0.0892,Hourly
3274d681-4c75-4249-98d3-8b81958e3223,t2.large,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,767.0,0.0,USD,0.0292,Hourly
f5bc15b9-9844-4271-a4a2-270e336886d9,t2.large,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1030.0,0.0,USD,0.0388,Hourly
bf08ff0d-4706-406c-9c06-585c9db436d5,t2.large,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1119.0,0.0,USD,0.0422,Hourly
b892e060-0383-4d0c-a8f0-dea611c30543,t2.large,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,1275.0,0.0,USD,0.0,Hourly
b4494bb1-6836-4eb4-a769-520ca3bad9aa,t2.large,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,1503.0,0.0,USD,0.0,Hourly
8a31998b-6a4c-4e05-97f0-8709a17448a5,t2.large,Linux with SQL Server Web,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1566.0,0.0,USD,0.0596,Hourly
57b0dbf7-178f-4209-971d-dba3a5c56701,t2.large,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1655.0,0.0,USD,0.063,Hourly
808bab78-9b02-478e-9b8b-20dcdc2fb4e7,t2.large,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,1969.0,0.0,USD,0.0,Hourly
169b6604-dc0d-4404-b0c1-b6f4ef426ea0,t2.large,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,2197.0,0.0,USD,0.0,Hourly
2f2b2cb3-87c2-43d8-b7a1-129301534021,t2.large,Red Hat Enterprise Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,2852.0,0.0,USD,0.0,Hourly
9ba15423-db32-48d3-8e62-641d62f9adf9,t2.large,Linux with SQL Server Web,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,3052.0,0.0,USD,0.0,Hourly
5a3bd03b-bb72-4a97-9362-412c23b890d0,t2.large,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,3080.0,0.0,USD,0.0,Hourly
94e14173-8ae0-48ed-bd64-75f48182f5a2,t2.large,Linux with SQL Server Web,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,3280.0,0.0,USD,0.0,Hourly
a6e1a02e-b9a9-4f70-8543-adf20a461a09,t2.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.1479,Hourly
b33438cb-47b6-4776-95a9-e785b0668ca1,t2.large,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.0879,Hourly
