ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
18a10cea-a5f2-4023-a587-73add1caf77c,t2.medium,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0915,Hourly
2010bfcf-d5da-4817-a4ed-ba408f13c28f,t2.medium,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0315,Hourly
76bd2d38-1a71-454a-ac66-1b51afe9be2d,t2.medium,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0991,Hourly
a260341a-08b8-469f-9550-1f2b0605bbb2,t2.medium,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0645,Hourly
0f53352c-7145-4cbd-b804-9c984833f2c3,t2.medium,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0606,Hourly
8bd72f29-0780-4428-ad12-cc5ddf8f409a,t2.medium,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0955,Hourly
9d40c895-50fe-49ab-b7a5-caa17c261a64,t2.medium,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0276,Hourly
f0f953a0-47e9-49a5-903f-7923511fb8b1,t2.medium,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0876,Hourly
29ade808-f6f5-4a48-ab0b-bed337d20399,t2.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,339.0,0.0,USD,0.0729,Hourly
5177dacc-8c1b-400b-9144-6cf84ef95545,t2.medium,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,339.0,0.0,USD,0.0129,Hourly
98eece33-8429-4398-bbca-3e08a97ef8a7,t2.medium,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,383.0,0.0,USD,0.0146,Hourly
d60bdb48-2b82-4711-b26d-39e689ebdeb5,t2.medium,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,383.0,0.0,USD,0.0746,Hourly
315b5470-5c01-4fd7-ad94-5218b206adac,t2.medium,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,638.0,0.0,USD,0.0,Hourly
4a59e4c8-e1ae-4131-baac-72e006670a73,t2.medium,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,691.0,0.0,USD,0.0259,Hourly
e33c6432-6ad9-47f4-97f5-c68d108e73c9,t2.medium,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,735.0,0.0,USD,0.0276,Hourly
be815c26-1ef0-4cdf-95fe-9ce90489e806,t2.medium,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,752.0,0.0,USD,0.0,Hourly
71a5810b-e7c4-41ad-8d9f-9847b7bab823,t2.medium,Linux with SQL Server Web,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1227.0,0.0,USD,0.0467,Hourly
573d99e5-a489-4959-b46e-95296a5d6a8e,t2.medium,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1272.0,0.0,USD,0.0484,Hourly
34320899-dd12-4f2a-b919-15cf26ca2cc6,t2.medium,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,1332.0,0.0,USD,0.0,Hourly
9887d5ea-9c59-4fa4-b028-db626c43f6c2,t2.medium,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,1446.0,0.0,USD,0.0,Hourly
45fb9685-7978-4b05-b4a5-b128d965ba6b,t2.medium,Red Hat Enterprise Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,2199.0,0.0,USD,0.0,Hourly
f16a7883-a5c0-47c4-b2d8-179685f5bda6,t2.medium,Red Hat Enterprise Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,2328.0,0.0,USD,0.0,Hourly
