ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
3bf5eb88-9baf-4cb4-a15d-75010b0c8d7e,t2.micro,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0755,Hourly
8511b568-9f2f-4e6a-b512-ccc917ee4135,t2.micro,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0679,Hourly
9ee227ba-5a2e-4788-ba53-3b220303f5dd,t2.micro,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0169,Hourly
fd89da04-f1b2-426b-81b9-748a0d94412a,t2.micro,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0079,Hourly
29040ed0-d437-41b8-827f-c4807220b991,t2.micro,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0069,Hourly
2c81fe91-558f-4668-9f83-33128d24bb03,t2.micro,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0746,Hourly
6e737ed5-5430-46bd-85bd-3efc817e0b2a,t2.micro,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0669,Hourly
8bb242e5-8f74-4ee4-9afd-757ebf0baf95,t2.micro,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0069,Hourly
9f838d57-4c78-4b1c-b7f4-3b4b066569f2,t2.micro,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0159,Hourly
752e1ea1-a549-406f-ac00-4edf28041ba1,t2.micro,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,85.0,0.0,USD,0.0032,Hourly
88106a39-7b20-4ebc-a3e3-b0b4e4e13ecf,t2.micro,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,85.0,0.0,USD,0.0632,Hourly
cd9178b3-5e07-4673-a9a3-7835b348e360,t2.micro,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,96.0,0.0,USD,0.0636,Hourly
f26e82ab-8285-4965-b2a2-e9a08984182d,t2.micro,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,96.0,0.0,USD,0.0036,Hourly
c7caab4d-ffc0-4d0e-bc93-044b0bafb00c,t2.micro,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,129.0,0.0,USD,0.0092,Hourly
bc82a2ea-e6f0-49e3-8490-b1ba94476e2c,t2.micro,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,140.0,0.0,USD,0.0096,Hourly
fbf3a19b-bd56-458e-b4e7-93071eb3ae13,t2.micro,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,159.0,0.0,USD,0.0,Hourly
