ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
2b4fca18-1043-46a8-9ca7-2428421a7555,t2.nano,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0129,Hourly
3be1f2a7-8eaa-4c22-b5b2-6f1ca240c7e2,t2.nano,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0039,Hourly
b9b0ab2c-5694-42d6-a33f-eb9fc0b683b6,t2.nano,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0035,Hourly
d9342d2e-f197-41c1-a7de-574ea6dbab68,t2.nano,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0125,Hourly
f3f46a07-6145-40c2-b6af-67913879c66c,t2.nano,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,42.0,0.0,USD,0.0016,Hourly
24b0756c-739a-4599-9897-44deb8f3ee38,t2.nano,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,48.0,0.0,USD,0.0018,Hourly
dd60055d-fa4e-4671-9fd1-3dd22c261d6c,t2.nano,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,79.0,0.0,USD,0.0,Hourly
04ac973d-c126-46cf-ba51-ac1fed735180,t2.nano,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,86.0,0.0,USD,0.0076,Hourly
a50fe78f-ad81-448a-b81f-cf1a033fac62,t2.nano,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,92.0,0.0,USD,0.0078,Hourly
1b792e73-1b55-4891-abb0-fcd5b62adccb,t2.nano,Linux/UNIX,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,94.0,0.0,USD,0.0,Hourly
e7542db3-416b-48f9-ba45-f8706967e87b,t2.nano,SUSE Linux,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,281.0,0.0,USD,0.0,Hourly
6f1dc062-e530-442c-9d94-7ab449c6a15d,t2.nano,SUSE Linux,default,convertible,All Upfront,eu-central-1c,94608000,Availability Zone,0,296.0,0.0,USD,0.0,Hourly
1c352ca9-4a01-451e-a23c-f30cfbe023f2,t2.nano,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.0055,Hourly
c07b5f3b-41c3-47a3-bbed-686dbd796df1,t2.nano,SUSE Linux,default,convertible,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.0145,Hourly
3d12d806-3a95-42eb-9f23-be1438094580,t2.nano,SUSE Linux,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.0138,Hourly
44f825b1-7071-474f-aad5-f17f888fee20,t2.nano,Linux/UNIX,default,standard,No Upfront,eu-central-1c,31536000,Availability Zone,0,0.0,0.0,USD,0.0048,Hourly
747fd0b9-57a2-483a-a6ac-a5fc3e8d1083,t2.nano,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,31536000,Availability Zone,0,21.0,0.0,USD,0.002,Hourly
