ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
131cc504-b2d8-432e-9dce-04f96b50e03d,t2.small,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0158,Hourly
3884e518-02cf-49f3-9dec-87c92f65f2e3,t2.small,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.029,Hourly
93492589-4c03-4666-881b-b21e6bfeaed0,t2.small,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0834,Hourly
c2851da0-6082-49c5-9ca1-3b5912b09e7c,t2.small,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0758,Hourly
031100c7-55df-4e51-9054-a2def7cd2574,t2.small,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0138,Hourly
0de08d95-a7af-400c-a73d-6b81179a963e,t2.small,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0368,Hourly
162969a6-0bbd-408d-8bf2-7dc913da2f65,t2.small,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0738,Hourly
c314055a-b6fb-4dca-8099-b92e8aad201e,t2.small,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.0815,Hourly
421c18fe-c139-4259-808f-a9acf41f1efa,t2.small,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,170.0,0.0,USD,0.0065,Hourly
45de7e4f-96df-4894-9e8e-78f2eb818593,t2.small,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,171.0,0.0,USD,0.066,Hourly
3e3cc4d0-c4e2-4956-806e-14c15b7a1fa8,t2.small,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,192.0,0.0,USD,0.0673,Hourly
bfc287ab-2cd5-4835-bb52-228dfc54ac6b,t2.small,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,192.0,0.0,USD,0.0073,Hourly
38f424f8-4fbe-4bbe-a6a5-3b864daf6e9c,t2.small,SUSE Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,281.0,0.0,USD,0.0204,Hourly
f8c9ab68-8e79-463c-bfa1-2e362fa1f0cf,t2.small,Linux/UNIX,default,standard,All Upfront,eu-central-1c,94608000,Availability Zone,0,319.0,0.0,USD,0.0,Hourly
