ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05707047-acb3-46a5-b43b-284804ac7edf,t2.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1861,Hourly
bebdac35-3cb5-4665-b30c-a00fd191bdf8,t2.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1261,Hourly
c006c090-ce84-4834-94d4-db1fdfedec51,t2.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.6261,Hourly
d6487a34-cde3-4243-82eb-fce0f31c47ee,t2.xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1591,Hourly
d7cdac26-b583-49e1-8238-bf6221a0ea04,t2.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1937,Hourly
3f557178-7f6e-48b3-a2dc-a2ed8bbd2a6d,t2.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1706,Hourly
55d2c4dc-752a-438c-95c3-45b89372733d,t2.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1791,Hourly
923c4871-6b00-434e-be6c-1fe78f2e33ae,t2.xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1436,Hourly
9cad9fa4-e8b2-4722-bdcd-cbfc641956c9,t2.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,1.6115,Hourly
d2563eda-5058-47e2-b554-b90123747bf9,t2.xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,0.1106,Hourly
b732ab58-ff09-4b6a-936f-8e0f842df8ce,t2.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1356.0,0.0,USD,0.0516,Hourly
ddd6401a-ad4e-405d-a310-13cd40d47de3,t2.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1356.0,0.0,USD,0.1116,Hourly
6677d1ec-0beb-4b39-a721-5a60d8238247,t2.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1534.0,0.0,USD,0.0584,Hourly
706fb3fc-6875-4e83-9e42-630d9341f39f,t2.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1534.0,0.0,USD,0.1184,Hourly
fdca3cd5-2efb-4102-90e1-eb336237d253,t2.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,1708.0,0.0,USD,0.0646,Hourly
