ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
0a5cc43f-f837-47ef-a062-dbbb222acaae,x1.16xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.83,Hourly
0ac0049e-9e4d-44e8-8d92-565dbdfd42cf,x1.16xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,11.132,Hourly
26298867-6a01-4fb6-bb35-49837508731a,x1.16xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.452,Hourly
3602c18f-59ca-4546-a052-2cca1077c4a9,x1.16xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.878,Hourly
42d9e76e-284f-48c1-bcb2-1f736b7aef26,x1.16xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,11.477,Hourly
758b36b0-ec02-42f5-9047-275b9b0db8e0,x1.16xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.533,Hourly
7979da8a-3131-4e8d-b9be-6fcafa1ad8b1,x1.16xlarge,SUSE Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.485,Hourly
88d198b4-112c-4007-8356-7969f93032af,x1.16xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.582,Hourly
8b12ae14-700e-47af-800c-2dae93c8bf46,x1.16xlarge,Linux/UNIX,default,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.452,Hourly
e79ca8e8-142a-40f9-8330-c8825b435c64,x1.16xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.797,Hourly
ef718755-eefe-457d-a08e-93474b0163b3,x1.16xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.927,Hourly
f19e4b30-7465-4f8f-805f-cc012ac27b2f,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.797,Hourly
0809f8b0-07fa-4169-a764-f7a2f401bb9b,x1.16xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.334,Hourly
0d91a259-b88b-4668-a780-ef21929ddd45,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.431,Hourly
0e1ceee3-5fef-4cad-aeaa-714dbccf395e,x1.16xlarge,Linux/UNIX,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.001,Hourly
38f8b61c-c3ef-4692-8677-2abbf11b262a,x1.16xlarge,SUSE Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.034,Hourly
5a8a1e8d-c0f6-4c56-be2e-1ae4b081a1d0,x1.16xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.301,Hourly
8cbea25e-3543-4e30-a76e-479551f38e09,x1.16xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.083,Hourly
afef19f7-406c-41eb-9e2b-d97d4ae52ca0,x1.16xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.001,Hourly
c5113218-ad3a-42cc-8955-eea777098d97,x1.16xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.981,Hourly
d3b185e4-593d-4dfa-b900-2063766b28e2,x1.16xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,3.131,Hourly
dc44273f-8075-4635-a263-f03c19a8ba65,x1.16xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,27.301,Hourly
e38d6030-bdad-426e-a9f9-0b19a8d11d5a,x1.16xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,4.383,Hourly
f933a790-fc6b-4322-adaf-39916c32850d,x1.16xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-central-1c,94608000,Availability Zone,0,0.0,0.0,USD,10.681,Hourly
1c09bce4-3d9f-4ef4-a44c-125799674d5f,x1.16xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,36516.0,0.0,USD,1.39,Hourly
c4400647-9405-4536-8b01-6ae3feb2ddb1,x1.16xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,36516.0,0.0,USD,1.52,Hourly
51b4a650-9755-4220-a911-36a631b0297b,x1.16xlarge,SUSE Linux,default,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,36868.0,0.0,USD,1.402,Hourly
2e9c96c7-21f4-4248-9f8d-a71489b49915,x1.16xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40169.0,0.0,USD,1.658,Hourly
eda904ed-bfea-411e-bd25-d4b3b048258f,x1.16xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-central-1c,94608000,Availability Zone,0,40169.0,0.0,USD,1.528,Hourly
