ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
05a89266-d1c2-4af8-9836-bcf643bfe5d3,c1.medium,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,631.0,0.0,USD,0.104,Hourly
ff56e56f-a675-4507-9a24-7f49dba4c81e,c1.medium,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,631.0,0.0,USD,0.044,Hourly
8b8ba2c2-2b45-4e6e-b287-ddcbe9046b8d,c1.medium,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,694.0,0.0,USD,0.114,Hourly
ff703a2c-9eeb-4e94-959c-3f20a972f591,c1.medium,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,694.0,0.0,USD,0.048,Hourly
0aee5f9a-6e75-46de-8a63-de5b72b6de9a,c1.medium,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,983.0,0.0,USD,0.055,Hourly
e0fe7cc8-25e0-4998-a481-681fbf2fe71a,c1.medium,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1081.0,0.0,USD,0.061,Hourly
1ec7d810-0678-4e11-bf10-51982d9a68cb,c1.medium,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1680.0,0.0,USD,0.0,Hourly
f3e2719b-6aaa-4a5e-9fc7-47c5159abeef,c1.medium,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,1848.0,0.0,USD,0.0,Hourly
8a92f5b1-f5a4-4d45-89c5-1673bba3076b,c1.medium,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2282.0,0.0,USD,0.0,Hourly
c5257e70-0daa-4687-bd1c-69d28f7061fc,c1.medium,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2510.0,0.0,USD,0.0,Hourly
b976cd59-e880-4525-8cef-362d3ef32eb7,c1.medium,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3162.0,0.0,USD,0.0,Hourly
32e8a0f0-5de5-4983-b4c9-a9e3632a5545,c1.medium,Red Hat Enterprise Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3478.0,0.0,USD,0.0,Hourly
153abce8-e336-49a3-b618-7cff48b30aaa,c1.medium,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,31536000,Availability Zone,0,0.0,0.0,USD,0.188,Hourly
