ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
09d683cb-1579-4cb0-adda-a08d384e3b56,c4.xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.17,Hourly
1f9bd115-b363-40b3-86a1-a03ba9d55d22,c4.xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.65,Hourly
2142a2d7-4afa-4fdf-8136-01630970373c,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.21,Hourly
3a03ffbc-36d1-43b6-981d-b66c1dc72f50,c4.xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.204,Hourly
3c31b3e1-0208-4df4-8489-0a9705d95edd,c4.xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.617,Hourly
3eb0bafa-b5df-46b1-9fd3-ec8c3af8abdd,c4.xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.137,Hourly
73e26cb9-40c8-4f2e-9a29-01025126c538,c4.xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.197,Hourly
ad9aeb77-27f2-433d-9a62-7de59b4c4531,c4.xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.63,Hourly
dd5816c2-b35d-4d57-9894-98de8fc3d66b,c4.xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.15,Hourly
e695f2c0-f835-4555-a885-43d12d88d8c1,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.218,Hourly
e910cd7b-28cf-44d9-8027-70b1e22b94a4,c4.xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.637,Hourly
eab27bf2-9d3b-4995-b614-ea360d9e859b,c4.xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.183,Hourly
0a0d6ad5-4f6b-4d25-ab12-9ed63c0d2ba1,c4.xlarge,Red Hat Enterprise Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.179,Hourly
0b9bc610-cdcf-4b7b-a81f-8e7907112af5,c4.xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.119,Hourly
36a96778-a513-4b96-ba23-2e36335e64dd,c4.xlarge,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.131,Hourly
477ea44d-ecba-488d-9c9b-dd233c56c1b4,c4.xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.619,Hourly
50dd55f6-b786-47ef-866a-d9ee5ede0246,c4.xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.611,Hourly
54c56625-6ace-4415-baf4-978eb733b440,c4.xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.152,Hourly
5546c957-c3f0-4fd5-9568-8c4cf65b1aa7,c4.xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.186,Hourly
68dc7e33-89bc-4cdd-86ba-d02e97b0e51d,c4.xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.164,Hourly
6d4244ba-c72b-4d1c-9b13-6470bd976f67,c4.xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.198,Hourly
89c0fb29-1e4e-426d-8afc-c23f44d3a3f7,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.191,Hourly
ac8ef99e-5ef4-4872-975a-1746a0c9795e,c4.xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.631,Hourly
f80632aa-a940-4fbf-8c2c-badeee4c0bbb,c4.xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.599,Hourly
e6b8ce16-e23e-4d88-91b5-0ff67538a018,c4.xlarge,Linux/UNIX,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1432.0,0.0,USD,0.054,Hourly
f8acdce0-644a-4fd3-a6b6-4a0b447c037f,c4.xlarge,Red Hat Enterprise Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1432.0,0.0,USD,0.115,Hourly
6ecb00c6-6c07-4f6b-9409-23895d095ab3,c4.xlarge,Red Hat Enterprise Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1578.0,0.0,USD,0.12,Hourly
eaf43d09-430a-4235-b5b4-68ab8ae7b7fa,c4.xlarge,Linux/UNIX,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1578.0,0.0,USD,0.06,Hourly
9b5ad1db-98bb-468c-aeda-c34f44dd943b,c4.xlarge,Linux/UNIX,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.063,Hourly
b556dd73-7b12-4065-a4fc-747fe8c025ab,c4.xlarge,Red Hat Enterprise Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1662.0,0.0,USD,0.123,Hourly
739678a3-dc2f-4769-94bc-02524d70a8eb,c4.xlarge,SUSE Linux,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1784.0,0.0,USD,0.068,Hourly
31176973-c2ed-4780-9a7b-fd85e1dc4d3b,c4.xlarge,Red Hat Enterprise Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1828.0,0.0,USD,0.13,Hourly
c9257795-aaa7-451a-8a53-2f8d9473fa5c,c4.xlarge,Linux/UNIX,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1828.0,0.0,USD,0.07,Hourly
63cd8af4-7db4-4246-ae06-7d601e25983b,c4.xlarge,SUSE Linux,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,1930.0,0.0,USD,0.073,Hourly
1a10f93e-c49f-4278-ac34-eb35c00a3d81,c4.xlarge,SUSE Linux,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2014.0,0.0,USD,0.076,Hourly
d15d4046-ce98-43fd-9313-6c764c173895,c4.xlarge,SUSE Linux,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2180.0,0.0,USD,0.083,Hourly
eb8bd323-b0a0-42cc-95d3-2aee9cbfc438,c4.xlarge,Linux with SQL Server Web,default,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2334.0,0.0,USD,0.089,Hourly
5ffde442-1bfa-40a6-864f-1c01fc0a78d9,c4.xlarge,Linux with SQL Server Web,dedicated,standard,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2478.0,0.0,USD,0.094,Hourly
1ab50ed3-9a6a-439e-a968-fe51156b4252,c4.xlarge,Linux with SQL Server Web,default,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2550.0,0.0,USD,0.097,Hourly
6811a092-818b-40a2-bc02-a1b6e4adc149,c4.xlarge,Linux/UNIX,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2693.0,0.0,USD,0.0,Hourly
15e5d193-864f-4754-a2f9-e0b397eee836,c4.xlarge,Linux with SQL Server Web,dedicated,convertible,Partial Upfront,eu-west-1a,94608000,Availability Zone,0,2717.0,0.0,USD,0.103,Hourly
7e6cdccf-25cc-4a43-aab9-78a6ca6eb1af,c4.xlarge,Linux/UNIX,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,2967.0,0.0,USD,0.0,Hourly
14e2fed0-e362-4f31-acc2-007d6b8b523f,c4.xlarge,Linux/UNIX,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3258.0,0.0,USD,0.0,Hourly
b9942cbf-09b6-463d-9994-e9467978dd15,c4.xlarge,SUSE Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3387.0,0.0,USD,0.0,Hourly
cfc4373c-b207-4285-95a0-92d562c2828a,c4.xlarge,Linux/UNIX,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3584.0,0.0,USD,0.0,Hourly
a227fd1b-209e-45fa-8049-266be2ec94ea,c4.xlarge,SUSE Linux,dedicated,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,3661.0,0.0,USD,0.0,Hourly
e447b588-fc77-4580-a895-82d771b16884,c4.xlarge,SUSE Linux,default,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,3952.0,0.0,USD,0.0,Hourly
eec0e560-4604-474a-8378-eddeec5aabeb,c4.xlarge,Red Hat Enterprise Linux,default,standard,All Upfront,eu-west-1a,94608000,Availability Zone,0,4269.0,0.0,USD,0.0,Hourly
bb915305-ca55-4ede-970e-7c9a6be84ca5,c4.xlarge,SUSE Linux,dedicated,convertible,All Upfront,eu-west-1a,94608000,Availability Zone,0,4278.0,0.0,USD,0.0,Hourly
