ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
04e9a489-e9f6-4769-bc0f-691b2a8e5efb,c5d.2xlarge,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.203,Hourly
2a52dbc9-bba8-450d-92f6-8d3ebc1bf1ad,c5d.2xlarge,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.373,Hourly
36c2de8c-20ad-42c3-bf3c-c351d58b9d88,c5d.2xlarge,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.232,Hourly
6439bb19-21f9-410d-873f-86d4ea022095,c5d.2xlarge,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.407,Hourly
704de008-8e07-4fa9-8411-a96021f5067d,c5d.2xlarge,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.378,Hourly
7a052f2e-decf-4d31-9c83-dddbde84a6d3,c5d.2xlarge,Linux with SQL Server Enterprise,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.272,Hourly
81ed8d3c-d809-4b3d-b51e-d2a250dac149,c5d.2xlarge,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.272,Hourly
b94350b7-ac4a-4de9-b951-8bcc37bc8417,c5d.2xlarge,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.276,Hourly
e80cccb2-ff63-46c5-bfcc-9a8e3e523231,c5d.2xlarge,Linux with SQL Server Enterprise,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.243,Hourly
e9b428e1-c5df-4d67-bf4b-0199c4c237ae,c5d.2xlarge,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.305,Hourly
f395e8a0-8a4a-4341-b0c7-cf689f924573,c5d.2xlarge,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.243,Hourly
f86627af-9df5-409d-b607-402bfc7905ef,c5d.2xlarge,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.402,Hourly
0baa0657-bf99-43c8-a9d9-f0c540171d32,c5d.2xlarge,Linux/UNIX,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.211,Hourly
3bd32663-50a8-41fc-a1bd-c3b9b6036b3f,c5d.2xlarge,Linux with SQL Server Standard,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.171,Hourly
7677183d-d860-44a0-8c7f-f6b67e5bd5da,c5d.2xlarge,Linux with SQL Server Standard,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,1.2,Hourly
7bb8b7bd-97f4-4b49-947b-422ebbf897e2,c5d.2xlarge,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.244,Hourly
8ac148b7-1d4f-452e-8a81-46c49ff16c12,c5d.2xlarge,Linux with SQL Server Web,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.347,Hourly
a6af847e-4ef2-41af-87ea-0c37dcfbdc00,c5d.2xlarge,Linux with SQL Server Enterprise,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.24,Hourly
aae5053f-69cf-433c-8ea5-adddce31c322,c5d.2xlarge,Linux with SQL Server Enterprise,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,3.211,Hourly
b20897e5-7a32-4874-95bb-eb01f1f564e5,c5d.2xlarge,SUSE Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.273,Hourly
bf9f5b10-1180-4c8d-9c25-bdfd67b01457,c5d.2xlarge,Red Hat Enterprise Linux,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.37,Hourly
d15af619-8a99-406e-abd6-4ef93f8ebfcc,c5d.2xlarge,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.375,Hourly
