ReservedInstancesOfferings,InstanceType,ProductDescription,InstanceTenancy,OfferingClass,OfferingType,AvailabilityZone,Duration,Scope,Marketplace,FixedPrice,UsagePrice,CurrencyCode,Amount,Frequency
01f70d9f-8e86-4fd5-98c0-726e92d750a0,c5d.large,SUSE Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.094,Hourly
1f04cab7-8c08-4ff3-816d-d059169ee1b2,c5d.large,SUSE Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.101,Hourly
2d5089fa-7b48-491c-a4e3-3732612a5bcf,c5d.large,Linux with SQL Server Standard,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.548,Hourly
431a6766-6e82-4b26-80b2-c28be386d629,c5d.large,Linux with SQL Server Standard,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.541,Hourly
46ba7e87-759c-4f53-9a7d-f5ad661441bc,c5d.large,Red Hat Enterprise Linux,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.121,Hourly
79236db5-df9c-477b-8c80-88141af62b3e,c5d.large,Linux with SQL Server Web,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
97071d28-c9c9-4cfe-b8f2-e32a4db5bc43,c5d.large,Linux with SQL Server Web,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.136,Hourly
a28e65c2-9afe-4f46-9866-0beb15cd9819,c5d.large,Linux/UNIX,default,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.061,Hourly
cdd5430c-1896-4691-8a48-a43afaab5630,c5d.large,Linux/UNIX,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.068,Hourly
e7c14367-3d61-4d14-b39b-df7541e58dad,c5d.large,Red Hat Enterprise Linux,dedicated,convertible,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
45aefc20-4d18-48d4-9e8b-be63885bf55d,c5d.large,Linux/UNIX,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.06,Hourly
46028012-6e3b-4f98-8a63-e62f92250c4e,c5d.large,SUSE Linux,default,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.086,Hourly
4bb8bc4c-6488-406d-9529-b624ee4d758e,c5d.large,Linux with SQL Server Web,dedicated,standard,No Upfront,eu-west-1a,94608000,Availability Zone,0,0.0,0.0,USD,0.128,Hourly
